
[00:00:00.000 --> 00:00:04.640]  用了差不多半年時間和大家思考《約翰福音》七個神蹟
[00:00:04.640 --> 00:00:09.160]  花了大概半年時間和大家一起思考《約翰福音》七個神蹟
[00:00:09.160 --> 00:00:14.260]  我提到過《約翰福音》有一個格式
[00:00:14.260 --> 00:00:20.000]  就是每次耶穌行完一個神蹟之後
[00:00:20.000 --> 00:00:23.560]  祂就有一篇長的講論
[00:00:23.560 --> 00:00:29.800]  通常祂是用「我是」什麼什麼來表達
[00:00:29.800 --> 00:00:31.920]  我記得讀心理學的時候
[00:00:31.920 --> 00:00:33.680]  我記得我念心理學的時候
[00:00:33.680 --> 00:00:37.080]  老師教過我們一種自我認識的方法
[00:00:37.080 --> 00:00:39.400]  老師教了我們一種自我認識的方法
[00:00:39.400 --> 00:00:42.160]  叫做自畫像
[00:00:42.160 --> 00:00:44.760]  其實都不是一些很複雜的內容
[00:00:44.760 --> 00:00:46.680]  其實也不是一種複雜的內容
[00:00:46.680 --> 00:00:52.920]  大概是包括我們的性別
[00:00:52.920 --> 00:01:02.320]  年齡、身高、興趣、對什麼事物有喜惡
[00:01:02.320 --> 00:01:04.480]  喜歡什麼顏色
[00:01:04.480 --> 00:01:08.720]  你用哪種動物來代表你
[00:01:08.720 --> 00:01:12.920]  對自己滿意的程度去到哪裡
[00:01:12.920 --> 00:01:16.920]  作為一種自我探索
[00:01:16.920 --> 00:01:21.160]  說到自我滿意的程度
[00:01:21.160 --> 00:01:25.400]  考大家一個專有名詞
[00:01:25.400 --> 00:01:27.880]  「體知障礙」你們聽過嗎?
[00:01:27.880 --> 00:01:29.720]  「體知障礙」有聽過嗎?
[00:01:29.720 --> 00:01:31.520]  「體」是身體的「體」
[00:01:31.520 --> 00:01:33.640]  「知」是知識的「知」
[00:01:33.640 --> 00:01:35.160]  「體」是身體的「體」
[00:01:35.160 --> 00:01:37.320]  「知」是知識的「知」
[00:01:37.320 --> 00:01:38.440]  聽過嗎?
[00:01:38.440 --> 00:01:40.040]  沒有聽過
[00:01:40.040 --> 00:01:41.800]  可能你也有這種病
[00:01:41.800 --> 00:01:43.320]  可能你也有這種病
[00:01:43.320 --> 00:01:45.360]  什麼叫做「體知障礙」呢?
[00:01:45.360 --> 00:01:46.640]  什麼叫做「體知障礙」呢?
[00:01:46.640 --> 00:01:49.400]  簡單來說是一種心理認知障礙
[00:01:49.400 --> 00:01:52.120]  簡單來說是一種心理認知障礙
[00:01:52.120 --> 00:01:54.400]  舉例說我長得五官端正
[00:01:54.400 --> 00:01:56.680]  舉例說我長得五官端正
[00:01:56.680 --> 00:01:59.680]  但我總覺得自己長得很醜
[00:01:59.680 --> 00:02:01.520]  但我總覺得自己長得很醜
[00:02:01.520 --> 00:02:03.040]  但我又不敢去看醫生
[00:02:03.040 --> 00:02:04.240]  但我又不敢去看醫生
[00:02:04.240 --> 00:02:06.680]  因為我怕醫生發現我沒有患這個病
[00:02:06.680 --> 00:02:08.600]  我擔心醫生發現我沒有患這個病
[00:02:08.600 --> 00:02:10.120]  這就證明我真的很醜
[00:02:10.120 --> 00:02:11.800]  這就證明我真的很醜
[00:02:11.800 --> 00:02:15.600]  所以這是一種主觀的「體知障礙」
[00:02:15.600 --> 00:02:17.880]  這是一種主觀的「體知障礙」
[00:02:17.880 --> 00:02:19.480]  就像這兩位演員
[00:02:19.480 --> 00:02:21.480]  你覺得醜不醜是另一回事
[00:02:21.480 --> 00:02:23.320]  就像這兩位演員
[00:02:23.320 --> 00:02:25.000]  他們醜不醜是另一回事
[00:02:25.000 --> 00:02:28.040]  另一種我們叫做「客觀的體知障礙」
[00:02:28.040 --> 00:02:29.760]  另一種叫做「客觀的體知障礙」
[00:02:29.760 --> 00:02:33.680]  這種情況在我們中國國內是特別嚴重的
[00:02:33.680 --> 00:02:36.160]  這種情況在我們中國國內特別嚴重
[00:02:36.160 --> 00:02:40.120]  很多時候你去到商場、街市買東西
[00:02:40.120 --> 00:02:43.520]  有時候到一些商場或者菜市場去買東西
[00:02:43.520 --> 00:02:49.400]  你會看到一位男士對著一位中年婦女或者大媽
[00:02:49.400 --> 00:02:54.160]  你會看到一位男士對著一位中年婦女或者大媽
[00:02:54.160 --> 00:02:57.440]  「靚女,麻煩給個…」
[00:02:57.440 --> 00:02:59.600]  「美女,給我一個…」
[00:02:59.600 --> 00:03:03.160]  當然「美」沒有一個絕對的標準
[00:03:03.160 --> 00:03:04.880]  當然「美」沒有一個絕對的標準
[00:03:04.880 --> 00:03:07.400]  但是人人都叫「美女」
[00:03:07.400 --> 00:03:09.760]  這是我們叫做「客觀的體知障礙」
[00:03:09.760 --> 00:03:11.760]  但是人人都叫「美女」
[00:03:11.760 --> 00:03:13.760]  這叫做「客觀的體知障礙」
