
[00:00:00.000 --> 00:00:02.800]  各位電影節目,平安!
[00:00:02.800 --> 00:00:06.040]  我們今天開始一齊思想到聖經啟示律的訊息
[00:00:06.040 --> 00:00:07.200]  我們大家再一起祈禱
[00:00:07.200 --> 00:00:09.720]  我們仰望主幫助我們
[00:00:09.720 --> 00:00:16.080]  主耶穌,我們同心敬拜祢
[00:00:16.080 --> 00:00:22.480]  主,祢是那位昔在、今在、以後永在的全能者
[00:00:22.480 --> 00:00:25.960]  主,祢自己曾經被殺
[00:00:27.240 --> 00:00:30.160]  但是祢承傳了奇妙的拯救
[00:00:30.160 --> 00:00:35.200]  主,萬有都是為祢而做
[00:00:35.200 --> 00:00:37.320]  也是靠祢而做
[00:00:37.320 --> 00:00:40.920]  主,今天我們到祢面前尊崇祢
[00:00:40.920 --> 00:00:45.040]  主,祢不僅曾經拯救
[00:00:45.040 --> 00:00:50.000]  祢今天繼續地去掌管我們的生命
[00:00:50.000 --> 00:00:52.640]  也掌管著人類的歷史
[00:00:52.640 --> 00:00:55.160]  主,有一天祢會再回來
[00:00:55.760 --> 00:01:00.000]  主,祢要成就對祢子民的完全的救恩
[00:01:00.000 --> 00:01:04.080]  主,我們今天一齊到祢面前來仰望祢
[00:01:04.080 --> 00:01:06.080]  癡下祢自己聖經的真理
[00:01:06.080 --> 00:01:10.200]  主,祢的道是靈、是生命
[00:01:10.200 --> 00:01:13.000]  求祢癡下祢的真道
[00:01:13.000 --> 00:01:14.920]  叫我們認識祢
[00:01:14.920 --> 00:01:18.400]  也認識祢所掌管的世界
[00:01:18.400 --> 00:01:22.440]  讓我們有心被祢的道來指教
[00:01:22.440 --> 00:01:25.240]  我們更知道在人生的路上
[00:01:25.640 --> 00:01:27.240]  祢也會緊緊地跟隨祢
[00:01:27.240 --> 00:01:30.000]  求主施恩,引導這段時間
[00:01:30.000 --> 00:01:31.920]  癡下祢自己的說話
[00:01:31.920 --> 00:01:35.280]  我們仰望祈禱,奉耶穌名字求
[00:01:35.280 --> 00:01:37.040]  Amen
[00:01:37.040 --> 00:01:42.920]  我們大家今天一齊思想的是啟示錄第十七章的經文
[00:01:42.920 --> 00:01:44.720]  我們在這個季度開始
[00:01:44.720 --> 00:01:48.440]  一齊思想啟示錄的十七到二十二章
[00:01:48.440 --> 00:01:49.800]  這幾章的聖經
[00:01:49.800 --> 00:01:52.360]  我想先說一件事情
[00:01:52.360 --> 00:01:58.640]  我記得前陣子很多訂閱者看過那本《中信的月刊》
[00:01:58.640 --> 00:02:01.280]  我也留意到其中有一篇見證
[00:02:01.280 --> 00:02:04.200]  其中有一點是我有一種感受的
[00:02:04.200 --> 00:02:05.520]  想跟大家分享一下
[00:02:05.520 --> 00:02:07.920]  這篇見證講述了一位弟兄
[00:02:07.920 --> 00:02:09.920]  他也是中年的弟兄
[00:02:09.920 --> 00:02:13.760]  在他早年的時候,很小的時候
[00:02:13.760 --> 00:02:16.160]  他已經進入了黑社會
[00:02:16.160 --> 00:02:20.720]  然後他在裡面學了神打
[00:02:21.400 --> 00:02:22.720]  大家知道什麼是神打
[00:02:22.720 --> 00:02:26.400]  過程裡面他招惹了很多邪靈
[00:02:26.400 --> 00:02:29.080]  他經歷過很多靈界的騷擾
[00:02:29.080 --> 00:02:31.960]  但是後來他不僅如此
[00:02:31.960 --> 00:02:35.280]  他又更加患了很重的肝癌
[00:02:35.280 --> 00:02:37.600]  但是在這個時候很奇妙
[00:02:37.600 --> 00:02:39.840]  上帝讓他接觸到福音
[00:02:39.840 --> 00:02:42.280]  也在過程當中經歷神的保守
[00:02:42.280 --> 00:02:44.400]  所以後來基本上康復
[00:02:44.400 --> 00:02:46.320]  他就信了主耶穌
[00:02:46.320 --> 00:02:50.960]  在後來當他有一次在家的時候
[00:02:50.960 --> 00:02:52.240]  他就說到突然間
[00:02:52.240 --> 00:02:55.280]  因為可能在浴室不小心跌倒
[00:02:55.280 --> 00:02:57.440]  跌倒整個人暈倒了
[00:02:57.440 --> 00:02:58.640]  送進了醫院
[00:02:58.640 --> 00:02:59.840]  在那個時候想不到
[00:02:59.840 --> 00:03:02.400]  也是他自己的舊病
[00:03:02.400 --> 00:03:04.240]  是肝病問題
[00:03:04.240 --> 00:03:05.600]  又重新發作
[00:03:05.600 --> 00:03:08.480]  有一個急性的肝衰竭
[00:03:08.480 --> 00:03:12.120]  是三天完全昏迷
[00:03:12.120 --> 00:03:13.600]  不省人事
[00:03:13.600 --> 00:03:15.360]  醫生覺得很危險
[00:03:15.360 --> 00:03:16.880]  隨時可能會沒命
[00:03:16.880 --> 00:03:18.480]  這位弟兄說回
[00:03:18.480 --> 00:03:21.520]  他說在當初當他信主受洗的時候
[00:03:21.520 --> 00:03:25.640]  其實仍然留意到有一些惡者對他的騷擾
[00:03:25.640 --> 00:03:27.320]  甚至他聽到一些聲音
[00:03:27.320 --> 00:03:30.080]  當他受洗之前就警告他
[00:03:30.080 --> 00:03:31.920]  告訴他
[00:03:31.920 --> 00:03:33.800]  你不要我了
[00:03:33.800 --> 00:03:35.760]  我一定回來再找你的
[00:03:35.760 --> 00:03:38.880]  就在這三天在醫院的時候
[00:03:38.880 --> 00:03:40.000]  這位弟兄就說
[00:03:40.000 --> 00:03:42.120]  那三天裡面迷迷糊糊
[00:03:42.120 --> 00:03:45.880]  但是很清楚有惡者跟他說話
[00:03:45.880 --> 00:03:46.840]  惡者就告訴他
[00:03:46.840 --> 00:03:47.960]  你信耶穌
[00:03:47.960 --> 00:03:49.720]  現在你死定了
