
[00:00:00.000 --> 00:00:10.000]  天父我們再次感謝你讓我們有機會來到這個周中的察景班
[00:00:10.000 --> 00:00:20.000]  特別當我們過了一半的時間來到一個非常之黑暗的一章聖經當中
[00:00:20.000 --> 00:00:30.000]  祝祢讓我們可以看見祢的福音、祢恩典的曙光
[00:00:30.000 --> 00:00:35.000]  也在我們當中可能是對於很多弟兄姊妹來說
[00:00:35.000 --> 00:00:40.000]  讀這一次的《路德記》也是一個很大的挑戰
[00:00:40.000 --> 00:00:45.000]  因為可能將一些過往我們自己所學習到的
[00:00:45.000 --> 00:00:51.000]  關於《路德記》的思維都要被拆散再重建
[00:00:51.000 --> 00:00:59.000]  求主祢真的幫助我們可以耐心地去聆聽
[00:00:59.000 --> 00:01:02.000]  也是真的有清晰的頭腦
[00:01:02.000 --> 00:01:09.000]  有恆心、有耐心去迎接祢為我們所預備的
[00:01:09.000 --> 00:01:12.000]  為今晚我們的聚會祈禱
[00:01:12.000 --> 00:01:15.000]  祝福我們今天祈禱共主耶穌基督的名禱
[00:01:15.000 --> 00:01:18.000]  首先賣個廣告
[00:01:18.000 --> 00:01:22.000]  今天我們剛剛收到這兩個二拉架
[00:01:22.000 --> 00:01:28.000]  當中我不知道是不是每個人都知道
[00:01:28.000 --> 00:01:34.000]  其實我們教會在十一月的第一個周六開始
[00:01:34.000 --> 00:01:36.000]  就會有一個周六崇拜
[00:01:36.000 --> 00:01:38.000]  就是我負責的
[00:01:38.000 --> 00:01:45.000]  所以我就訂了這兩個二拉架
[00:01:45.000 --> 00:01:47.000]  其實不應該出街的
[00:01:47.000 --> 00:01:49.000]  因為這個禮拜是無聚會的
[00:01:49.000 --> 00:01:52.000]  所以你不要當作這個禮拜是聚會
[00:01:52.000 --> 00:01:54.000]  我也是等到過了這個周六
[00:01:54.000 --> 00:01:57.000]  禮拜一開始才在教會門口會遇到的
[00:01:57.000 --> 00:01:59.000]  不過就跟大家分享
[00:01:59.000 --> 00:02:03.000]  也都是歡迎你拍張照
[00:02:03.000 --> 00:02:07.000]  你去拍張照給你朋友都可以的
[00:02:07.000 --> 00:02:12.000]  所以十一月四日是我們第一次聚會
[00:02:12.000 --> 00:02:14.000]  會在一樓的輔堂
[00:02:14.000 --> 00:02:16.000]  我差點忘記了一件事
[00:02:16.000 --> 00:02:18.000]  就是下個禮拜
[00:02:18.000 --> 00:02:20.000]  星期三我們不可以用這裡
[00:02:20.000 --> 00:02:22.000]  就要用一樓的輔堂
[00:02:22.000 --> 00:02:24.000]  所以下個禮拜你有機會實習一下
[00:02:24.000 --> 00:02:26.000]  來一樓輔堂
[00:02:26.000 --> 00:02:28.000]  所以下個禮拜的星期三晚上
[00:02:28.000 --> 00:02:30.000]  就不在這裡聚會
[00:02:30.000 --> 00:02:31.000]  因為這裡被人訂了
[00:02:31.000 --> 00:02:33.000]  我們去一樓
[00:02:33.000 --> 00:02:35.000]  希望我一會兒完的時候還記得
[00:02:35.000 --> 00:02:38.000]  可以跟大家分享
[00:02:38.000 --> 00:02:42.000]  鼓勵大家可以去看一些powerpoint
[00:02:42.000 --> 00:02:44.000]  或者是錄音等等
[00:02:44.000 --> 00:02:46.000]  也都歡迎大家
[00:02:46.000 --> 00:02:50.000]  寫email問我一些問題
[00:02:50.000 --> 00:02:52.000]  我們不會做很多複雜的
[00:02:52.000 --> 00:02:54.000]  不過你一定要記住
[00:02:54.000 --> 00:02:58.000]  我們讀《聖經》讀路德基的取向
[00:02:58.000 --> 00:03:01.000]  我們假設了讀路德基的人
[00:03:01.000 --> 00:03:04.000]  是知道前面那七本書的
[00:03:04.000 --> 00:03:06.000]  而今天你會發覺
[00:03:06.000 --> 00:03:09.000]  我們其實會看回很多前面
[00:03:09.000 --> 00:03:11.000]  尤其是《創世紀》那邊的
[00:03:11.000 --> 00:03:13.000]  也都會看一些後面的
[00:03:13.000 --> 00:03:14.000]  因為後面的東西
[00:03:14.000 --> 00:03:16.000]  也都跟路德基有些關係
[00:03:16.000 --> 00:03:18.000]  但是到最後
[00:03:18.000 --> 00:03:20.000]  一切的東西
[00:03:20.000 --> 00:03:22.000]  舊約都是一個影子
[00:03:22.000 --> 00:03:24.000]  真正的所有東西
[00:03:24.000 --> 00:03:27.000]  是指向新約
[00:03:27.000 --> 00:03:30.000]  而最後在新約裏面
[00:03:30.000 --> 00:03:33.000]  上帝呼召我們去做一個
[00:03:33.000 --> 00:03:36.000]  背棄十字架跟隨他的人
[00:03:36.000 --> 00:03:38.000]  舊約是朱古力
[00:03:38.000 --> 00:03:40.000]  新約才是真金白銀
[00:03:40.000 --> 00:03:43.000]  這樣落我們袋
[00:03:43.000 --> 00:03:48.000]  如果我帶你回到路德基的時代
[00:03:48.000 --> 00:03:50.000]  有一樣東西你非常要記得
[00:03:50.000 --> 00:03:52.000]  就是你要怎樣看得明白路德基
[00:03:52.000 --> 00:03:54.000]  一定要記住路德基和史詩記
[00:03:54.000 --> 00:03:59.000]  是孖生的兄弟或者姐妹龍鳳胎
[00:03:59.000 --> 00:04:01.000]  史詩記和路德基
[00:04:01.000 --> 00:04:05.000]  都是和當時的政治有關係
[00:04:05.000 --> 00:04:11.000]  是在大衛在南面造王七年半
[00:04:11.000 --> 00:04:15.000]  都未知道最後誰會統一以色列的時候所寫的
[00:04:15.000 --> 00:04:19.000]  史詩記的主題是《訴羅十悲皆選》
[00:04:19.000 --> 00:04:23.000]  路德基的主題是《大衛才是賢君》
