
[00:00:00.000 --> 00:00:02.500]  祝各位平安
[00:00:02.500 --> 00:00:07.800]  在這幾年有個流行的詞彙叫內耗
[00:00:07.800 --> 00:00:12.300]  內耗就是一個人一直處在自我懷疑當中
[00:00:12.300 --> 00:00:16.140]  他存在一種覺得自己要再多做些什麼
[00:00:16.140 --> 00:00:20.760]  才能夠被愛被接納的一種焦慮感
[00:00:20.760 --> 00:00:27.560]  有些人整理幾個常見的現代人內耗的行為
[00:00:27.560 --> 00:00:30.000]  你看看自己中了幾個
[00:00:30.000 --> 00:00:34.480]  第一個 對發出去的信息總是不放心
[00:00:34.480 --> 00:00:36.900]  這個信息才發出去
[00:00:36.900 --> 00:00:38.700]  你心裡就很不放心
[00:00:38.700 --> 00:00:40.280]  剛剛那一句話
[00:00:40.280 --> 00:00:42.920]  結尾我沒有加個波浪符號
[00:00:42.920 --> 00:00:44.840]  會不會太兇啊
[00:00:44.840 --> 00:00:46.680]  特別是傳給重要的人
[00:00:46.680 --> 00:00:48.840]  對方只要回得稍微慢一點
[00:00:48.840 --> 00:00:50.760]  就開始焦慮了
[00:00:50.760 --> 00:00:54.240]  順便把前十天的對話都複習一次
[00:00:54.240 --> 00:00:56.480]  看哪裡講錯了
[00:00:56.480 --> 00:00:57.880]  內耗行為二
[00:00:57.880 --> 00:01:01.760]  喜歡反覆倒帶別人的批評
[00:01:01.760 --> 00:01:03.600]  可能別人小小批評一下
[00:01:03.600 --> 00:01:04.960]  結果到了凌晨兩點
[00:01:04.960 --> 00:01:08.920]  你還在床上像鰹魚一樣翻來翻去
[00:01:08.920 --> 00:01:12.640]  想說 誒 他是不是覺得我能力很差呀
[00:01:12.640 --> 00:01:15.800]  其實對方早就睡得不省人事了
[00:01:15.800 --> 00:01:19.120]  只有你還在那裡反覆重播
[00:01:19.120 --> 00:01:20.320]  內耗行為三
[00:01:20.320 --> 00:01:24.680]  越滑臉書越心酸
[00:01:24.680 --> 00:01:27.400]  你睡前可能只想看個貓咪照片
[00:01:27.400 --> 00:01:29.400]  開心一下
[00:01:29.400 --> 00:01:30.720]  結果滑出來
[00:01:30.720 --> 00:01:33.680]  哇 這個同事結婚買房
[00:01:33.680 --> 00:01:36.520]  同學在杜拜騎駱駝
[00:01:36.520 --> 00:01:39.760]  然後還發現這個鄰居家的狗影片
[00:01:39.760 --> 00:01:42.560]  點讚數都比你高
[00:01:42.560 --> 00:01:44.320]  你原本發現今天過得還不錯
[00:01:44.320 --> 00:01:47.080]  忽然覺得懷疑人生了
[00:01:47.080 --> 00:01:47.840]  內耗行為四
[00:01:47.840 --> 00:01:50.000]  難以接受一點失敗
[00:01:50.000 --> 00:01:51.680]  工作出了一點小錯
[00:01:51.680 --> 00:01:55.080]  腦袋立刻冒出我這輩子沒救了
[00:01:55.080 --> 00:01:56.600]  發了一篇貼文
[00:01:56.600 --> 00:01:58.160]  沒有人點讚
[00:01:58.160 --> 00:02:01.200]  哇 瞬間覺得沒有人喜歡我
[00:02:01.200 --> 00:02:02.520]  其實你會發現
[00:02:02.520 --> 00:02:04.360]  這些行為的背後
[00:02:04.360 --> 00:02:08.160]  有一個共同的聲音在折磨我們
[00:02:08.160 --> 00:02:12.360]  那個聲音叫做我不夠好
[00:02:12.360 --> 00:02:14.200]  因為害怕自己不夠好
[00:02:14.200 --> 00:02:17.920]  我們就拼命想要表現完美
[00:02:17.920 --> 00:02:22.120]  我們想要向身邊的人證明自己的價值
[00:02:22.120 --> 00:02:27.280]  結果就從內耗變成內捲
[00:02:27.280 --> 00:02:28.320]  而更辛苦的是
[00:02:28.320 --> 00:02:31.920]  如果我們帶著這種內耗的心態來到教會
[00:02:31.920 --> 00:02:37.120]  很容易會用同樣的眼光來看待信仰
[00:02:37.120 --> 00:02:39.680]  特別是當我們翻開聖經讀到十誡
[00:02:39.680 --> 00:02:42.040]  哇 那壓力更大了
[00:02:42.040 --> 00:02:43.960]  想說我來教會想要找平安
[00:02:43.960 --> 00:02:48.280]  結果連神都給我定下十個屬靈的要求
[00:02:48.280 --> 00:02:51.880]  這不是讓人更內耗更崩潰嗎
[00:02:51.880 --> 00:02:55.520]  但其實神的十誡從來不是一份用來證明
[00:02:55.520 --> 00:02:58.280]  你夠不夠好的清單
[00:02:58.280 --> 00:03:01.960]  相反的 十誡是神渴望守護我們
[00:03:01.960 --> 00:03:05.320]  要帶給我們自由與安全感的寶藏
[00:03:05.320 --> 00:03:08.120]  所以今天我們要透過十誡來看看神
[00:03:08.120 --> 00:03:09.800]  告訴我們三個
[00:03:09.800 --> 00:03:12.440]  可以幫助我們告別內耗
[00:03:12.440 --> 00:03:15.160]  重新找回自由的秘訣
[00:03:15.160 --> 00:03:18.160]  第一個 讓恩典取代內耗
[00:03:18.160 --> 00:03:23.520]  跟你旁邊講 讓恩典取代內耗
[00:03:23.520 --> 00:03:24.920]  當我們讀十誡的時候
[00:03:24.920 --> 00:03:28.760]  會習慣從第三節的第一條誡命
[00:03:28.760 --> 00:03:31.280]  除了我以外你不可以有別的神
[00:03:31.280 --> 00:03:32.560]  然後我們就深吸一口氣
