
[00:00:00.000 --> 00:00:03.880]  今日的講題是「渴望蛻變」
[00:00:03.880 --> 00:00:05.080]  有三個重點
[00:00:05.080 --> 00:00:06.460]  第一個重點
[00:00:06.460 --> 00:00:08.460]  先講講第一個重點
[00:00:08.460 --> 00:00:13.880]  三個重點
[00:00:13.880 --> 00:00:15.880]  先講講第一個重點
[00:00:15.880 --> 00:00:20.180]  令成熟的第一步
[00:00:20.180 --> 00:00:22.180]  亦是最重要的一步
[00:00:22.180 --> 00:00:24.520]  就是由心出發
[00:00:24.520 --> 00:00:28.120]  先看看天父對我們這班已經
[00:00:28.120 --> 00:00:31.820]  得救成為他的寶貝兒女
[00:00:31.820 --> 00:00:33.820]  那種心意
[00:00:33.820 --> 00:00:35.820]  就是這一句
[00:00:35.820 --> 00:00:42.780]  就是很想我們有一股渴望的心
[00:00:42.780 --> 00:00:45.620]  活得像耶穌基督
[00:00:45.620 --> 00:00:47.620]  而經文就是這一句
[00:00:47.620 --> 00:00:48.620]  大家一起讀一口
[00:00:48.620 --> 00:00:49.620]  一二三
[00:00:49.620 --> 00:00:54.120]  你們當以基督耶穌的心為心
[00:00:54.120 --> 00:00:58.120]  意思是應該有耶穌基督的意念
[00:00:58.120 --> 00:01:00.120]  心為心的意思是
[00:01:00.120 --> 00:01:04.120]  一個很親密的結連
[00:01:04.120 --> 00:01:06.120]  簡單的說
[00:01:06.120 --> 00:01:08.120]  以他的心思為心思
[00:01:08.120 --> 00:01:10.120]  以他的觀念為觀念
[00:01:10.120 --> 00:01:12.120]  以他的靈為靈
[00:01:12.120 --> 00:01:14.120]  以他的行徑為行徑
[00:01:14.120 --> 00:01:16.120]  這裡看到一個字
[00:01:16.120 --> 00:01:18.120]  當的意思是應當
[00:01:18.120 --> 00:01:23.120]  應當是表達一種應該有的渴望
[00:01:23.120 --> 00:01:27.120]  所以如果沒有這個渴望
[00:01:27.120 --> 00:01:29.120]  老老實實的說
[00:01:29.120 --> 00:01:32.120]  其他的東西其實都不用說了
[00:01:32.120 --> 00:01:35.120]  不過我看大家都很有渴望的心
[00:01:35.120 --> 00:01:37.120]  所以可以繼續說下去
[00:01:37.120 --> 00:01:41.120]  如果我們沒有這樣的渴望
[00:01:41.120 --> 00:01:44.120]  我們真的不會親近我們的神
[00:01:44.120 --> 00:01:45.120]  為什麼
[00:01:45.120 --> 00:01:48.120]  因為我們只會去找其他的東西
[00:01:48.120 --> 00:01:50.120]  正如我想吃豆腐花
[00:01:50.120 --> 00:01:54.120]  我會千方百計去找
[00:01:54.120 --> 00:01:58.120]  真的找了超過半小時
[00:01:58.120 --> 00:02:00.120]  是不是很有毅力
[00:02:00.120 --> 00:02:02.120]  吃不到到最後
[00:02:02.120 --> 00:02:04.120]  所以如果沒有這個渴望
[00:02:04.120 --> 00:02:06.120]  自然就不會去找了
[00:02:06.120 --> 00:02:08.120]  所以同一道理
[00:02:08.120 --> 00:02:11.120]  如果你不渴望生命有成長
[00:02:11.120 --> 00:02:14.120]  你自然不會注意屬靈的事情
[00:02:14.120 --> 00:02:16.120]  弟兄姊妹
[00:02:16.120 --> 00:02:18.120]  這是一個重點
[00:02:18.120 --> 00:02:20.120]  如果沒有渴望
[00:02:20.120 --> 00:02:24.120]  我們會陷入一種很掙扎的困境當中
[00:02:24.120 --> 00:02:26.120]  沒有渴望成長 屬靈成長
[00:02:26.120 --> 00:02:29.120]  人生是會感到迷茫的
[00:02:29.120 --> 00:02:32.120]  好像船在海中航行
[00:02:32.120 --> 00:02:35.120]  但是沒有了船台一樣
[00:02:35.120 --> 00:02:36.120]  大家會覺得怎樣
[00:02:36.120 --> 00:02:37.120]  迷失了
[00:02:37.120 --> 00:02:40.120]  現在有所謂的GPS
[00:02:40.120 --> 00:02:42.120]  又沒有了GPS
[00:02:42.120 --> 00:02:44.120]  那你怎麼辦呢
[00:02:44.120 --> 00:02:46.120]  另一節經文
[00:02:46.120 --> 00:02:48.120]  跟大家分享的
[00:02:48.120 --> 00:02:54.120]  所以我們應當離開基督道理的開端
[00:02:54.120 --> 00:02:57.120]  竭力進到完全的地步
[00:02:57.120 --> 00:03:01.120]  在白萊書六章一節上
[00:03:01.120 --> 00:03:03.120]  留意有兩個字又出現了
[00:03:03.120 --> 00:03:06.120]  和剛才那節是一個什麼字
[00:03:06.120 --> 00:03:09.120]  當字 即是應當
[00:03:09.120 --> 00:03:11.120]  應當這兩個字又出現了
[00:03:11.120 --> 00:03:13.120]  意思是怎樣呢
[00:03:13.120 --> 00:03:18.120]  意思是我們要渴望長進
[00:03:18.120 --> 00:03:22.120]  離開舊因道理的開端
[00:03:22.120 --> 00:03:27.120]  我們不需要再在這些基礎裏面的教訓開始
[00:03:27.120 --> 00:03:29.120]  因為大家都有了
[00:03:29.120 --> 00:03:31.120]  意思是不需要再立根基
[00:03:31.120 --> 00:03:35.120]  意思是我們不需要重複悔改
[00:03:35.120 --> 00:03:37.120]  因為我們已經悔改了
[00:03:37.120 --> 00:03:39.120]  只不過如果我們犯罪
[00:03:39.120 --> 00:03:41.120]  和犯罪悔改是不同的
[00:03:41.120 --> 00:03:42.120]  大家要留意
[00:03:42.120 --> 00:03:44.120]  這個就是我們已經向神悔改
[00:03:44.120 --> 00:03:46.120]  承認了祂是我們的救主
[00:03:46.120 --> 00:03:49.120]  我們不需要重複重複重複做這件事情
[00:03:49.120 --> 00:03:54.120]  我們只需要向前追求就可以了
[00:03:54.120 --> 00:03:57.120]  舊因的道理是什麼呢 大家認為
[00:03:57.120 --> 00:04:00.120]  這裡說離開舊因道理的開端
[00:04:00.120 --> 00:04:02.120]  大家有沒有聽過這個
[00:04:02.120 --> 00:04:05.120]  全婚姻有沒有用過這個
[00:04:05.120 --> 00:04:07.120]  五色豬
[00:04:07.120 --> 00:04:10.120]  街頭報道很扎實
[00:04:10.120 --> 00:04:12.120]  我通常用這些
[00:04:12.120 --> 00:04:15.120]  和三五色七的人去報道
[00:04:15.120 --> 00:04:17.120]  在維園
[00:04:17.120 --> 00:04:18.120]  大家都很熟悉的
[00:04:18.120 --> 00:04:20.120]  綠色代表什麼 黑色代表什麼
[00:04:20.120 --> 00:04:22.120]  紅色代表什麼 白色代表什麼
[00:04:22.120 --> 00:04:24.120]  黃色代表什麼
[00:04:24.120 --> 00:04:30.120]  這個是整套舊因的道理
[00:04:30.120 --> 00:04:34.120]  其實這個舊因的道理
[00:04:34.120 --> 00:04:37.120]  是可以歸納兩個字的
[00:04:37.120 --> 00:04:41.120]  兩個字 大家認為是什麼字呢
[00:04:41.120 --> 00:04:44.120]  是大愛
[00:04:44.120 --> 00:04:47.120]  耶穌基督對我們的心意
[00:04:47.120 --> 00:04:54.120]  對我們的愛是人世間最大的愛
[00:04:54.120 --> 00:04:57.120]  我們要get到這個
[00:04:57.120 --> 00:04:59.120]  不知道大家get不get到
[00:04:59.120 --> 00:05:00.120]  我一會兒也會分享
[00:05:00.120 --> 00:05:03.120]  我初相的時候是get不到的
[00:05:03.120 --> 00:05:05.120]  當我們get到神給我們的大愛的時候
[00:05:05.120 --> 00:05:07.120]  這是世間上最大的愛的時候
[00:05:07.120 --> 00:05:11.120]  大家會怎麼回應呢
[00:05:11.120 --> 00:05:12.120]  大家會不會覺得
[00:05:12.120 --> 00:05:15.120]  信耶穌也是一個奇蹟
[00:05:15.120 --> 00:05:17.120]  屬不屬於
[00:05:17.120 --> 00:05:18.120]  我覺得是
[00:05:18.120 --> 00:05:22.120]  因為神在我們生命裡面去彰顯
[00:05:22.120 --> 00:05:24.120]  這個也是一個奇蹟
[00:05:24.120 --> 00:05:28.120]  都是神在我們生命裡面去發生的事情
[00:05:28.120 --> 00:05:33.120]  給大家一個例子
[00:05:33.120 --> 00:05:36.120]  四樣東西 大家看到是什麼
[00:05:36.120 --> 00:05:39.120]  加減乘除
[00:05:39.120 --> 00:05:41.120]  加減乘除是很重要的
[00:05:41.120 --> 00:05:43.120]  不知道大家讀小學的時候
[00:05:43.120 --> 00:05:47.120]  對於加減乘除的認識有多深
