
[00:00:00.000 --> 00:00:06.200]  各位朋友,各位弟子,能夠一齊敬拜,一齊聽誠話是恩典
[00:00:06.200 --> 00:00:10.360]  今日講的題目是「其樂無盡」
[00:00:10.360 --> 00:00:13.120]  基督徒其實都有很多壓力
[00:00:13.120 --> 00:00:16.320]  都有人生的故事,都有他的挑戰
[00:00:16.320 --> 00:00:22.520]  但基督徒在各種挑戰壓力,或者開心不開心背後
[00:00:22.520 --> 00:00:27.400]  他有一種出人意外的奇妙的平安和喜樂
[00:00:27.400 --> 00:00:31.560]  又有神給我們無盡的恩典
[00:00:31.560 --> 00:00:35.360]  所以今日的訊息想和大家分享,就叫「其樂無盡」
[00:00:35.360 --> 00:00:38.080]  我們身處的世界是多變的世界
[00:00:38.080 --> 00:00:41.040]  很多變化,有些人沒有想過
[00:00:41.040 --> 00:00:44.000]  剛剛前一陣子美國總統選舉
[00:00:44.000 --> 00:00:49.680]  想問大家,當時之前你猜特朗普會贏的弟子朋友舉手嗎?
[00:00:49.680 --> 00:00:55.400]  都少量,所以我那次沒有看選舉,後來才看
[00:00:55.400 --> 00:01:00.560]  有人說之後看選舉,剛剛開電視說95%都是希拉蕊贏
[00:01:00.560 --> 00:01:04.880]  中午有50%,最後只有5個,最後輸了
[00:01:04.880 --> 00:01:07.400]  連這些專家都這麼混亂
[00:01:07.400 --> 00:01:13.160]  當特朗普贏了之後,去日本首相的其中一個組去見他
[00:01:13.160 --> 00:01:16.000]  其中一幕就發覺做商人的風格不同
[00:01:16.000 --> 00:01:22.240]  有人說去見日本首相,他的女兒和女婿都坐在一起
[00:01:22.240 --> 00:01:24.480]  好像家族會議一樣
[00:01:24.480 --> 00:01:29.760]  有些人覺得家族會議和總統見面是有點不同的
[00:01:29.760 --> 00:01:32.400]  可能將來的風格怎樣都不同
[00:01:32.400 --> 00:01:36.720]  其實我們身處一個很多變幻的世代,整個變化很大
[00:01:36.720 --> 00:01:40.080]  對我來說,跟我太太都一樣
[00:01:40.080 --> 00:01:43.200]  發覺很多事情是我子女懂,我不懂
[00:01:43.200 --> 00:01:45.480]  其中有些手機很多事情都是這樣
[00:01:45.480 --> 00:01:49.080]  舉例說,我剛剛暑假的時候和家人去日本旅行
[00:01:49.080 --> 00:01:56.600]  特意用手機安裝了Pokemon Go,玩了三個字左右
[00:01:56.600 --> 00:01:59.560]  都不懂玩,因為去機場沒有東西可以捕捉
[00:01:59.560 --> 00:02:02.880]  去到某些地方我就不太想捕捉
[00:02:02.880 --> 00:02:08.760]  但有些波蘭漫畫很懂時代性
[00:02:08.760 --> 00:02:15.680]  拍攝一個漫畫,究竟是我們去捕捉叢靈,還是叢靈在捕捉我們
[00:02:15.680 --> 00:02:21.040]  低著頭好像被叢靈騎著的感覺都不奇怪
[00:02:21.040 --> 00:02:23.680]  世事有很多變幻風格不同了
[00:02:23.680 --> 00:02:26.520]  例如手機影響我們的時代
[00:02:26.520 --> 00:02:30.440]  這個時代很多人想讀書,找不到工作又讀書
[00:02:30.440 --> 00:02:33.640]  工作又讀書,進修又讀書
[00:02:33.640 --> 00:02:38.520]  這幅畫裡面如果大家看到,就好像一個人一直爬,一直讀書
[00:02:38.520 --> 00:02:42.080]  但有些人就懶惰,你見到右邊這幅畫很懶惰
[00:02:42.080 --> 00:02:45.760]  不知道看不看得到,懶惰地看電視
[00:02:45.760 --> 00:02:48.640]  我想問大家,你想懶惰地看電視的,你讀書多嗎?
[00:02:48.640 --> 00:02:50.160]  我不太清楚
[00:02:50.160 --> 00:02:52.040]  就是這樣的環境
