
[00:00:00.000 --> 00:00:02.960]  各位鼎姊妹 主內平安
[00:00:02.960 --> 00:00:06.520]  相信在這段時間 疫情很嚴峻
[00:00:06.520 --> 00:00:10.880]  大家都面對著不同的挑戰和困擾
[00:00:10.880 --> 00:00:15.280]  盼望我們能夠時時鼎精在神的裡面
[00:00:15.280 --> 00:00:19.280]  一方面我們要去到小心
[00:00:19.280 --> 00:00:23.200]  以致我們能夠有健康的身體
[00:00:23.200 --> 00:00:25.040]  與此同時在這段時間
[00:00:25.040 --> 00:00:28.840]  求神都叫我們去到警醒禱告
[00:00:28.840 --> 00:00:31.480]  讓我們都能夠在疫情裡面
[00:00:31.480 --> 00:00:34.920]  仍然看見神的恩典是夠用
[00:00:34.920 --> 00:00:39.440]  兩三天前在回來教會的途中
[00:00:39.440 --> 00:00:43.520]  見到一位很久沒見的朋友
[00:00:43.520 --> 00:00:47.000]  他跟我說 這段時間新的防疫政策
[00:00:47.000 --> 00:00:50.120]  要求宗教場所要關閉
[00:00:50.120 --> 00:00:54.120]  那你不用上班 很空閒沒有事做
[00:00:54.120 --> 00:00:56.280]  這位朋友未信主
[00:00:56.280 --> 00:01:01.720]  所以這個問題不禁令我有很多反思
[00:01:01.720 --> 00:01:04.160]  究竟教會是什麼呢?
[00:01:04.160 --> 00:01:09.400]  教會是否只是單單提供宗教服務的機構
[00:01:09.400 --> 00:01:13.760]  要開門才能夠營運才能夠搞活動呢?
[00:01:13.760 --> 00:01:15.520]  當關了門的時候
[00:01:15.520 --> 00:01:21.400]  就好像停了工 一切停擺 死氣沉沉
[00:01:21.400 --> 00:01:24.440]  各位鼎姊妹 什麼是教會呢?
[00:01:24.440 --> 00:01:27.120]  教會是指你和我
[00:01:27.120 --> 00:01:32.440]  教會是你和我被耶穌基督呼召出來的一群人
[00:01:32.440 --> 00:01:35.880]  理論上我們應該是滿有生命力的
[00:01:35.880 --> 00:01:41.560]  一群來到宣講天國臨到的耶穌的門徒
[00:01:41.560 --> 00:01:45.240]  並且我們帶著耶穌基督給我們的使命
[00:01:45.240 --> 00:01:52.040]  在世上去服侍我們一切的有關牧養心靈
[00:01:52.040 --> 00:01:55.800]  宣講真道 追求公平公義
[00:01:55.800 --> 00:02:01.920]  關懷弱勢社群的工作是不能夠被關閉的
[00:02:01.920 --> 00:02:04.120]  不知道此時此刻
[00:02:04.120 --> 00:02:08.000]  我們屬靈的光景又是怎樣呢?
[00:02:08.000 --> 00:02:10.240]  今天我們要從啟示錄
[00:02:10.240 --> 00:02:13.520]  七教會 第五個教會 撒迪教會
[00:02:13.520 --> 00:02:16.880]  帶給我們有屬靈的覺醒
