
[00:00:00.000 --> 00:00:04.480]  經常聽見有些人去形容
[00:00:04.480 --> 00:00:07.480]  有一段距離是這麼近那麼遠
[00:00:07.480 --> 00:00:09.480]  有沒有聽過?
[00:00:09.480 --> 00:00:11.480]  這句話知不知道是怎麼來的?
[00:00:11.480 --> 00:00:14.000]  如果你認識張學友
[00:00:14.000 --> 00:00:16.000]  熟悉他的歌你一定會知道
[00:00:16.000 --> 00:00:19.000]  是他很出名的一首名曲
[00:00:19.000 --> 00:00:23.000]  這首歌裡面有句歌詞提到
[00:00:23.000 --> 00:00:27.000]  靜靜默默望著陌生的背面
[00:00:27.000 --> 00:00:29.000]  心中所想
[00:00:29.000 --> 00:00:31.000]  原來你我多麼的遠
[00:00:31.000 --> 00:00:34.000]  仗天涯那一端
[00:00:34.000 --> 00:00:38.000]  但卻無法行前一串
[00:00:38.000 --> 00:00:40.000]  很有詩意
[00:00:40.000 --> 00:00:42.000]  明明一個心愛的人
[00:00:42.000 --> 00:00:44.000]  就在眼前
[00:00:44.000 --> 00:00:46.000]  經常都會見到
[00:00:46.000 --> 00:00:48.000]  但彼此那種感覺
[00:00:48.000 --> 00:00:52.000]  就好像在天涯那麼遠一般
[00:00:52.000 --> 00:00:53.000]  更加可悲的是
[00:00:53.000 --> 00:00:56.000]  好像無法行前一串
[00:00:56.000 --> 00:01:01.000]  充滿著無奈
[00:01:01.000 --> 00:01:02.000]  如果我們當中
[00:01:02.000 --> 00:01:05.000]  應該有很多是上班的一族
[00:01:05.000 --> 00:01:09.000]  如果你每天都會迫巴士
[00:01:09.000 --> 00:01:11.000]  或者迫地鐵
[00:01:11.000 --> 00:01:14.000]  你應該會很明白一件事
[00:01:14.000 --> 00:01:16.000]  其實每天跟你最近距離的
[00:01:16.000 --> 00:01:18.000]  可能不是你的家人
[00:01:18.000 --> 00:01:21.000]  而是跟你一起迫巴士迫地鐵的那個
[00:01:21.000 --> 00:01:22.000]  你不認識他的
[00:01:22.000 --> 00:01:25.000]  那個只是路人甲乙丙
[00:01:25.000 --> 00:01:29.000]  可否用張學友剛才那句歌詞套用下去
[00:01:29.000 --> 00:01:31.000]  都可以的
[00:01:31.000 --> 00:01:34.000]  靜靜默默看著陌生的背面
[00:01:34.000 --> 00:01:36.000]  你都不認識他
[00:01:36.000 --> 00:01:39.000]  心中所想你我多麼的遠
[00:01:39.000 --> 00:01:40.000]  當然遠了
[00:01:40.000 --> 00:01:43.000]  你連他都不認識
[00:01:43.000 --> 00:01:45.000]  不過不同的地方就是
[00:01:45.000 --> 00:01:47.000]  你不會想行前多一串
[00:01:47.000 --> 00:01:49.000]  這就是不同的地方
[00:01:49.000 --> 00:01:53.000]  為什麼
[00:01:53.000 --> 00:01:56.000]  因為你跟他沒有關係
[00:01:56.000 --> 00:01:58.000]  你不會去care
[00:01:58.000 --> 00:02:04.000]  你跟他中間那段深的距離是怎樣
[00:02:04.000 --> 00:02:06.000]  因為真是關心的
[00:02:06.000 --> 00:02:07.000]  我們care的
[00:02:07.000 --> 00:02:11.000]  不是那個物質物理上的距離
[00:02:11.000 --> 00:02:13.000]  用尺度量度的距離
[00:02:13.000 --> 00:02:16.000]  而是那種深的距離
[00:02:16.000 --> 00:02:18.000]  這個是跟愛有關
[00:02:18.000 --> 00:02:22.000]  是跟關係有關的距離
[00:02:22.000 --> 00:02:23.000]  或者我們去想想
[00:02:23.000 --> 00:02:26.000]  我們跟上帝又是怎樣呢
[00:02:26.000 --> 00:02:29.000]  不如我試試訪問一下大家
[00:02:29.000 --> 00:02:31.000]  我給你三個選擇
[00:02:31.000 --> 00:02:33.000]  不用怕因為三個都對
[00:02:33.000 --> 00:02:36.000]  但你選擇其中一個
[00:02:36.000 --> 00:02:37.000]  你選擇其中一個
[00:02:37.000 --> 00:02:39.000]  你覺得你過去七天
[00:02:39.000 --> 00:02:41.000]  你覺得你最普遍
[00:02:41.000 --> 00:02:42.000]  你覺得最直覺
[00:02:42.000 --> 00:02:43.000]  最似的那個就是了
