
[00:00:00.000 --> 00:00:02.200]  進入聖州的時候
[00:00:02.200 --> 00:00:05.560]  十價的冠冕對於我們來說是什麼意思呢?
[00:00:05.560 --> 00:00:09.320]  盼望我們今天都藉著進入這個聖州
[00:00:09.320 --> 00:00:11.960]  我們有更多的反思和思考
[00:00:11.960 --> 00:00:14.120]  上帝在我們生命裏面的計劃
[00:00:14.120 --> 00:00:15.880]  容若在我分享之前
[00:00:15.880 --> 00:00:17.680]  我們先一起祈禱
[00:00:17.680 --> 00:00:23.800]  親愛的主我們感謝讚美你
[00:00:23.800 --> 00:00:26.160]  多謝你讓我們今天早上
[00:00:26.160 --> 00:00:29.240]  能夠在這裏聽到你的聖言
[00:00:29.240 --> 00:00:30.440]  主啊
[00:00:30.440 --> 00:00:34.920]  這個禮拜我們正進入你受苦的聖州裏面
[00:00:34.920 --> 00:00:37.600]  主啊容讓我們思想主耶穌
[00:00:37.600 --> 00:00:41.480]  你在十字架上為我們所成就的一切
[00:00:41.480 --> 00:00:44.280]  主聖靈容讓主你的話語
[00:00:44.280 --> 00:00:47.000]  繼續在我們的生命裏面去作供
[00:00:47.000 --> 00:00:49.440]  以致我們的生命並不偏離
[00:00:49.440 --> 00:00:53.440]  讓我們繼續走在合上帝你心意的當中
[00:00:53.440 --> 00:00:57.680]  願今日主你的聖道去親自作為我們的提醒
[00:00:57.680 --> 00:00:59.400]  我們同心合意的禱告
[00:00:59.400 --> 00:01:02.600]  是奉靠主耶穌基督得勝命自祈求
[00:01:02.600 --> 00:01:04.200]  阿門
[00:01:04.200 --> 00:01:09.080]  今天是大齋祈的第六個主日
[00:01:09.080 --> 00:01:11.360]  亦都是棕樹主日
[00:01:11.360 --> 00:01:16.760]  大家都看到我們旁邊都放置了一些棕樹在這裏
[00:01:16.760 --> 00:01:19.160]  這一天是紀念百姓
[00:01:19.160 --> 00:01:23.360]  拿著這些象徵歡迎國王進入
[00:01:23.360 --> 00:01:26.160]  耶路撒冷城的一個棕樹
[00:01:26.160 --> 00:01:30.280]  來歡迎耶穌進入耶路撒冷的日子
[00:01:30.280 --> 00:01:35.280]  而耶路撒冷是標誌著拯救的實現
[00:01:35.280 --> 00:01:36.720]  表面上看來
[00:01:36.720 --> 00:01:40.560]  這是令我們很興奮很開心的日子
[00:01:40.560 --> 00:01:42.520]  拯救
[00:01:42.520 --> 00:01:45.120]  但是在高興的背後
[00:01:45.120 --> 00:01:49.160]  卻是隱藏著艱難和苦難
