
[00:00:00.000 --> 00:00:04.680]  因為經濟道的經驗是在二十二世紀四大鬥爭第七戰
[00:00:04.680 --> 00:00:06.680]  就叫做第三戰
[00:00:06.680 --> 00:00:11.040]  這個題目是復興的兩個角色
[00:00:11.040 --> 00:00:13.500]  至於大家想復興
[00:00:13.500 --> 00:00:15.500]  在世紀裡面你覺得
[00:00:15.500 --> 00:00:19.160]  哪一個片段或者哪一個時代的故事
[00:00:19.160 --> 00:00:23.160]  你覺得是一個復興最好的典範呢
[00:00:23.160 --> 00:00:24.840]  我真的可以想
[00:00:24.840 --> 00:00:28.760]  二十二世紀文書《紅外》是一個很大的復興
[00:00:28.760 --> 00:00:30.760]  我真的可以想
[00:00:30.760 --> 00:00:32.760]  二十二世紀文書《巴比倫哥》
[00:00:32.760 --> 00:00:34.760]  被擁之後
[00:00:34.760 --> 00:00:36.760]  就在當時是一個很大的復興
[00:00:36.760 --> 00:00:38.760]  我真的可以想
[00:00:38.760 --> 00:00:40.760]  耶穌基督
[00:00:40.760 --> 00:00:42.760]  這十四年
[00:00:42.760 --> 00:00:44.760]  聖天
[00:00:44.760 --> 00:00:46.760]  然後留下的鏡半度
[00:00:46.760 --> 00:00:48.760]  去鎖裝船頭禮物
[00:00:48.760 --> 00:00:50.760]  但是他仍在聽書的話
[00:00:50.760 --> 00:00:52.760]  守住聖餐
[00:00:52.760 --> 00:00:54.760]  跪著故事文物的兩全題
[00:00:54.760 --> 00:00:56.760]  守聖路的教堂
[00:00:56.760 --> 00:00:58.760]  這就是復興
[00:00:58.760 --> 00:01:00.760]  或者你說
[00:01:00.760 --> 00:01:02.760]  聖經裡面
[00:01:02.760 --> 00:01:04.760]  若納這個人
[00:01:04.760 --> 00:01:06.760]  在世上公義的人
[00:01:06.760 --> 00:01:10.760]  竟然被很多的
[00:01:10.760 --> 00:01:12.760]  被很多的困難
[00:01:12.760 --> 00:01:14.760]  逼迫了他
[00:01:14.760 --> 00:01:16.760]  但終於成了一個大師叔
[00:01:16.760 --> 00:01:18.760]  去祝福他
[00:01:18.760 --> 00:01:20.760]  這可以說是聖經裡面看到的
[00:01:20.760 --> 00:01:22.760]  不同的復興
[00:01:24.760 --> 00:01:26.760]  我想問
[00:01:26.760 --> 00:01:28.760]  就算這段時間
[00:01:28.760 --> 00:01:30.760]  那一段復興
[00:01:30.760 --> 00:01:32.760]  最興隆
[00:01:32.760 --> 00:01:34.760]  最好時
[00:01:34.760 --> 00:01:36.760]  是哪一段時期
[00:01:36.760 --> 00:01:38.760]  或者是你的經歷
[00:01:38.760 --> 00:01:40.760]  同時當中
[00:01:40.760 --> 00:01:42.760]  哪一段是最深
[00:01:42.760 --> 00:01:44.760]  甚至是你的心靈
[00:01:44.760 --> 00:01:46.760]  那一段最深
[00:01:46.760 --> 00:01:50.760]  如果想問我一件事
[00:01:50.760 --> 00:01:52.760]  問你現在公義的人
[00:01:54.760 --> 00:01:56.760]  當中真正
[00:01:56.760 --> 00:01:58.760]  他是否有一個繁瑣
[00:01:58.760 --> 00:02:00.760]  令到你很安寧
[00:02:00.760 --> 00:02:02.760]  我真的在
[00:02:02.760 --> 00:02:04.760]  回到當中時
[00:02:04.760 --> 00:02:06.760]  好像沒有想到
[00:02:06.760 --> 00:02:08.760]  就是經文
[00:02:08.760 --> 00:02:10.760]  希望藉著一些經文的教導
[00:02:10.760 --> 00:02:12.760]  大家可以去練習
[00:02:12.760 --> 00:02:14.760]  可以去學習
[00:02:22.760 --> 00:02:24.760]  我們看復興
