
[00:00:00.000 --> 00:00:04.200]  我們今天繼續《天國演義》的這個系列
[00:00:04.200 --> 00:00:06.880]  而這個系列是最後的一講
[00:00:06.880 --> 00:00:09.040]  這個系列其實我們一直都在講
[00:00:09.040 --> 00:00:13.880]  我們是嘗試去探討一下有關於社會公義的問題
[00:00:13.880 --> 00:00:15.840]  一個大家這幾年裏面
[00:00:15.840 --> 00:00:18.920]  其實是一個比較關注的一個題目
[00:00:18.920 --> 00:00:21.640]  不過就好像Ivan如果你有聽之前
[00:00:21.640 --> 00:00:23.280]  早兩個星期的一篇稿的時候
[00:00:23.280 --> 00:00:26.960]  其實講社會公義是包括很多東西的
[00:00:26.960 --> 00:00:32.400]  一般指的其實是講社會的資源可不可以公平地分配
[00:00:32.400 --> 00:00:33.720]  而在人的角度
[00:00:33.720 --> 00:00:38.720]  又講是不是每個人都可以得到相同的對待
[00:00:38.720 --> 00:00:41.960]  可能相同的民主、自由等等
[00:00:41.960 --> 00:00:45.320]  但是當剛剛都講其實涉及範圍太大的時候
[00:00:45.320 --> 00:00:48.480]  其實很難每樣東西都講得完全部東西的
[00:00:48.480 --> 00:00:51.440]  所以當我去想要跟大家講什麼的時候
[00:00:51.440 --> 00:00:56.880]  很自然就會去想一下其實過去這幾年發生的事
[00:00:56.880 --> 00:01:02.120]  又去想一下其實可能在各方面的人去聊天
[00:01:02.120 --> 00:01:06.920]  或者是在社交平臺裏面有沒有什麼是不同了的呢
[00:01:06.920 --> 00:01:08.920]  其中一樣東西是不同了的
[00:01:08.920 --> 00:01:10.120]  就是其實都挺廢話的
[00:01:10.120 --> 00:01:11.400]  我想完之後都覺得
[00:01:11.400 --> 00:01:16.440]  就是公義這個詞彙變得非常之常見
[00:01:16.440 --> 00:01:17.800]  就是無論是新聞也好
[00:01:17.800 --> 00:01:20.160]  無論是剛纔講社交平臺也好
[00:01:20.160 --> 00:01:23.120]  政界人物的一些宣傳口號也好
[00:01:23.120 --> 00:01:25.680]  又或者可能是坊間的一些書籍
[00:01:25.680 --> 00:01:27.640]  甚至教會界的一些書籍
[00:01:27.640 --> 00:01:34.240]  其實多了很多人去討論究竟公義這個課題是什麼
[00:01:34.240 --> 00:01:37.440]  但是其實很有趣的是
[00:01:37.440 --> 00:01:39.120]  當我們大家去留心一下
[00:01:39.120 --> 00:01:43.920]  或者去看看不同的角度的人去講的公義
[00:01:43.920 --> 00:01:47.760]  其實你發覺基本上大家講的東西不是一樣的
[00:01:47.760 --> 00:01:50.920]  就是很多人講的其實基本上都是用公義的名義
[00:01:50.920 --> 00:01:53.840]  但是他們的解釋都不同
[00:01:53.840 --> 00:01:55.760]  不過有一樣東西是一樣的
[00:01:55.760 --> 00:01:58.920]  就是他們縱然有不同的解釋
[00:01:58.920 --> 00:02:01.200]  但是他們都會覺得
[00:02:01.200 --> 00:02:03.080]  自己那個纔是正義
[00:02:03.080 --> 00:02:06.240]  自己那個纔是一個正確的解釋方法
[00:02:06.240 --> 00:02:07.280]  以致到
[00:02:07.280 --> 00:02:09.360]  不過當我去思考的時候我又想
[00:02:09.360 --> 00:02:12.760]  其實我想有小部分人應該一定知道自己講的那個不是
[00:02:12.760 --> 00:02:15.000]  因爲他其實帶着一些
[00:02:15.000 --> 00:02:16.200]  可能是個人利益啊
[00:02:16.200 --> 00:02:18.240]  以致到他去
[00:02:18.240 --> 00:02:20.840]  講出一些判斷啊一些說話的時候
[00:02:20.840 --> 00:02:22.120]  他縱然說自己公義
[00:02:22.120 --> 00:02:24.720]  其實他背地裏可能未必真的知道
[00:02:24.720 --> 00:02:26.880]  也知道自己不是
[00:02:26.880 --> 00:02:28.240]  所以呢
[00:02:28.240 --> 00:02:31.600]  當我們講其實
[00:02:31.600 --> 00:02:35.760]  現在我們所有世界發生這麼多爭議的裏面
[00:02:35.760 --> 00:02:39.920]  我們現在基本上每一樣東西我們要去看的時候
[00:02:39.920 --> 00:02:41.440]  可能網上新聞也好
[00:02:41.440 --> 00:02:44.200]  可能就算是一些
[00:02:44.200 --> 00:02:46.920]  實際紙張的新聞也好
[00:02:46.920 --> 00:02:50.120]  你都要有一個很大的判斷你才能想得到
[00:02:50.120 --> 00:02:53.680]  那樣東西其實是不是一個正確或者是一個公義呢
[00:02:53.680 --> 00:02:56.120]  所謂公義的存在呢
