
[00:00:00.000 --> 00:00:04.520]  早晨 很高興可以在現場跟大家分享神的話
[00:00:04.520 --> 00:00:07.680]  實在太寶貴了 兩年要在網上
[00:00:07.680 --> 00:00:10.760]  這次可以面對面分享神的話
[00:00:10.760 --> 00:00:11.760]  神的話很寶貴
[00:00:11.760 --> 00:00:13.840]  所以我們用神的話來開始
[00:00:13.840 --> 00:00:16.400]  今天我要跟大家分享的訊息
[00:00:16.400 --> 00:00:19.040]  是在《帖撒羅尼加前書》的四章
[00:00:19.040 --> 00:00:23.360]  我知道現在不流行帶聖經回教會
[00:00:23.360 --> 00:00:25.520]  如果你電話上有聖經
[00:00:25.520 --> 00:00:27.920]  都很歡迎你跟我一起回到
[00:00:27.920 --> 00:00:30.800]  《帖撒羅尼加前書》的四章
[00:00:30.800 --> 00:00:32.280]  一至十二節
[00:00:32.280 --> 00:00:35.280]  我首先將經文完整讀出來
[00:00:35.280 --> 00:00:37.120]  我現在要宣讀神的話
[00:00:37.120 --> 00:00:41.160]  弟兄們 我還有話說
[00:00:41.160 --> 00:00:44.880]  我們靠著主耶穌求你們 勸你們
[00:00:44.880 --> 00:00:47.680]  你們竟然受了我們的教導
[00:00:47.680 --> 00:00:51.000]  知道該怎樣行 可以討神的喜悅
[00:00:51.000 --> 00:00:54.720]  就要照你們現在所行的更加勉勵
[00:00:54.720 --> 00:00:59.520]  你們原曉得我們憑主耶穌傳給你們什麼命令
[00:00:59.520 --> 00:01:03.200]  神的旨意就是要你們成為聖潔
[00:01:03.200 --> 00:01:04.840]  遠避淫行
[00:01:04.840 --> 00:01:08.160]  要你們各人曉得怎樣用聖潔
[00:01:08.160 --> 00:01:12.160]  轉跪守著自己的身體
[00:01:12.160 --> 00:01:14.440]  不放縱私慾的邪情
[00:01:14.440 --> 00:01:17.440]  像那不認識神的外邦人
[00:01:17.440 --> 00:01:20.080]  不要一個人在這世上月份
[00:01:20.080 --> 00:01:21.960]  欺負他的弟兄
[00:01:21.960 --> 00:01:24.800]  因為這類的事 主必報應
[00:01:24.800 --> 00:01:27.160]  正如我預先對你們說過
[00:01:27.160 --> 00:01:29.680]  又徹徹祝福你們的
