
[00:00:00.000 --> 00:00:07.400]  弟兄姊妹,大家好!主內平安,炸亂還寒的時候,大家要保重身體。
[00:00:07.400 --> 00:00:13.800]  今早我們講到的題目是「敬拜上主,非靠聰明」。
[00:00:13.800 --> 00:00:18.500]  我不知道你聽到這樣的題目,心裏面會有什麼問題。
[00:00:18.500 --> 00:00:22.500]  我心裏面就冒起一個問題。
[00:00:22.500 --> 00:00:30.700]  既然「敬拜上主,非靠聰明」,那我們是靠什麼呢?
[00:00:30.700 --> 00:00:36.900]  如果論反面的教材,剛才讀過的一段正經,
[00:00:36.900 --> 00:00:42.000]  其實都在表達,以色列人這件事都不止做過一次了,
[00:00:42.000 --> 00:00:49.700]  就是鑄造金牛毒,並且以那個為他們的神。
[00:00:49.700 --> 00:00:52.600]  頒布十屆之後,很快又一次。
[00:00:52.600 --> 00:01:00.200]  然後剛才讀的《列王紀》上十二章,幾百年之後,又是另一次。
[00:01:00.200 --> 00:01:05.900]  這一次大衛和所羅門統一的王朝已經結束了,
[00:01:05.900 --> 00:01:10.200]  但是耶羅波安又有自己的打算。
[00:01:10.200 --> 00:01:13.200]  以色列王耶羅波安,對於他來說,
[00:01:13.200 --> 00:01:20.800]  如果以色列人還是要去猶大那一邊耶路撒冷去敬拜上主的話,
[00:01:20.800 --> 00:01:27.300]  去多了就怕他們的心仍然歸向猶大王羅波安。
[00:01:27.300 --> 00:01:30.600]  於是就策劃了鑄造兩個金牛毒,
[00:01:30.600 --> 00:01:35.700]  一個放在伯特利,另一個放在丹,
[00:01:35.700 --> 00:01:43.000]  而且建自己的神殿,又立自己的祭司。
[00:01:43.000 --> 00:01:45.600]  我們可能會這樣說,
[00:01:45.600 --> 00:01:50.600]  耶羅波安是不是很自欺欺人,
[00:01:50.600 --> 00:01:58.500]  真是相信那兩個金牛毒是真正象徵神的臨在呢?
[00:01:58.500 --> 00:02:00.500]  其實我們不是很清楚,
[00:02:00.500 --> 00:02:07.900]  不過經文原文的語氣顯得他是頗為理直氣壯的。
[00:02:07.900 --> 00:02:16.300]  他對百姓說:「看啊,你的神以色列就善令你出埃及地的」,
[00:02:16.300 --> 00:02:18.500]  他沒有懷疑那是神明,
[00:02:18.500 --> 00:02:28.200]  他看到金牛毒就當他是領子民出埃及地的那個神。
[00:02:28.200 --> 00:02:37.300]  你說以金牛毒去視他為帶領以色列人出埃及地的神?
[00:02:37.300 --> 00:02:39.500]  有沒有搞錯啊?
[00:02:39.500 --> 00:02:43.300]  當然我們不可以從我們純粹現代的觀點,
[00:02:43.300 --> 00:02:51.300]  古代人在他們的描述裏面,神是有他自己的座駕的,
[00:02:51.300 --> 00:02:53.300]  我們很難想像。
[00:02:53.300 --> 00:02:57.700]  但是金牛毒案那時候的人的了解,
[00:02:57.700 --> 00:03:01.100]  有一個神明叫巴力,上一次也提過。
[00:03:01.100 --> 00:03:10.300]  他在古代人心裏面是象徵著掌管風調雨順的神明來的。
[00:03:10.300 --> 00:03:16.100]  於是乎這個巴力也有座駕的,就是牛。
[00:03:16.100 --> 00:03:19.500]  我現代觀點又想一下,
[00:03:19.500 --> 00:03:20.900]  咦?錯牛的?
[00:03:20.900 --> 00:03:25.400]  是不是林博堅尼呢?
[00:03:25.400 --> 00:03:31.200]  聖經有時候形容,我們上主,我們的神都有座駕的,
[00:03:31.200 --> 00:03:34.100]  不過就少一點這樣強調的。
[00:03:34.100 --> 00:03:36.800]  那個就叫做姬老伯。
[00:03:36.800 --> 00:03:41.900]  姬老伯是伊甸園那時候出過的,多數我們都沒有留意的。
[00:03:41.900 --> 00:03:44.100]  不知道亞當夏娃有沒有見過,
[00:03:44.100 --> 00:03:48.400]  但是其他人肯定沒有見過伊甸園那個姬老伯。
[00:03:48.400 --> 00:03:50.300]  後來姬老伯再出現的時候,
[00:03:50.300 --> 00:03:56.500]  已經是描述在約桂上面的一個象徵。
[00:03:56.500 --> 00:04:01.500]  象徵著上帝的同在,象徵著上帝的寶座。
[00:04:01.500 --> 00:04:03.400]  詩篇十八篇第十節,
[00:04:03.400 --> 00:04:10.500]  甚至說上主是坐在姬老伯上面飛行的。
[00:04:10.500 --> 00:04:12.500]  詩篇第十八篇第十節。
[00:04:12.500 --> 00:04:15.200]  我就想一下,咦?姬老伯是有益的。
[00:04:15.200 --> 00:04:18.300]  又是不是亞當夏娃呢?
[00:04:18.300 --> 00:04:20.000]  你不認識這些牌子不要緊。
[00:04:20.000 --> 00:04:22.700]  不過,純粹以色列人,
[00:04:22.700 --> 00:04:29.000]  是不是對於上主的敬拜純粹搞錯了,
[00:04:29.000 --> 00:04:32.700]  他坐什麼牌子的座駕呢?
[00:04:32.700 --> 00:04:36.600]  這就是我這個現代的男人會問的問題。
[00:04:36.600 --> 00:04:40.900]  敬拜別臣的方式拿來代表了,
[00:04:40.900 --> 00:04:44.300]  代替了敬拜上主。
[00:04:44.300 --> 00:04:48.800]  抄了第二個敬拜對象的方式,
[00:04:48.800 --> 00:04:51.700]  卻是當為自己所用。
[00:04:51.700 --> 00:04:53.200]  都沒有想清楚,
[00:04:53.200 --> 00:04:57.600]  咦?借回來的那個神明,
[00:04:57.600 --> 00:05:01.800]  是不是滿天神佛之中其中一個來的?
[00:05:01.800 --> 00:05:03.300]  都沒有搞清楚,
[00:05:03.300 --> 00:05:07.000]  但是就已經借了回來。
[00:05:07.000 --> 00:05:11.000]  在我們的場景,我們很少這麼差勁。
[00:05:11.000 --> 00:05:13.200]  不過有時候我們都會混淆的,
[00:05:13.200 --> 00:05:15.700]  因為事實上在現世裡面,
