
[00:00:00.000 --> 00:00:03.000]  (主席)好,今天我們會繼續看狸兄米記的訊息
[00:00:03.000 --> 00:00:07.400]  (主席)今天講到這個題目叫做《權力的挑戰》
[00:00:07.400 --> 00:00:10.000]  (主席)請聽我讀出當中的經文
[00:00:10.000 --> 00:00:13.000]  (主席)狸兄米記五章十四至十九節
[00:00:13.000 --> 00:00:15.000]  (主席)就是這個和首本的經文
[00:00:15.000 --> 00:00:17.600]  (主席)自從我奉派作猶大地的省長
[00:00:17.600 --> 00:00:19.800]  (主席)就是從雅達契西王二十年
[00:00:19.800 --> 00:00:22.400]  (主席)直到三十二年共十二年之久
[00:00:22.400 --> 00:00:25.200]  (主席)我要我的弟兄都沒有吃省長的俸祿
[00:00:25.200 --> 00:00:28.800]  (主席)就是我以前的省長加重百姓的擔子
[00:00:28.800 --> 00:00:31.200]  (主席)每天索要錢糧和酒
[00:00:31.200 --> 00:00:34.000]  (主席)並且銀紙四十射克勒
[00:00:34.000 --> 00:00:36.800]  (主席)就是他們的僕人也都吃滯百姓
[00:00:36.800 --> 00:00:40.800]  (主席)但我因敬畏上帝不者讓行
[00:00:40.800 --> 00:00:43.800]  (主席)並且我恆心修造成長沒有
[00:00:43.800 --> 00:00:45.800]  (主席)知買田地
[00:00:45.800 --> 00:00:49.800]  (主席)我的僕人也都聚集在那裡做工
[00:00:49.800 --> 00:00:53.000]  (主席)除了從四圍外邦中的猶大人以外
[00:00:53.000 --> 00:00:58.400]  (主席)有猶大百平民和官長一百五十人在我席上吃飯
[00:00:58.400 --> 00:01:02.000]  (主席)我每日預備一隻公牛六隻肥羊又預備射飛琴
[00:01:02.000 --> 00:01:04.400]  (主席)每十日一次都預備個人的酒
[00:01:04.400 --> 00:01:07.600]  (主席)雖然如此我並不要省長的俸祿
[00:01:07.600 --> 00:01:09.600]  (主席)因為百姓服役甚重
[00:01:09.600 --> 00:01:14.400]  (主席)我的上帝求祢紀念我為百姓所做的一切事
[00:01:14.400 --> 00:01:17.000]  (主席)施恩與我
[00:01:17.000 --> 00:01:18.800]  (主席)還有叫權力的挑戰
[00:01:18.800 --> 00:01:23.200]  (主席)我想說到權力的挑戰或者權力這個主題
[00:01:23.200 --> 00:01:27.000]  (主席)教育裡面都是比較少去提
