
[00:00:00.000 --> 00:00:04.520]  《哈巴谷書》是《十二仙之書》裡的第八卷
[00:00:04.520 --> 00:00:08.960]  一共是三張書 56 字的經文
[00:00:08.960 --> 00:00:13.320]  《哈巴谷書》的作者當然是哈巴谷仙姿
[00:00:13.320 --> 00:00:18.040]  在《十二仙之書》裡有被神稱為仙姿的作者
[00:00:18.040 --> 00:00:22.920]  除了哈巴谷 還有哈蓋和撒加利亞
[00:00:22.920 --> 00:00:27.560]  學者都很多認為哈巴谷是利美人
[00:00:27.560 --> 00:00:31.720]  甚至在聖殿裡面唱詩
[00:00:31.720 --> 00:00:35.800]  因為我們知道《哈巴谷書》的第三章是詩歌
[00:00:35.800 --> 00:00:39.120]  三章一節說是用琉璃歌調
[00:00:39.120 --> 00:00:45.720]  三章十九節說是要交給靈長用詩源來奏樂
[00:00:45.720 --> 00:00:50.440]  哈巴谷的意思就是擁抱神
[00:00:50.440 --> 00:00:52.960]  或者是被神來擁抱
[00:00:52.960 --> 00:00:54.960]  馬丁路德他說
[00:00:54.960 --> 00:00:59.760]  哈巴谷的意思就是哈巴谷擁抱以色列人民
[00:00:59.760 --> 00:01:04.800]  而耶佑米·Jerome這位猶太人的歷史學家
[00:01:04.800 --> 00:01:09.040]  他認為是哈巴谷擁抱神的公義
[00:01:09.040 --> 00:01:13.480]  究竟是人擁抱神 還是神擁抱人
[00:01:13.480 --> 00:01:15.560]  還是擁抱什麼呢?
[00:01:15.560 --> 00:01:21.160]  在這結束的時候 我們會有一個很清楚的交代
[00:01:21.160 --> 00:01:26.680]  哈巴谷的成書日期相信是很少人會得真偶
[00:01:26.680 --> 00:01:29.240]  因為一般的學者都認為
[00:01:29.240 --> 00:01:32.920]  這個時代的背景就是在巴比倫
[00:01:32.920 --> 00:01:38.240]  尼泊格尼薩和他爸爸的統治下崛起的時候
[00:01:38.240 --> 00:01:40.600]  亞述國已經被巴比倫
[00:01:40.600 --> 00:01:47.560]  被馬黛波斯和西古提三國聯軍打敗
[00:01:47.560 --> 00:01:49.680]  退守到哈蘭
[00:01:49.680 --> 00:01:56.120]  而成書日期極可能是亞述國被西古提滅亡的時候
[00:01:56.120 --> 00:02:01.480]  也是在公元前的609年
[00:02:01.480 --> 00:02:05.800]  應該這段時間是約瓦敬當政的時候
[00:02:05.800 --> 00:02:10.120]  相信哈巴谷也親眼見過約瓦敬的爸爸
[00:02:10.120 --> 00:02:16.600]  約西亞的時候復興的情景
[00:02:16.600 --> 00:02:23.600]  同時才知道哈巴谷有耶利米和丹爾尼
[00:02:23.600 --> 00:02:31.200]  在哈巴谷書裡面預言到巴比倫將會侵略猶大
[00:02:31.200 --> 00:02:33.120]  將他們滅了
[00:02:33.120 --> 00:02:39.440]  而耶利米也預言到猶大國將會被巴比倫淪陷
[00:02:39.440 --> 00:02:44.760]  和擄掠70年
[00:02:44.760 --> 00:02:50.720]  哈巴谷面對的問題當年是有不公義的事
[00:02:50.720 --> 00:02:54.600]  他去尋求神去求問神
