
[00:00:00.000 --> 00:00:02.000]  在講到之前我們同心來祈禱
[00:00:30.000 --> 00:00:32.000]  我們進入真理
[00:00:32.000 --> 00:00:33.000]  恭敬的交托
[00:00:33.000 --> 00:00:34.000]  祈禱
[00:00:34.000 --> 00:00:36.000]  是奉教救主的耶穌
[00:00:36.000 --> 00:00:37.000]  聖命祈求
[00:00:37.000 --> 00:00:38.000]  阿們
[00:01:00.000 --> 00:01:02.000]  全球幸福指數報告
[00:01:02.000 --> 00:01:04.000]  當中調查了
[00:01:04.000 --> 00:01:06.000]  149個地區和國家
[00:01:06.000 --> 00:01:10.000]  依據多項指標
[00:01:10.000 --> 00:01:12.000]  作為基準排名
[00:01:12.000 --> 00:01:14.000]  最終香港獲得
[00:01:14.000 --> 00:01:16.000]  5477分數
[00:01:16.000 --> 00:01:18.000]  即是5477
[00:01:18.000 --> 00:01:20.000]  你猜猜排名是多少
[00:01:20.000 --> 00:01:24.000]  149個國家
[00:01:24.000 --> 00:01:28.000]  我們香港這個幸福指數排名是第幾呢
[00:01:28.000 --> 00:01:30.000]  是77名
[00:01:30.000 --> 00:01:32.000]  比上年微升一位
[00:01:32.000 --> 00:01:34.000]  都是中間
[00:01:34.000 --> 00:01:36.000]  好像不錯
[00:01:36.000 --> 00:01:38.000]  但另外調查機構
[00:01:38.000 --> 00:01:42.000]  同時了解各地受訪者的正能量
[00:01:42.000 --> 00:01:44.000]  和負能量的情況
[00:01:44.000 --> 00:01:47.000]  香港的正能量得分
[00:01:47.000 --> 00:01:51.000]  只有0.605分
[00:01:51.000 --> 00:01:53.000]  即是6分多一點點
[00:01:53.000 --> 00:01:55.000]  僅僅合格
[00:01:55.000 --> 00:01:59.000]  香港的正能量排位
[00:01:59.000 --> 00:02:01.000]  是122名
[00:02:01.000 --> 00:02:06.000]  149個國家排名是122位
[00:02:06.000 --> 00:02:11.000]  這樣都不夠一個比較
[00:02:11.000 --> 00:02:14.000]  比較的反差就是
[00:02:14.000 --> 00:02:16.000]  還要低於伊拉克
[00:02:16.000 --> 00:02:19.000]  還要低於巴勒斯坦
[00:02:19.000 --> 00:02:22.000]  伊拉克都119位
[00:02:22.000 --> 00:02:24.000]  巴勒斯坦118位
[00:02:24.000 --> 00:02:27.000]  香港的正能量指數
[00:02:27.000 --> 00:02:32.000]  只有排名是122
[00:02:32.000 --> 00:02:35.000]  相反負能量的排行榜
[00:02:35.000 --> 00:02:39.000]  香港就排在72位較為前位
[00:02:39.000 --> 00:02:42.000]  我們說越高的負能量
[00:02:42.000 --> 00:02:46.000]  即是表示那個氣壓和感受
[00:02:46.000 --> 00:02:49.000]  在這幾年發生的事
[00:02:49.000 --> 00:02:51.000]  無論是社會事件
[00:02:51.000 --> 00:02:54.000]  或者是變化、深化
[00:02:54.000 --> 00:02:57.000]  近來大量的移民潮
[00:02:57.000 --> 00:03:00.000]  香港人所面對的負能量
[00:03:00.000 --> 00:03:04.000]  確實是很大
