
[00:00:00.000 --> 00:00:05.000]  來聽上帝的道義先由我們再一次以禱告交給我們的主
[00:00:05.000 --> 00:00:07.000]  管束著我們的心去聆聽祂的話
[00:00:07.000 --> 00:00:10.000]  聽上帝的話之前讓我們用禱告
[00:00:10.000 --> 00:00:15.000]  把我們的心交給主來管束去聽神的話語
[00:00:15.000 --> 00:00:18.000]  慈悲的父神多謝祢
[00:00:18.000 --> 00:00:21.000]  讓我們再次回來打開祢的說話
[00:00:21.000 --> 00:00:23.000]  中大兄姊妹聚在一起
[00:00:23.000 --> 00:00:25.000]  同心在祢的面前仰望
[00:00:25.000 --> 00:00:27.000]  我們再次獻上感恩
[00:00:27.000 --> 00:00:29.000]  我們能夠有這份福氣
[00:00:29.000 --> 00:00:31.000]  實在是難能可貴
[00:00:31.000 --> 00:00:33.000]  環顧世界很多的人
[00:00:33.000 --> 00:00:37.000]  他真的很盼望可以將他手上
[00:00:37.000 --> 00:00:39.000]  能夠有一本聖經打開
[00:00:39.000 --> 00:00:42.000]  細心讀一下的時間和機會都沒有
[00:00:42.000 --> 00:00:46.000]  但是你已經給我們能夠有這麼豐富的預備
[00:00:46.000 --> 00:00:49.000]  隨時隨地可以對主你的說話
[00:00:49.000 --> 00:00:51.000]  都可以能夠細心研讀
[00:00:51.000 --> 00:00:52.000]  我們再次獻上感恩
[00:00:52.000 --> 00:00:54.000]  我們珍惜這個時刻
[00:00:54.000 --> 00:00:56.000]  很想我們都能夠真的傳言
[00:00:56.000 --> 00:00:58.000]  將生命毀身在你的裡面
[00:00:58.000 --> 00:01:00.000]  我們親愛的主感謝祢給我們
[00:01:00.000 --> 00:01:02.000]  能夠再次打開祢的說話
[00:01:02.000 --> 00:01:05.000]  一同來到把握聖經裡面的教訓
[00:01:05.000 --> 00:01:07.000]  我們再次獻上感謝
[00:01:07.000 --> 00:01:10.000]  環顧在世界裡面我們有更多的人
[00:01:10.000 --> 00:01:13.000]  他們期盼能夠手上有一本聖經
[00:01:13.000 --> 00:01:15.000]  能夠小心來到
[00:01:15.000 --> 00:01:18.000]  來到研讀一下上帝你的說話的機會
[00:01:18.000 --> 00:01:21.000]  也非常難得才能夠
[00:01:21.000 --> 00:01:23.000]  甚至他們不能夠有這個機會
[00:01:23.000 --> 00:01:26.000]  但反觀我們能夠那麼容易的
