
[00:00:00.000 --> 00:00:04.720]  來到這個季度,我們已經轉了題目,
[00:00:04.720 --> 00:00:07.380]  我們叫做「擴展神國」。
[00:00:07.380 --> 00:00:10.980]  上星期我知馬田傳道說了「阿巴拉罕」,
[00:00:10.980 --> 00:00:13.520]  其實我也是想說「阿巴拉罕」,
[00:00:13.520 --> 00:00:20.240]  但究竟整個思維取向都有點紛亂,
[00:00:20.240 --> 00:00:21.740]  因為昨天早上的會議,
[00:00:21.740 --> 00:00:25.800]  整個人都在很多很多的思緒裡想起了,
[00:00:25.800 --> 00:00:30.160]  很多的想法,所以是一個很感動的時間。
[00:00:30.160 --> 00:00:31.880]  我們先讀圖稿,好嗎?
[00:00:31.880 --> 00:00:35.040]  天父,我們多謝祢,祢是愛我們每一個,
[00:00:35.040 --> 00:00:38.800]  讓這間教會,祢親自來這裡設立,
[00:00:38.800 --> 00:00:43.160]  並且帶領我們不斷不斷地復興,
[00:00:43.160 --> 00:00:45.160]  更新我們和祢的關係,
[00:00:45.160 --> 00:00:49.680]  更新我們去看侍奉,更新我們去看祢,
[00:00:49.680 --> 00:00:52.760]  最後我們多謝祢,因為祢在我們當中是一位活著的神。
[00:00:52.760 --> 00:00:55.120]  祢親自來這裡呼召我們,
[00:00:55.120 --> 00:00:57.760]  讓我們真的能夠衛生在祢的國度裡面,
[00:00:57.760 --> 00:01:00.000]  成為主祢所喜悅的門徒。
[00:01:00.000 --> 00:01:03.120]  我們同心協力討告,奉家的主耶穌基督的名。
[00:01:03.120 --> 00:01:04.080]  阿們。
[00:01:04.080 --> 00:01:05.480]  我覺得上帝真的帶領了,
[00:01:05.480 --> 00:01:07.720]  千萬有一班很衛生的大英子會,
[00:01:07.720 --> 00:01:08.640]  這是真的。
[00:01:08.640 --> 00:01:10.880]  當初我們由八個人起家,
[00:01:10.880 --> 00:01:12.400]  其實到立會的時候,
[00:01:12.400 --> 00:01:16.880]  我們應該有五十位大英子會已經受浸了,
[00:01:16.880 --> 00:01:21.640]  這是母會與我們成立教會的基本條件,
[00:01:21.640 --> 00:01:25.080]  也需要我們有三位「終身執事」,
[00:01:25.080 --> 00:01:26.640]  也需要我們有三位「終身執事」,
[00:01:26.640 --> 00:01:28.520]  要揹著教會,
[00:01:28.520 --> 00:01:32.480]  所以才會讓我們獨立。
[00:01:32.480 --> 00:01:33.960]  為什麼這麼快就獨立呢?
[00:01:33.960 --> 00:01:34.800]  說說歷史也對的,
[00:01:34.800 --> 00:01:37.360]  因為我們是浸信會,
[00:01:37.360 --> 00:01:39.440]  暫時到現在都沒有人破我們紀錄的,
[00:01:39.440 --> 00:01:42.200]  我們是做了福音堂四年,
[00:01:42.200 --> 00:01:43.400]  我們就獨立了。
[00:01:43.400 --> 00:01:44.360]  很簡單的,
[00:01:44.360 --> 00:01:47.640]  因為我們實在太和別人不同了,
[00:01:47.640 --> 00:01:49.240]  所以母會很開心,
