
[00:00:00.000 --> 00:00:03.440]  很高興再一次在台上和大家見面
[00:00:03.440 --> 00:00:06.940]  今天很高興再次在台上和大家見面
[00:00:06.940 --> 00:00:10.880]  今天的講題比較上有些另類搞笑
[00:00:10.880 --> 00:00:14.320]  今天的講題比較特別一點
[00:00:14.320 --> 00:00:16.820]  是比較好笑一點
[00:00:16.820 --> 00:00:20.080]  題目是「要豬要耶穌」
[00:00:20.080 --> 00:00:22.320]  題目是「要豬要耶穌」
[00:00:22.320 --> 00:00:25.620]  本來我以為不是這麼長氣的題目
[00:00:25.620 --> 00:00:28.760]  本來Andrew他講的題目不是這麼長的
[00:00:28.760 --> 00:00:32.940]  我以為是豬問號 耶穌問號
[00:00:32.940 --> 00:00:37.640]  他本來想著只是寫豬問號 耶穌問號
[00:00:37.640 --> 00:00:41.040]  怕你誤會我對耶穌不敬 叫做豬耶穌
[00:00:41.040 --> 00:00:45.720]  可是怕大家以為他對耶穌不尊敬
[00:00:45.720 --> 00:00:47.620]  稱呼他為豬耶穌
[00:00:47.620 --> 00:00:49.180]  就不是主耶穌
[00:00:49.180 --> 00:00:50.780]  就不是主耶穌
[00:00:50.780 --> 00:00:55.420]  大家知道我有時有空都會作曲
[00:00:55.420 --> 00:00:57.460]  大家知道Andrew他有空的時候
[00:00:57.460 --> 00:00:58.660]  也會寫寫歌曲
[00:00:58.660 --> 00:01:01.900]  作一些廣東的詩歌
[00:01:01.900 --> 00:01:03.700]  他會寫寫一些廣東詩歌
[00:01:03.700 --> 00:01:05.300]  最近忙就沒怎麼作了
[00:01:05.300 --> 00:01:07.600]  最近他比較忙所以沒怎麼寫
[00:01:07.600 --> 00:01:11.080]  有些人問我究竟你作曲最難的地方是什麼
[00:01:11.080 --> 00:01:14.740]  有些人問他寫曲最困難的地方是什麼
[00:01:14.740 --> 00:01:20.040]  我覺得最難的就是將廣東話填進歌裡面
[00:01:20.040 --> 00:01:24.080]  他覺得最難的就是把廣東話的詞填進歌曲裡面
[00:01:24.080 --> 00:01:27.960]  他比英文或者國語難很多
[00:01:27.960 --> 00:01:31.860]  廣東話的詞比英語跟普通話難多了
[00:01:31.860 --> 00:01:32.860]  為什麼這麼難呢?
[00:01:32.860 --> 00:01:33.660]  為什麼這麼難呢?
[00:01:33.660 --> 00:01:36.660]  大家都知道廣東話有九個聲調
[00:01:36.660 --> 00:01:39.360]  大家都知道廣東話裡面有九個聲調
[00:01:39.360 --> 00:01:43.640]  你讀歪了一點點那個意思可以完全不同
