
[00:00:00.000 --> 00:00:02.880]  今天講的叫做「婦女主日」
[00:00:02.880 --> 00:00:06.640]  我不知道大家有沒有看昨天的新聞
[00:00:06.640 --> 00:00:09.600]  香港的女人普遍開不開心 知不知道
[00:00:09.600 --> 00:00:12.080]  不是很開心
[00:00:12.080 --> 00:00:14.480]  原來有四成不快樂
[00:00:14.480 --> 00:00:17.960]  而四成裏面有八成是在工作的
[00:00:17.960 --> 00:00:19.720]  她們最不開心的是甚麼呢
[00:00:19.720 --> 00:00:21.440]  是工作壓力
[00:00:21.440 --> 00:00:23.320]  不過如果你問我
[00:00:23.320 --> 00:00:26.280]  我接觸很多都是在家裏的
[00:00:26.280 --> 00:00:28.400]  我們叫做「家庭CEO」
[00:00:28.400 --> 00:00:29.960]  我不叫她做「家庭主婦」
[00:00:29.960 --> 00:00:31.000]  現在這個名字很威風
[00:00:31.000 --> 00:00:32.680]  「CEO」
[00:00:32.680 --> 00:00:34.720]  當我接觸她們的時候
[00:00:34.720 --> 00:00:37.360]  我很難忘其中一隻的故事
[00:00:37.360 --> 00:00:39.040]  是好幾年前
[00:00:39.040 --> 00:00:40.680]  有一年的3月8號
[00:00:40.680 --> 00:00:42.680]  我在《經濟日報》寫專欄的時候
[00:00:42.680 --> 00:00:45.680]  我就寫「多謝大家姐」
[00:00:45.680 --> 00:00:47.200]  我寫的是甚麼呢
[00:00:47.200 --> 00:00:52.280]  就寫那個大家姐是負擔起家裏所有的事
[00:00:52.280 --> 00:00:54.160]  她本來讀書讀得很好的
[00:00:54.160 --> 00:00:56.240]  但由於她是大家姐
[00:00:56.240 --> 00:00:57.520]  讀到中一的時候
[00:00:57.520 --> 00:00:59.480]  爸爸媽媽就會跟她說甚麼呢
[00:00:59.480 --> 00:01:02.400]  「你不要讀書了,你出來工作吧」
[00:01:02.400 --> 00:01:04.080]  「供弟妹吧」
[00:01:04.080 --> 00:01:07.360]  結果我看到筆下很多的大家姐
[00:01:07.360 --> 00:01:10.160]  出來供弟妹出了身
[00:01:10.160 --> 00:01:13.320]  誰知道從來沒有人多謝她
[00:01:13.320 --> 00:01:17.520]  所以我就寫了一篇文叫做「多謝大家姐」
[00:01:17.520 --> 00:01:19.280]  我想不到寫完這篇文之後
[00:01:19.280 --> 00:01:22.440]  收到一封四頁紙的回信
[00:01:22.440 --> 00:01:23.480]  有個姐妹說
[00:01:23.480 --> 00:01:26.520]  「我一路看著你的文,我一路哭」
[00:01:26.520 --> 00:01:29.760]  「真的,我弟弟做了律師」
[00:01:29.760 --> 00:01:35.400]  「我妹妹做了醫生,從來沒有人多謝我」
[00:01:35.400 --> 00:01:37.120]  我想我們的社會
[00:01:37.120 --> 00:01:40.840]  都依然充斥著這些故事
[00:01:40.840 --> 00:01:43.640]  我不知道當中有沒有想起你的大家姐
[00:01:43.640 --> 00:01:46.640]  記得聽完這堂道回去多謝她
[00:01:46.640 --> 00:01:48.520]  今天我要選的人物
[00:01:48.520 --> 00:01:49.800]  可能你都沒有聽過
[00:01:49.800 --> 00:01:52.240]  有沒有人聽過利亞的道
[00:01:52.240 --> 00:01:53.640]  有沒有,有的你舉手
[00:01:53.640 --> 00:01:54.440]  有沒有
[00:01:54.440 --> 00:01:57.800]  都有,通常都不是很多
[00:01:57.800 --> 00:02:02.000]  婦女主人選的多數是瑪麗亞
[00:02:02.000 --> 00:02:04.120]  都是利亞,不過加個「瑪」字
[00:02:04.120 --> 00:02:05.640]  以私貼
[00:02:05.640 --> 00:02:08.760]  但我今天為甚麼會選利亞這個人
[00:02:08.760 --> 00:02:11.280]  因為我發覺她是很有血有肉
[00:02:11.280 --> 00:02:12.840]  跟我們每個人
[00:02:12.840 --> 00:02:16.600]  特別是姊妹很多的生命是很貼近的
[00:02:16.600 --> 00:02:18.640]  給大家看看一張相
[00:02:18.640 --> 00:02:22.520]  可能你都很想知道利亞是怎樣的
[00:02:22.520 --> 00:02:26.480]  這裏就是我在網上找回來她們的相
[00:02:26.480 --> 00:02:28.320]  這故事很簡單
[00:02:28.320 --> 00:02:30.640]  她們有個爸爸叫拉班
[00:02:30.640 --> 00:02:33.320]  利亞是大家姐
[00:02:33.320 --> 00:02:36.080]  拉傑是妹妹
[00:02:36.080 --> 00:02:39.040]  她們兩個都同時嫁了一個男人
[00:02:39.040 --> 00:02:40.320]  叫甚麼名字
[00:02:40.320 --> 00:02:42.000]  雅各
[00:02:42.000 --> 00:02:44.880]  雅各不喜歡利亞
[00:02:44.880 --> 00:02:46.760]  喜歡拉傑
[00:02:46.760 --> 00:02:49.400]  所以有人說利亞的命運
[00:02:49.400 --> 00:02:51.880]  可以用幾個「un」字去形容
[00:02:51.880 --> 00:02:54.200]  Unheard 沒人聽過
[00:02:54.200 --> 00:02:56.440]  Unloved 沒人愛
[00:02:56.440 --> 00:02:59.840]  Unnoticed 沒人留意
[00:02:59.840 --> 00:03:00.800]  這裏看
[00:03:00.800 --> 00:03:02.160]  你大概都猜到誰是利亞
[00:03:02.160 --> 00:03:03.280]  猜不猜得到
[00:03:03.280 --> 00:03:04.600]  黑白相
[00:03:04.600 --> 00:03:07.960]  誰是利亞
[00:03:07.960 --> 00:03:12.600]  應該是手搭著肩膀的那個
[00:03:12.600 --> 00:03:14.840]  她們兩個有甚麼不同呢
[00:03:14.840 --> 00:03:16.160]  給大家看看
[00:03:16.160 --> 00:03:17.480]  名字已經不同了
[00:03:17.480 --> 00:03:19.320]  不知家人為甚麼會這樣改名
[00:03:19.320 --> 00:03:21.600]  利亞的名字是疲倦
[00:03:21.600 --> 00:03:22.880]  憂慮
[00:03:22.880 --> 00:03:26.760]  所以很少人會改女兒的名字
[00:03:26.760 --> 00:03:29.080]  因為解作很疲倦
[00:03:29.080 --> 00:03:29.680]  第二
[00:03:29.680 --> 00:03:31.240]  拉傑的名字就好多了
[00:03:31.240 --> 00:03:32.160]  神高揚
[00:03:32.160 --> 00:03:33.240]  Lamb of God
[00:03:33.240 --> 00:03:36.200]  好像玫瑰般高貴純潔
[00:03:36.200 --> 00:03:37.160]  可愛
[00:03:37.160 --> 00:03:38.400]  一個是Lovely
[00:03:38.400 --> 00:03:39.680]  一個是Tired
[00:03:39.680 --> 00:03:40.480]  一個很疲倦
[00:03:40.480 --> 00:03:41.640]  一個很漂亮
[00:03:41.640 --> 00:03:42.800]  第二
[00:03:42.800 --> 00:03:44.560]  她們有甚麼不同呢
[00:03:44.560 --> 00:03:45.680]  創世紀形容
[00:03:45.680 --> 00:03:48.680]  利亞的眼是沒有神氣
[00:03:48.680 --> 00:03:52.280]  拉傑就長得美貌盡秀
[00:03:52.280 --> 00:03:53.760]  於是我又上去找
[00:03:53.760 --> 00:03:55.600]  她為甚麼眼睛會沒有神氣呢
[00:03:55.600 --> 00:03:57.880]  有人說因為她溫柔
[00:03:57.880 --> 00:03:58.720]  柔弱
[00:03:58.720 --> 00:03:59.960]  這樣都不錯
[00:03:59.960 --> 00:04:02.400]  誰知有些解經家說不是
[00:04:02.400 --> 00:04:03.640]  因為她眼紅
[00:04:03.640 --> 00:04:04.920]  所以鬥雞眼
[00:04:04.920 --> 00:04:06.680]  多眼水
