
[00:00:00.000 --> 00:00:03.820]  各位弟兄姊妹 經過這麼長的經文
[00:00:03.820 --> 00:00:05.440]  在第一世紀的信徒
[00:00:05.440 --> 00:00:11.560]  他們就習慣了這樣用耳朵不斷聽經文裏面的意思
[00:00:11.560 --> 00:00:14.520]  對我們來說或許也是一個挑戰
[00:00:14.520 --> 00:00:16.900]  同一時間 我們也很希望藉着信息
[00:00:16.900 --> 00:00:21.040]  我們能夠明白聖經裏面的意義 好嗎?
[00:00:21.040 --> 00:00:23.580]  上個主日談全道就講解了
[00:00:23.580 --> 00:00:29.120]  啓示錄七韌裏面第四韌和第七韌的經文
[00:00:29.120 --> 00:00:34.440]  那個韌在初代教會的時間其實就是一個銷
[00:00:34.440 --> 00:00:41.480]  是掌權者手裏面的戒指上面的一個印章
[00:00:41.480 --> 00:00:44.840]  上一個主日的信息就提到四匹馬
[00:00:44.840 --> 00:00:49.720]  馬象徵的是權並 因爲坐馬的人是高高在上
[00:00:49.720 --> 00:00:53.840]  而這些權並在第一韌和第四韌就奪去太平
[00:00:53.840 --> 00:01:00.520]  帶來的是貧富懸殊 生活艱難 饑荒和瘟疫
[00:01:00.520 --> 00:01:03.920]  我們今天要看的是第五到第七韌
[00:01:03.920 --> 00:01:07.520]  我就會說其實今天我們仍然會用印章
[00:01:07.520 --> 00:01:12.720]  教會也有印章 甚至我們會有一些類似的記號
[00:01:12.720 --> 00:01:17.640]  我自己就記得Winnie教鋼琴的時候
[00:01:17.640 --> 00:01:21.480]  有些鋼琴的學生年紀是很小的
[00:01:21.480 --> 00:01:25.160]  小朋友通常都需要多一些的鼓勵
[00:01:25.160 --> 00:01:28.400]  有少一些的責罰 其實我想說大人也是
[00:01:28.400 --> 00:01:32.240]  如果一個小朋友上堂表現好 乖乖的
[00:01:32.240 --> 00:01:39.480]  Winnie就會拿出一張上面很多貼紙的紙
[00:01:39.480 --> 00:01:41.400]  上面很多貼紙可以撕出來
[00:01:41.400 --> 00:01:45.680]  就給小朋友 你喜歡哪張貼紙你自己選
[00:01:45.680 --> 00:01:51.440]  貼在貨本上面作爲一個鼓勵 作爲一個印記
[00:01:51.440 --> 00:01:55.360]  如果今天有一位知體跟我說
[00:01:55.360 --> 00:02:02.280]  阿Kin 我今年工作表現很好 公司也有獎勵
[00:02:02.280 --> 00:02:05.960]  但是獎勵就是公司讓我選一張貼紙
[00:02:05.960 --> 00:02:07.880]  我想你也不知道怎麼辦
[00:02:07.880 --> 00:02:10.960]  不知道會不會想要找另一份工作
[00:02:10.960 --> 00:02:15.040]  小朋友我就覺得會爲了一張貼紙而努力
[00:02:15.040 --> 00:02:19.240]  神爲我們預備 不是一張貼紙
[00:02:19.240 --> 00:02:21.600]  神爲我們預備了些什麼
[00:02:21.600 --> 00:02:24.480]  今天的經文其實讓我們看到
[00:02:24.480 --> 00:02:28.880]  其實神爲我們所預備的是很奇妙的
[00:02:28.880 --> 00:02:31.640]  並且我們今天作爲神的子民
[00:02:31.640 --> 00:02:34.400]  在今天21世紀的今天
[00:02:34.400 --> 00:02:36.920]  我們其實有什麼角色呢?
[00:02:36.920 --> 00:02:42.000]  我們到底在今天神給我們作爲一個信徒
[00:02:42.000 --> 00:02:46.160]  神有什麼心意讓我們會出來
[00:02:46.160 --> 00:02:48.520]  爲了避免我們去讀《啓示錄》的時候
[00:02:48.520 --> 00:02:51.480]  我們其實很容易會迷失了方向
[00:02:51.480 --> 00:02:53.080]  因爲《啓示錄》有很多文字
[00:02:53.080 --> 00:02:56.040]  有時候我們讀着讀着不知道自己在讀什麼
[00:02:56.040 --> 00:02:59.000]  我就想用一個比喻去讓大家明白
[00:02:59.000 --> 00:03:01.400]  《啓示錄》當中的鋪排
[00:03:01.400 --> 00:03:02.680]  我會這樣說
[00:03:02.680 --> 00:03:09.400]  《啓示錄》有七信 七個印 又有七個碗 又有七個號
[00:03:09.400 --> 00:03:11.480]  大家只要記住就行了
[00:03:11.480 --> 00:03:15.960]  直到正正七信就是神
[00:03:15.960 --> 00:03:19.080]  我們看過是神寫給七個教會的書信
[00:03:19.080 --> 00:03:21.000]  就是第一至第三章
[00:03:21.000 --> 00:03:23.080]  去到第四第五章
[00:03:23.080 --> 00:03:26.280]  我們就見得到一個場景一個異象
[00:03:26.280 --> 00:03:30.040]  就是約翰他見到一個書卷
[00:03:30.040 --> 00:03:32.200]  以前的書卷是捲起的 不是本本
[00:03:32.200 --> 00:03:34.360]  上面就有七個印印着
[00:03:34.360 --> 00:03:38.200]  就好像現在這些AI Generate的圖片一樣
[00:03:38.200 --> 00:03:42.280]  高揚即是主耶穌基督就將七個印慢慢打開
[00:03:42.280 --> 00:03:45.400]  書卷的內容就慢慢揭示出來
[00:03:45.400 --> 00:03:48.840]  但說到七印的時候 七印好比什麼呢
[00:03:48.840 --> 00:03:52.440]  七印其實就好像一個盒子一樣
[00:03:52.440 --> 00:03:54.360]  每一個印就是一個小盒子
[00:03:54.360 --> 00:03:56.120]  你每次打開一個盒子
[00:03:56.120 --> 00:03:58.360]  你會有不同的內容去知道
[00:03:58.360 --> 00:04:00.360]  知道那個書卷裏面的內容
[00:04:00.360 --> 00:04:03.640]  但是當你去到第七個盒子的時候
[00:04:03.640 --> 00:04:05.240]  你嘗試打開
[00:04:05.240 --> 00:04:08.760]  你就發覺到裏面還有七個盒子
[00:04:08.760 --> 00:04:12.040]  就是接着七印之號的七號
[00:04:12.040 --> 00:04:14.120]  七號同樣有七個小盒子
[00:04:14.120 --> 00:04:16.600]  你一路打開 你知道多些內容
[00:04:16.600 --> 00:04:19.240]  去到七號的第七個盒子你再打開
[00:04:19.240 --> 00:04:23.160]  誰不知裏面有什麼
[00:04:23.160 --> 00:04:24.760]  又有七個小盒子
[00:04:24.760 --> 00:04:27.720]  正正就是七個碗的信息
[00:04:27.720 --> 00:04:31.240]  去到七個碗的信息你再打開第七個小盒子
[00:04:31.240 --> 00:04:35.560]  就是啓示錄最後最核心的信息
[00:04:35.560 --> 00:04:37.320]  就是新天新地
[00:04:37.320 --> 00:04:39.400]  你帶着這個概念去看
[00:04:39.400 --> 00:04:43.320]  你就更加容易去彷彿有一個指南針
[00:04:43.320 --> 00:04:45.560]  去知道自己在啓示錄裏面
[00:04:45.560 --> 00:04:47.880]  看到去什麼地方而不會迷失
[00:04:47.880 --> 00:04:50.360]  去掌握裏面的信息
