
[00:00:00.000 --> 00:00:02.000]  頂姊妹萬安
[00:00:02.000 --> 00:00:08.640]  感謝主讓我們繼續能夠在《全道書》一同學習
[00:00:08.640 --> 00:00:15.640]  今天不經不覺已經來到《全道書》的尾二那一段
[00:00:15.640 --> 00:00:19.640]  我定了一個題目是《趁著年幼》
[00:00:19.640 --> 00:00:24.400]  雖然這個好像是給年輕人的一個信息
[00:00:24.400 --> 00:00:30.400]  但都盼望我們從《全道書》這最後一段一同學習
[00:00:30.400 --> 00:00:32.400]  我們會知道我們的人生
[00:00:32.400 --> 00:00:36.400]  我們的今天肯定比明天年輕
[00:00:36.400 --> 00:00:38.400]  我們的今年肯定比明年年輕
[00:00:38.400 --> 00:00:42.400]  所以我們都趁著今天比明天年輕的時候
[00:00:42.400 --> 00:00:47.400]  我們都可以從當中得著一些智慧
[00:00:47.400 --> 00:00:51.400]  不過真是說開去給年輕人的一些智慧
[00:00:51.400 --> 00:00:58.400]  總之大家 如果你真是要為你所認識的年輕的一代
[00:00:58.400 --> 00:01:03.400]  來提供三個錦囊 三個智慧的錦囊
[00:01:03.400 --> 00:01:07.400]  是你經歷了人生很多的歷練
[00:01:07.400 --> 00:01:12.400]  你從你的不同的經歷 從你的見識 從你的思考
[00:01:12.400 --> 00:01:18.400]  從你很多的知識當中你整理了你的人生哲學
[00:01:18.400 --> 00:01:24.400]  你如果真是要給三個智慧的錦囊給年輕的一代
[00:01:24.400 --> 00:01:28.400]  指示他們 提示他們怎樣過一個滿足的人生
[00:01:28.400 --> 00:01:33.400]  我不知道你會在這三個錦囊當中寫下什麼東西
[00:01:33.400 --> 00:01:37.400]  我們講到時間總是很短的
[00:01:37.400 --> 00:01:39.400]  所以不能給大家討論
[00:01:39.400 --> 00:01:41.400]  大家我們可以去想一想
[00:01:41.400 --> 00:01:45.400]  今天我們看的《全道書》的最後這一段
[00:01:45.400 --> 00:01:50.400]  不是尾二的一段 其實可以說是《全道書》的作者
[00:01:50.400 --> 00:01:53.400]  我們稱他為《全道者》
[00:01:53.400 --> 00:01:59.400]  他是經歷了前面十章有很多的思考
[00:01:59.400 --> 00:02:03.400]  來到這一段可以說是全書的總結
[00:02:03.400 --> 00:02:06.400]  雖然他是尾二那一段
[00:02:06.400 --> 00:02:08.400]  但是很多學者都發現
[00:02:08.400 --> 00:02:13.400]  下一次我們再看的最後那一段不像是總結
[00:02:13.400 --> 00:02:17.400]  反而像是我們很多時候在作書裡面
[00:02:17.400 --> 00:02:19.400]  會叫做一個筆 好像是一個後記
[00:02:19.400 --> 00:02:22.400]  一個事後的一個補充
[00:02:22.400 --> 00:02:26.400]  真正是這個《全道者》思考完的總結
[00:02:26.400 --> 00:02:30.400]  是在我們今天會一起學習的這段經文
[00:02:30.400 --> 00:02:34.400]  《全道者》先就著他思考完人生之後
[00:02:34.400 --> 00:02:35.400]  作一個總結
[00:02:35.400 --> 00:02:40.400]  然後再向一些年輕人提出
[00:02:40.400 --> 00:02:43.400]  他觀察到世間事物
[00:02:43.400 --> 00:02:48.400]  以及他親身去體會思考之後
[00:02:48.400 --> 00:02:52.400]  他終結出來的一個重要心得
[00:02:52.400 --> 00:02:56.400]  我們仿佛看到一個連邁的智者
[00:02:56.400 --> 00:02:59.400]  將人生智慧的重要錦囊
[00:02:59.400 --> 00:03:02.400]  來傳遞給年輕的一代
[00:03:02.400 --> 00:03:05.400]  我們從書中的內容
[00:03:05.400 --> 00:03:07.400]  我們可以見得到
[00:03:07.400 --> 00:03:10.400]  這個《全道者》這位作者
