
[00:00:00.000 --> 00:00:02.640]  我們今天會思想到關於一個題目
[00:00:02.640 --> 00:00:04.640]  就是在多元的社會裏面
[00:00:04.640 --> 00:00:08.320]  我們基督徒的立場和寬容是怎樣的呢?
[00:00:08.320 --> 00:00:10.000]  我們大家再一齊同心祈禱
[00:00:10.000 --> 00:00:12.000]  我們交托給主
[00:00:12.000 --> 00:00:18.000]  主,我們感謝祢
[00:00:18.000 --> 00:00:21.000]  因為祢是我們生命的主
[00:00:21.000 --> 00:00:24.000]  主,我們真的很想向祢祈求
[00:00:24.000 --> 00:00:26.000]  正如師哥所提醒我們的
[00:00:26.000 --> 00:00:28.000]  求祢開我們耳朵
[00:00:28.000 --> 00:00:31.000]  能夠聽見祢自己的聲音
[00:00:31.000 --> 00:00:33.000]  開我們的心
[00:00:33.000 --> 00:00:36.000]  能夠可以容納祢自己的道
[00:00:36.000 --> 00:00:38.000]  也都開我們的口
[00:00:38.000 --> 00:00:41.000]  能夠常常為祢作見證
[00:00:41.000 --> 00:00:43.000]  去讚美祢的慈愛
[00:00:43.000 --> 00:00:46.000]  去紀念祢自己奇妙的作為
[00:00:46.000 --> 00:00:50.000]  主,我們今天一齊到祢的面前再次敬拜祢
[00:00:50.000 --> 00:00:51.000]  尊崇祢
[00:00:51.000 --> 00:00:54.000]  因為祢配得一切的尊榮
[00:00:54.000 --> 00:00:56.000]  我們這次也都祈求主
[00:00:56.000 --> 00:00:59.000]  當我們向祢闖開我們的心靈的時候
[00:00:59.000 --> 00:01:02.000]  主,讓祢賜下祢的真理
[00:01:02.000 --> 00:01:05.000]  因為祢的道是靈,是生命
[00:01:05.000 --> 00:01:08.000]  求祢賜我們因為祢的說話
[00:01:08.000 --> 00:01:10.000]  所領受生命的恩惠
[00:01:10.000 --> 00:01:16.000]  我們更能夠領受祢給我們生命的全部的祝福
[00:01:16.000 --> 00:01:19.000]  我們如今仰望主帶領我們這段時間
[00:01:19.000 --> 00:01:21.000]  也都引導我們的心思
[00:01:21.000 --> 00:01:23.000]  我們仰望祈禱
[00:01:23.000 --> 00:01:25.000]  奉耶穌基督的聖名求
[00:01:25.000 --> 00:01:26.000]  阿門
[00:01:26.000 --> 00:01:30.000]  大家再看聖經,馬可福音第三章
[00:01:30.000 --> 00:01:32.000]  我們剛才讀的經文
[00:01:32.000 --> 00:01:38.000]  我記得有一次,有幾次
[00:01:38.000 --> 00:01:40.000]  我上到中國內地
[00:01:40.000 --> 00:01:43.000]  特別是在華東一帶的地方
[00:01:43.000 --> 00:01:45.000]  有機會探訪一些教會
[00:01:45.000 --> 00:01:47.000]  也都在當中有些服侍
[00:01:47.000 --> 00:01:51.000]  在過程中很多弟兄姊妹會請我們出去吃飯
[00:01:51.000 --> 00:01:55.000]  好幾次當我跟他們一起吃飯的時候有少少不習慣
[00:01:55.000 --> 00:01:58.000]  他們叫了很多菜來
[00:01:58.000 --> 00:02:03.000]  我以為接著會有飯來一起吃
[00:02:03.000 --> 00:02:06.000]  但是他們很快祈禱之後就吃飯了
[00:02:06.000 --> 00:02:09.000]  但其實準確的說是吃餸
[00:02:09.000 --> 00:02:13.000]  我見到這樣的情況就吃餸
[00:02:13.000 --> 00:02:15.000]  吃完餸之後都很飽了
[00:02:15.000 --> 00:02:18.000]  在那個時候他們就說現在吃飯了
[00:02:19.000 --> 00:02:21.000]  或者是飯或者是麵條
[00:02:21.000 --> 00:02:23.000]  就在那個時候拿上來
[00:02:23.000 --> 00:02:24.000]  還有湯
[00:02:24.000 --> 00:02:28.000]  所以到最後在很飽的情況下吃飯
[00:02:28.000 --> 00:02:30.000]  後來見了幾次之後就發覺
[00:02:30.000 --> 00:02:32.000]  這是他們的習慣
[00:02:32.000 --> 00:02:35.000]  先吃餸,然後補一些飯
[00:02:35.000 --> 00:02:37.000]  就包補你一定飽
[00:02:37.000 --> 00:02:43.000]  在那些習慣裡面去體會不同地方的風俗
[00:02:43.000 --> 00:02:45.000]  不同的習慣
[00:02:45.000 --> 00:02:49.000]  亦都享受他們那種風俗的習慣
[00:02:49.000 --> 00:02:52.000]  當然和我們廣東人吃飯的方式不同
[00:02:52.000 --> 00:02:56.000]  但是那個似乎都不是一個很關鍵的問題
[00:02:56.000 --> 00:02:59.000]  亦都知道生活的習慣
[00:02:59.000 --> 00:03:02.000]  不必要有一個絕對的標準
[00:03:02.000 --> 00:03:06.000]  只是學習去欣賞,學習去接納
[00:03:06.000 --> 00:03:09.000]  當然我們很多時候在社會當中
[00:03:09.000 --> 00:03:11.000]  很多不同生活的方式
[00:03:11.000 --> 00:03:16.000]  亦都包括了一些道德性的行為
[00:03:16.000 --> 00:03:18.000]  在那些道德性的行為上面
[00:03:18.000 --> 00:03:22.000]  包括了可能有一些家庭的倫理
[00:03:22.000 --> 00:03:25.000]  有一些兩性的關係
[00:03:25.000 --> 00:03:28.000]  甚至涉及了譬如生育等等的問題
[00:03:28.000 --> 00:03:32.000]  這些行為不單是說吃東西那麼簡單
[00:03:32.000 --> 00:03:36.000]  而是有道德的一個因素在裡面
[00:03:36.000 --> 00:03:41.000]  沒錯我們都學習去尊重人有不同的選擇
[00:03:41.000 --> 00:03:46.000]  他可以按照自己的判斷作出他的選擇
[00:03:46.000 --> 00:03:49.000]  但是尊重別人不等於我們不可以
[00:03:49.000 --> 00:03:55.000]  或者不應該將我們自己的立場表明出來
[00:03:55.000 --> 00:04:00.000]  尊重不等於不可以表明自己的立場
[00:04:00.000 --> 00:04:02.000]  而當我們表明我們的立場的時候
[00:04:02.000 --> 00:04:06.000]  亦都不等於我們不寬容
[00:04:06.000 --> 00:04:09.000]  因為在道德的議題上面
[00:04:09.000 --> 00:04:11.000]  在很多倫理的事上面
[00:04:11.000 --> 00:04:13.000]  我們有我們自己的立場
[00:04:13.000 --> 00:04:16.000]  是應當表述出來的
[00:04:16.000 --> 00:04:19.000]  我們或者都可以思想一位的牧者
[00:04:19.000 --> 00:04:21.000]  給我們的很好的勸告
