
[00:00:00.000 --> 00:00:02.540]  請少妹平安
[00:00:02.540 --> 00:00:06.060]  今早我一路開車過來的時候
[00:00:06.060 --> 00:00:08.320]  就有一個很深的感受
[00:00:08.320 --> 00:00:11.900]  今早你們回來的時候 有沒有覺得很大霧啊?
[00:00:11.900 --> 00:00:15.360]  很大霧啊 霧迷漫這樣
[00:00:15.360 --> 00:00:18.480]  我一路開車回來的時候 都有這個感覺
[00:00:18.480 --> 00:00:22.840]  就是蒙查查 什麼都看不到
[00:00:22.840 --> 00:00:26.780]  但是我一向星期天過來的時候
[00:00:26.780 --> 00:00:29.100]  都是很靜的 特別早上過來的時候
[00:00:29.100 --> 00:00:30.640]  星期天都不多開車
[00:00:30.640 --> 00:00:34.020]  但是今天是特別不多開車
[00:00:34.020 --> 00:00:39.480]  簡直是不多開車到我前面也沒有車 後面也沒有車
[00:00:39.480 --> 00:00:45.320]  在迷霧裡面 好像只有一輛車走完整條路
[00:00:45.320 --> 00:00:49.440]  很深的感受 好像只有我和主兩個
[00:00:49.440 --> 00:00:52.860]  在一條迷霧的路上
[00:00:52.860 --> 00:00:57.440]  迷迷霧霧的路上 開著我的車頭燈
[00:00:57.440 --> 00:01:02.260]  照著前面的路 雖然好像看得不是很清楚
[00:01:02.260 --> 00:01:05.120]  不是很清楚前面將會遇到些什麼
[00:01:05.120 --> 00:01:08.740]  但是有這個燈一路照著我向前走
[00:01:08.740 --> 00:01:13.020]  我很感恩 其實前幾天我的燈壞了
[00:01:13.020 --> 00:01:16.840]  我車的前面其中一邊的燈壞了
[00:01:16.840 --> 00:01:18.780]  但是我自己不知道
[00:01:18.780 --> 00:01:23.080]  我只是在Swindon教會回去Bristol的時候
[00:01:23.080 --> 00:01:25.320]  就發現為什麼不黑呢?
[00:01:25.320 --> 00:01:27.720]  但是我都沒有意識到我的燈壞了
[00:01:27.720 --> 00:01:31.340]  覺得很黑 就以為是不是老了
[00:01:31.340 --> 00:01:33.680]  看東西都暗一點
[00:01:33.680 --> 00:01:35.640]  但是我很感恩
[00:01:35.640 --> 00:01:39.700]  我的鄰居在我開車回到家附近的時候
[00:01:39.700 --> 00:01:43.560]  他看到我的燈壞了 他跑過來告訴我
[00:01:43.560 --> 00:01:46.600]  跑過來告訴我 你的燈壞了一邊
[00:01:46.600 --> 00:01:50.760]  我才知道原來其中一邊的車燈壞了
[00:01:50.760 --> 00:01:54.200]  感謝神 我先生今天早上幫我換了燈
[00:01:54.200 --> 00:01:56.820]  讓我安全地駕駛過來
[00:01:56.820 --> 00:02:00.780]  開著燈 在迷霧裏面一路駕駛
[00:02:00.780 --> 00:02:03.160]  心裏面覺得很平安
[00:02:03.160 --> 00:02:05.200]  我們人生有時都是這樣
[00:02:05.200 --> 00:02:09.160]  我們人生有時都走在迷霧裏面
[00:02:09.160 --> 00:02:13.720]  夢察察 不知道究竟前面有些什麼呢?
[00:02:13.720 --> 00:02:17.920]  望一下倒後鏡還害怕 蒙到什麼都看不到
[00:02:17.920 --> 00:02:20.320]  是的 我們的人生都是這樣
[00:02:20.320 --> 00:02:23.040]  有時會很想知道下一步是怎樣
[00:02:23.040 --> 00:02:25.040]  前面有些什麼發生
[00:02:25.040 --> 00:02:28.540]  但確實不是我們能夠預見
[00:02:28.540 --> 00:02:31.600]  也不是我們求就會知道
