
[00:00:00.000 --> 00:00:03.760]  很開心在星期日可以一同敬拜主
[00:00:03.760 --> 00:00:05.760]  一同聆聽上帝的話
[00:00:05.760 --> 00:00:07.760]  我們先一起祈禱
[00:00:07.760 --> 00:00:10.240]  秋天我們感謝主的恩典
[00:00:10.240 --> 00:00:12.240]  祢賜生命給我們
[00:00:12.240 --> 00:00:15.760]  又呼召我們成為祢自己的兒女
[00:00:15.760 --> 00:00:19.760]  放我們思想我們如何受造
[00:00:19.760 --> 00:00:24.760]  如何被祢從泥土中創造出來的時候
[00:00:24.760 --> 00:00:27.260]  放我們滿心的感謝祢
[00:00:27.260 --> 00:00:29.260]  求祢幫助我們
[00:00:29.260 --> 00:00:31.260]  知道如何為祢而活
[00:00:31.260 --> 00:00:36.260]  以下時間求聖靈在我們心中動工幫助我們
[00:00:36.260 --> 00:00:38.260]  奉耶穌基督的名祈禱
[00:00:38.260 --> 00:00:40.260]  阿們
[00:00:40.260 --> 00:00:46.260]  上星期主音牧師跟我們重點式分享了創世紀第一章
[00:00:46.260 --> 00:00:48.260]  一至二十五節
[00:00:48.260 --> 00:00:53.260]  他提到這裡的記載不是一個眼見的記錄
[00:00:53.260 --> 00:00:57.260]  因為創造的時候是沒有人在場的
[00:00:57.260 --> 00:01:01.260]  並且從整段經文來看
[00:01:01.260 --> 00:01:04.260]  是詩歌的題材
[00:01:04.260 --> 00:01:07.260]  而不是敘事文
[00:01:07.260 --> 00:01:11.260]  我相信很多華人信徒可能不太習慣這個看法
[00:01:11.260 --> 00:01:14.260]  因為很多華人的牧師和學者
[00:01:14.260 --> 00:01:18.260]  都是很謹慎地逐字逐句來解釋這段經文的
[00:01:18.260 --> 00:01:22.260]  我自己也聽過很多這樣的解釋
[00:01:22.260 --> 00:01:31.260]  我覺得逐字逐句解釋和整體去看這段經文的重點意義是相輔相成的
[00:01:31.260 --> 00:01:35.260]  我們不要只是看到樹木而忽略了樹林
[00:01:35.260 --> 00:01:39.260]  其實用詩歌題材來講創造
[00:01:39.260 --> 00:01:42.260]  可以說是上帝的智慧
[00:01:42.260 --> 00:01:47.260]  試想想如果上帝是用敘事文體來寫創造
[00:01:47.260 --> 00:01:53.260]  要四千年前的人讀得明白 四千年後的人也讀得明白
[00:01:53.260 --> 00:01:55.260]  就真的有點困難
[00:01:55.260 --> 00:01:57.260]  還有一點可以肯定
[00:01:57.260 --> 00:02:01.260]  創世紀不是用今天的科學家的觀點和語言去寫的
[00:02:01.260 --> 00:02:07.260]  今天的科學家可能講量子 講暗能量 暗物質
[00:02:07.260 --> 00:02:10.260]  聖經就是講零 講雲
[00:02:10.260 --> 00:02:19.260]  話說回來曾經有一位加拿大籍在溫哥華長大的天文物理學家叫做Hugh Ross
[00:02:19.260 --> 00:02:24.260]  他在未信耶穌之前對天文學很有興趣
[00:02:24.260 --> 00:02:27.260]  六歲的時候他就去圖書館找一些書
[00:02:27.260 --> 00:02:31.260]  想了解究竟星星是會發光發熱的
[00:02:31.260 --> 00:02:38.260]  十六歲那年他自己就做了一個望遠鏡去看星星 望太空
[00:02:38.260 --> 00:02:44.260]  當時他是相信大爆炸論的解釋 解釋宇宙的起源
[00:02:44.260 --> 00:02:50.260]  但是他也想到如果大爆炸論是正確的話
[00:02:50.260 --> 00:02:55.260]  就一定會有一位上帝引導這個爆炸
[00:02:55.260 --> 00:03:05.260]  他想到如果這位上帝是藉著語言向人類講及有關宇宙創造的事的話
[00:03:05.260 --> 00:03:10.260]  應該是不會和現代的科學產生矛盾的
[00:03:10.260 --> 00:03:16.260]  於是他就開始研讀不同宗教的經典
[00:03:16.260 --> 00:03:20.260]  由於他自己本人是來自一個沒有信仰的家庭
[00:03:20.260 --> 00:03:25.260]  所以他就說我從鄰居的信仰開始看看
[00:03:25.260 --> 00:03:28.260]  他的鄰居當時是亞洲人
[00:03:28.260 --> 00:03:36.260]  於是他就從東方的宗教典籍開始看有關宇宙來源的說法
[00:03:36.260 --> 00:03:42.260]  東方的宗教典籍對於宇宙來源都有很多神話式的記載
[00:03:42.260 --> 00:03:47.260]  但是都不符合現代科學所發現的事實
[00:03:47.260 --> 00:03:52.260]  如果我沒有記錯他大約看了三十本的典籍之後
[00:03:52.260 --> 00:03:54.260]  他就打開聖經
[00:03:54.260 --> 00:03:59.260]  當他打開聖經的時候第一頁就看到創世紀的記載
[00:03:59.260 --> 00:04:04.260]  他發覺如果從地球的角度來看創造
[00:04:04.260 --> 00:04:11.260]  創世紀的內容是和現代的科學發現是沒有矛盾的
[00:04:11.260 --> 00:04:17.260]  創造的過程是漸進形成的
