
[00:00:00.000 --> 00:00:06.000]  我相信大家對這段經文大體上都不會陌生
[00:00:06.000 --> 00:00:12.000]  是耶穌臨離世前為門徒做的祈禱
[00:00:12.000 --> 00:00:18.000]  也是在他再一次在禦耳節的晚餐裡
[00:00:18.000 --> 00:00:21.000]  及後宣告聖靈要來了
[00:00:21.000 --> 00:00:23.000]  也宣告自己死和復活之後
[00:00:23.000 --> 00:00:25.000]  去作出的祈禱
[00:00:29.000 --> 00:00:32.000]  耶穌準備離開門徒的時候
[00:00:32.000 --> 00:00:38.000]  很知道門徒將要去面對一個很大的考驗
[00:00:38.000 --> 00:00:41.000]  就是要面對一個彌賽
[00:00:41.000 --> 00:00:43.000]  他們心目中的彌賽
[00:00:43.000 --> 00:00:45.000]  要去受苦
[00:00:45.000 --> 00:00:46.000]  要去被羞辱
[00:00:46.000 --> 00:00:49.000]  要釘死
[00:00:49.000 --> 00:00:53.000]  這個完全是他們雖然頭腦上知道
[00:00:53.000 --> 00:01:00.000]  但是無法完全真正在心底裡接受的處境
[00:01:00.000 --> 00:01:05.000]  所以耶穌一開始的時候
[00:01:05.000 --> 00:01:07.000]  就向天父去呼求
[00:01:07.000 --> 00:01:09.000]  他說父啊 時候到了
[00:01:09.000 --> 00:01:11.000]  願祢榮耀祢的兒子
[00:01:11.000 --> 00:01:16.000]  使祢的兒子榮耀祢
[00:01:16.000 --> 00:01:18.000]  我想在這個婚禮裡面的時候
[00:01:18.000 --> 00:01:21.000]  耶穌很體會一件事
[00:01:21.000 --> 00:01:24.000]  這個婚禮
[00:01:24.000 --> 00:01:26.000]  是因著祂要信服神
[00:01:26.000 --> 00:01:30.000]  去成就神的心意
[00:01:30.000 --> 00:01:32.000]  三位一體的神
[00:01:32.000 --> 00:01:35.000]  在天上有美好的相交
[00:01:35.000 --> 00:01:38.000]  耶穌被差遣離開天上的相交
[00:01:38.000 --> 00:01:42.000]  因為帶著使命進入到門徒當中
[00:01:42.000 --> 00:01:43.000]  人群當中
[00:01:43.000 --> 00:01:48.000]  跟門徒相交去結連
[00:01:48.000 --> 00:01:53.000]  人的生命能夠有那種安穩
[00:01:53.000 --> 00:01:56.000]  還有那種耐動力
[00:01:56.000 --> 00:02:00.000]  其實都是源自於愛的相交裡面
[00:02:00.000 --> 00:02:05.000]  深刻體會那種被愛 蒙愛的生命
[00:02:05.000 --> 00:02:09.000]  令到他們持久去堅持
[00:02:09.000 --> 00:02:13.000]  這正是剛才十三節那段經文說到
[00:02:13.000 --> 00:02:18.000]  耶穌為門徒祈禱的時候
[00:02:18.000 --> 00:02:22.000]  祂說 叫他們心裡充滿我的喜樂
[00:02:22.000 --> 00:02:25.000]  這個我的喜樂是從哪裡來的呢
[00:02:25.000 --> 00:02:27.000]  這個我的喜樂就是
[00:02:27.000 --> 00:02:34.000]  耶穌和父之間一種緊密的信任
[00:02:34.000 --> 00:02:37.000]  讓神的 天父神的心意
[00:02:37.000 --> 00:02:42.000]  成為了耶穌的人生的使命
[00:02:42.000 --> 00:02:47.000]  耶穌的使命就是要讓神的心意
[00:02:47.000 --> 00:02:51.000]  透過祂的付出去成就起來
[00:02:51.000 --> 00:02:54.000]  父榮耀子 子榮耀父
[00:02:54.000 --> 00:03:01.000]  互相的毀身在對方使命當中的成就
[00:03:01.000 --> 00:03:06.000]  互相將他們一個生命最核心的價值和本質
[00:03:06.000 --> 00:03:15.000]  活現出來去彼此去榮耀 彼此去尊崇 彼此去欣賞
[00:03:15.000 --> 00:03:17.000]  這個是相交的基礎
[00:03:17.000 --> 00:03:19.000]  是令到這個分離
[00:03:19.000 --> 00:03:25.000]  可以有效成為一個力量去差遣
[00:03:25.000 --> 00:03:27.000]  各位姐妹今天
[00:03:27.000 --> 00:03:29.000]  我們都是一個和耶穌
[00:03:29.000 --> 00:03:32.000]  某個程度肉身上面 物質上面
[00:03:32.000 --> 00:03:34.000]  好像分隔開
[00:03:34.000 --> 00:03:37.000]  所以耶穌差遣聖靈來
[00:03:37.000 --> 00:03:41.000]  去代表祂和我們同行
[00:03:41.000 --> 00:03:43.000]  所以在十三到十九節裡面
[00:03:43.000 --> 00:03:45.000]  祂不單止去到二十節的時候
[00:03:45.000 --> 00:03:47.000]  祂不單止為門徒
[00:03:47.000 --> 00:03:49.000]  為那些從來沒見過祂
[00:03:49.000 --> 00:03:52.000]  只是因著門徒的說話見證
[00:03:52.000 --> 00:03:54.000]  而去信靠祂的人
[00:03:54.000 --> 00:03:58.000]  都去祈禱 都去追求合一
[00:03:58.000 --> 00:04:00.000]  所以在這個分離的祈禱裡面
[00:04:00.000 --> 00:04:05.000]  其中一條很強的線索 耶穌為門徒祈禱的就是
[00:04:05.000 --> 00:04:08.000]  為他們的合一去祈禱
[00:04:08.000 --> 00:04:14.000]  這個合一的建立是需要一個過程
[00:04:14.000 --> 00:04:19.000]  這個過程是需要建立對神那種信任
[00:04:19.000 --> 00:04:23.000]  對聖靈那份的介入
[00:04:23.000 --> 00:04:26.000]  那份的體會 同行
[00:04:26.000 --> 00:04:30.000]  神就透過耶穌 耶穌就透過聖靈
[00:04:30.000 --> 00:04:33.000]  去陪伴每一個基督徒
[00:04:33.000 --> 00:04:35.000]  信祂指明的人
[00:04:35.000 --> 00:04:39.000]  是可以在世上去得到那份的信心能力
[00:04:39.000 --> 00:04:40.000]  去體驗神的愛
[00:04:40.000 --> 00:04:42.000]  去明白聖經
[00:04:42.000 --> 00:04:45.000]  所以這個關係的基礎
[00:04:45.000 --> 00:04:48.000]  是要在教會基督的身體裡面
[00:04:48.000 --> 00:04:51.000]  同樣的要去實踐和經歷
[00:04:51.000 --> 00:04:54.000]  父榮要子 子榮要父
[00:04:54.000 --> 00:04:56.000]  給我們看到一樣東西
[00:04:56.000 --> 00:04:59.000]  正如馬拉基書的宣告一樣
[00:04:59.000 --> 00:05:03.000]  就是世代之間要互相轉向去欣賞
[00:05:03.000 --> 00:05:06.000]  才能夠建立一個安全
[00:05:06.000 --> 00:05:10.000]  一個足夠的愛的相交的群體
