
[00:00:00.000 --> 00:00:01.800]  主持人:平安 大家平安
[00:00:01.800 --> 00:00:09.920]  有一個婦人有一天她看到他們家的門口有三個老人在她家門口
[00:00:09.920 --> 00:00:16.720]  所以她就出去想要邀請他們到她家裡頭來休息一下 吃點東西
[00:00:16.720 --> 00:00:20.880]  所以當她出去開口邀請這三個老人家的時候
[00:00:20.880 --> 00:00:24.560]  這老人家就問她說 那男主人在家嗎
[00:00:25.320 --> 00:00:30.040]  那太太就說 不在 我先生出外工作了
[00:00:30.040 --> 00:00:35.480]  所以這個老人家就說 那我們就不方便進來了
[00:00:35.480 --> 00:00:38.960]  結果到了那天晚上她丈夫回家以後
[00:00:38.960 --> 00:00:43.960]  這婦人就告訴她丈夫說 今天早上外面發生了些什麼事情
[00:00:43.960 --> 00:00:47.560]  所以她丈夫回來她就告訴她丈夫
[00:00:47.560 --> 00:00:50.400]  她丈夫就說 那趕快去請他們進來呀
[00:00:50.680 --> 00:00:55.480]  所以這個妻子就出去外面請這三位老人家進來說
[00:00:55.480 --> 00:01:00.920]  來我家歇歇 吃點東西 我們聊聊
[00:01:00.920 --> 00:01:04.440]  結果她去的時候這個老人家就跟她說
[00:01:04.440 --> 00:01:07.080]  她說 我們不可以一起進去
[00:01:07.080 --> 00:01:11.440]  你回去跟你的丈夫商量一下
[00:01:11.440 --> 00:01:15.080]  她就告訴他說 我叫做健康
[00:01:15.080 --> 00:01:18.960]  那就指著另外一個老先生說 他叫做財富
[00:01:19.360 --> 00:01:21.800]  那另外一個老先生叫做成功
[00:01:21.800 --> 00:01:26.800]  他說 你回去商量一下 看看我們三個人誰先進去
[00:01:26.800 --> 00:01:29.840]  這妻子就回家就跟她的丈夫講了
[00:01:29.840 --> 00:01:34.120]  她丈夫一聽就說 我們當然要先叫財富進來呀
[00:01:34.120 --> 00:01:38.480]  財富一進來的話 那我們家豈不就是黃金萬兩了嗎
[00:01:38.480 --> 00:01:42.840]  那太太不同意 她太太說 我們應該先叫成功進來
[00:01:42.840 --> 00:01:48.600]  可是在他們夫妻旁邊的一個小女兒說
[00:01:49.760 --> 00:01:53.280]  爸爸媽媽 我覺得我們應該先請健康進來
[00:01:53.280 --> 00:01:55.640]  當健康一進來的時候呢
[00:01:55.640 --> 00:01:58.440]  我們全家人都能夠享受健康
