
[00:00:00.000 --> 00:00:04.000]  請問大家知不知道教會的祈禱會是何時舉行的嗎?
[00:00:04.000 --> 00:00:09.000]  星期三晚上七點半,你們有沒有參加呢?
[00:00:09.000 --> 00:00:11.000]  很多都沒有參加
[00:00:11.000 --> 00:00:16.000]  當然有很多原因的,有些說時間不太對
[00:00:16.000 --> 00:00:19.000]  有些說我們都是教會領袖祈禱
[00:00:19.000 --> 00:00:22.000]  我們人微言輕,天父不知道聽不聽
[00:00:22.000 --> 00:00:24.000]  或者有些覺得
[00:00:24.000 --> 00:00:29.000]  祈禱會好像都不是最大有價值的聚會
[00:00:29.000 --> 00:00:34.000]  當然我們可能對祈禱都有些誤解
[00:00:34.000 --> 00:00:38.000]  或者有時候我們都很忙,不能夠參加
[00:00:38.000 --> 00:00:41.000]  希望藉著剛才洪振飛執事
[00:00:41.000 --> 00:00:44.000]  跟我們讀了一段這麼長的禱文
[00:00:44.000 --> 00:00:47.000]  是誰祈禱的?是彭義理
[00:00:47.000 --> 00:00:50.000]  他在祈禱,再一次提醒我們
[00:00:50.000 --> 00:00:53.000]  禱告的重要,再次提醒我們
[00:00:53.000 --> 00:00:57.000]  當然我們常常都會自己禱告
[00:00:57.000 --> 00:01:00.000]  但是我們是一個集體的禱告
[00:01:00.000 --> 00:01:05.000]  一個群體的禱告,一個教會的禱告都是很重要
[00:01:05.000 --> 00:01:08.000]  在這段經文裏面給我們看到,在這裏學習
[00:01:08.000 --> 00:01:11.000]  講題是時代的禱告者
[00:01:11.000 --> 00:01:13.000]  我分開三方面,第一方面就是
[00:01:13.000 --> 00:01:16.000]  站在神的位置禱告
[00:01:16.000 --> 00:01:20.000]  第二方面就是掌握神的應許悔罪
[00:01:20.000 --> 00:01:25.000]  第三就是為人為己,懇求憐憫
[00:01:25.000 --> 00:01:30.000]  開始說第一方面,就是站在神的位置禱告
[00:01:30.000 --> 00:01:33.000]  因為第一節到第三節
[00:01:33.000 --> 00:01:36.000]  可以說是這段經文的背景
[00:01:36.000 --> 00:01:38.000]  所以我在這裏也順便說了
[00:01:38.000 --> 00:01:41.000]  但是說背景裏面,其實更加是想說
[00:01:41.000 --> 00:01:45.000]  彭義理這個人,彭義理是一個什麼人呢?
[00:01:45.000 --> 00:01:48.000]  這個是什麼時代呢?
[00:01:48.000 --> 00:01:51.000]  大家都知道,我一直都是順著年代說下去
[00:01:51.000 --> 00:01:56.000]  大家記得我應該說到什麼時代嗎?
[00:01:56.000 --> 00:02:00.000]  避老,避老的期間
[00:02:00.000 --> 00:02:04.000]  有以西結曾經的一些異象
[00:02:04.000 --> 00:02:08.000]  以西結的分享,也說過起死復生等等
[00:02:08.000 --> 00:02:12.000]  接著有以塞亞書裏面的一些提醒
[00:02:12.000 --> 00:02:14.000]  要安慰的百姓
[00:02:14.000 --> 00:02:18.000]  差不多去到避老完結的時代了
[00:02:18.000 --> 00:02:23.000]  現在這個經文,實際在年份來說
