
[00:00:00.000 --> 00:00:05.820]  各位朋友 大兄姊妹 願主的平安與大家同在 祝福大家
[00:00:05.820 --> 00:00:08.920]  今天講我的幫助從何而來
[00:00:08.920 --> 00:00:12.200]  剛才Lillian去大師哥的時候
[00:00:12.200 --> 00:00:15.000]  就講了詩篇121篇
[00:00:15.000 --> 00:00:19.880]  但我選了另一個詩篇就是46篇
[00:00:19.880 --> 00:00:26.760]  詩篇裏面都講了很多神自己的應許
[00:00:26.760 --> 00:00:33.040]  開始的時候就想和大家看一個小小的短片
[00:00:33.040 --> 00:00:34.560]  大概是1分鐘
[00:00:34.560 --> 00:00:38.280]  一個2011年8號颱風納沙
[00:00:38.280 --> 00:00:39.800]  不知大家有沒有印象
[00:00:39.800 --> 00:00:42.720]  我當時還在讀神學
[00:00:42.720 --> 00:00:49.840]  因為它是 看完篇吧 播了一會兒
[00:00:49.840 --> 00:00:54.760]  這裏是長洲
[00:00:54.760 --> 00:00:59.840]  如果不知為何你當時是在這些石堆裏面
[00:00:59.840 --> 00:01:03.360]  周圍是沒有人
[00:01:03.360 --> 00:01:06.720]  你叫都不會有人聽到
[00:01:06.720 --> 00:01:11.960]  因為海浪實在太緊要了
[00:01:11.960 --> 00:01:15.600]  剛才你見到這個是東灣沙灘
[00:01:15.600 --> 00:01:18.160]  欄杆那裏站了一個人
[00:01:18.160 --> 00:01:24.680]  如果浪太緊要突然間這樣捲了你下海
[00:01:24.680 --> 00:01:26.680]  你會感覺甚麼呢
[00:01:26.680 --> 00:01:32.000]  2011年8號風球因為是凌晨四時多的時候掛的
[00:01:32.000 --> 00:01:36.880]  之前28號 晚上仍然是3號風球
[00:01:36.880 --> 00:01:41.600]  所以我們一班神學生要繼續留在學院
[00:01:41.600 --> 00:01:46.640]  所以早上29號起床的時候已經是8號風球
[00:01:46.640 --> 00:01:51.480]  所以繼續在神學院宿舍
[00:01:51.480 --> 00:01:54.840]  但通常學生是聽不聽話的呢
[00:01:54.840 --> 00:01:56.200]  是不聽話的
[00:01:56.200 --> 00:01:57.720]  例如會怎樣不聽話呢
[00:01:57.720 --> 00:01:59.720]  就是在打8號風球的時候
[00:01:59.720 --> 00:02:03.520]  是否在宿舍呢
[00:02:03.520 --> 00:02:06.560]  不是出去玩的
[00:02:06.560 --> 00:02:12.760]  不過是去長洲的觀音灣
[00:02:12.760 --> 00:02:17.560]  就會見到剛才那些浪
[00:02:17.560 --> 00:02:24.200]  如果我們其實在當中8號風球的場合的時候
[00:02:24.200 --> 00:02:28.640]  一般來說我們都不敢太近沙灘
[00:02:28.640 --> 00:02:30.240]  因為是危險的
[00:02:30.240 --> 00:02:33.680]  還有我們小時候已經開始聽
[00:02:33.680 --> 00:02:35.480]  如果是打風下雨的時候
[00:02:35.480 --> 00:02:38.040]  我們要留在安全的地方
[00:02:38.040 --> 00:02:42.040]  如果我們可以留在安全的地方
[00:02:42.040 --> 00:02:43.480]  例如在屋裏面
[00:02:43.480 --> 00:02:45.720]  例如在神學院的宿舍裏面
[00:02:45.720 --> 00:02:47.720]  我們就會很安全
[00:02:47.720 --> 00:02:50.720]  但是有時候去到一些環境
[00:02:50.720 --> 00:02:54.680]  我們不知為何就去到這些
[00:02:54.680 --> 00:02:57.280]  好像覺得是打大風
[00:02:57.280 --> 00:03:00.280]  聖經裏面又說
[00:03:00.280 --> 00:03:01.800]  山都動了
[00:03:01.800 --> 00:03:03.480]  地又震了
[00:03:03.480 --> 00:03:06.000]  又好像海嘯一樣
[00:03:06.000 --> 00:03:09.920]  我們當中有不少的朋友弟兄姊妹
[00:03:09.920 --> 00:03:14.440]  其實當某一天去做身體檢查
[00:03:14.440 --> 00:03:16.440]  收到一個報告
[00:03:16.440 --> 00:03:20.960]  原來自己身體裏面出了一些狀況
[00:03:20.960 --> 00:03:22.760]  有一些陰影
