
[00:00:00.000 --> 00:00:03.540]  聖靈是時常與我們同在的
[00:00:03.540 --> 00:00:07.220]  在聚會、祈禱、敬拜當中
[00:00:07.220 --> 00:00:11.280]  是我們體會到聖靈是在我們當中
[00:00:11.280 --> 00:00:13.300]  充滿我們
[00:00:13.300 --> 00:00:15.240]  那麼
[00:00:15.240 --> 00:00:19.080]  不過我又覺得聖靈也會留一個空間的
[00:00:19.080 --> 00:00:22.400]  就是我們的理智
[00:00:22.400 --> 00:00:25.040]  我們的決定
[00:00:25.040 --> 00:00:28.240]  聖靈向我們說話,時常都會的
[00:00:28.240 --> 00:00:30.860]  聖靈充滿我們,時常都會的
[00:00:30.860 --> 00:00:33.160]  但是我們都經驗到
[00:00:33.160 --> 00:00:34.980]  聽不聽
[00:00:34.980 --> 00:00:36.980]  祂的指示
[00:00:36.980 --> 00:00:39.360]  是不是又是另一回事
[00:00:39.360 --> 00:00:41.200]  是不是
[00:00:41.200 --> 00:00:44.100]  就是聖靈會不斷向我們說話
[00:00:44.100 --> 00:00:45.760]  不斷會充滿我們
[00:00:45.760 --> 00:00:46.760]  不過
[00:00:46.760 --> 00:00:49.920]  另外一個話題,今天要說的就是
[00:00:49.920 --> 00:00:53.280]  就是究竟跟多少呢
[00:00:53.280 --> 00:00:56.360]  都有一個空間,聖靈可以給我們
[00:00:57.740 --> 00:01:00.200]  近期香港都發生了很多事
[00:01:00.200 --> 00:01:02.780]  就,都
[00:01:02.780 --> 00:01:06.260]  有很多青少年要自殺
[00:01:06.260 --> 00:01:10.180]  那就,大家都討論了很多
[00:01:10.180 --> 00:01:14.740]  那我自己來說,就想起自己家裏的幾個小孩
[00:01:14.740 --> 00:01:18.000]  那所以,前幾天
[00:01:18.000 --> 00:01:21.400]  就有一個感動,聽完這麼多新聞之後
[00:01:21.400 --> 00:01:23.900]  那感動很多時候都會來自聖靈
[00:01:23.900 --> 00:01:27.400]  而聖經都說,美善的感動
[00:01:27.400 --> 00:01:29.340]  是在聖靈裏面有工作
[00:01:29.340 --> 00:01:31.820]  所以我們都經常,現在怎樣相信
[00:01:31.820 --> 00:01:33.300]  都相信很多
[00:01:33.300 --> 00:01:36.000]  啊,聖靈感動我們做了一些美善的事
[00:01:36.000 --> 00:01:39.020]  都感動我呢,心裏面
[00:01:39.020 --> 00:01:40.720]  啊,真的要跟兒子聊聊天
[00:01:40.720 --> 00:01:43.340]  聊天的意思呢,就不是說
[00:01:43.340 --> 00:01:45.020]  啊,怎樣啊,你
[00:01:45.020 --> 00:01:47.620]  功課怎樣啊,考試怎樣啊
[00:01:47.620 --> 00:01:48.960]  啊,真的很想
[00:01:48.960 --> 00:01:51.300]  聊聊天,是不是
[00:01:51.300 --> 00:01:55.340]  那就那次收工,回家
[00:01:55.660 --> 00:01:57.840]  那時候就很想跟他聊天
[00:01:57.840 --> 00:02:00.980]  那見到他,坐在電腦前面
[00:02:00.980 --> 00:02:03.900]  那他們現在結合了,功課啊
[00:02:03.900 --> 00:02:05.500]  WhatsApp啊
[00:02:05.500 --> 00:02:07.640]  玩遊戲機啊
[00:02:07.640 --> 00:02:09.560]  都是結合在電腦裏面的
[00:02:09.560 --> 00:02:13.860]  那總之,他在這裏就可以了
[00:02:13.860 --> 00:02:16.240]  那很幸運呢,我們電腦在客廳裏面
[00:02:16.240 --> 00:02:17.980]  所以開門就見到所有的
[00:02:17.980 --> 00:02:20.720]  所以知道他在做甚麼,他又知道我在做甚麼
[00:02:20.720 --> 00:02:23.180]  啊,那真的想跟他聊天
[00:02:23.180 --> 00:02:26.580]  不過他又說了兩句,又說了兩句,那就,啊,怎麼說呢
[00:02:26.580 --> 00:02:29.640]  那接著呢,自己要做自己的事
[00:02:29.640 --> 00:02:33.100]  那又想起,啊,還有很多事未做
[00:02:33.100 --> 00:02:35.380]  啊,將來又要預備這些,又要教書
[00:02:35.380 --> 00:02:36.840]  啊,還有些事未做
[00:02:36.840 --> 00:02:40.800]  啊,還是先做吧,除非他生我的氣,我跟他聊
[00:02:40.800 --> 00:02:44.220]  要點力的嘛,但我感動就在裏面
[00:02:44.220 --> 00:02:47.620]  那做著做著,做著做著,啊,都很累了
[00:02:47.620 --> 00:02:50.160]  啊,出去跟你聊聊天,但真的很累
[00:02:50.160 --> 00:02:52.780]  那又怎樣啊,又
[00:02:53.260 --> 00:02:55.960]  放下了,又出去睡覺
[00:02:55.960 --> 00:02:59.000]  那他又睡覺了,但心裏面又不是很開心的
[00:02:59.000 --> 00:03:01.520]  哎呀,其實應該跟他聊天
