
[00:00:00.000 --> 00:00:03.440]  保羅和爾弗所教會有特殊的關係
[00:00:03.440 --> 00:00:06.640]  一來他在那裏留了很久的時間
[00:00:06.640 --> 00:00:08.000]  三年
[00:00:08.000 --> 00:00:09.480]  對我們來說不是很久
[00:00:09.480 --> 00:00:10.440]  對他來說很久了
[00:00:10.440 --> 00:00:14.200]  因為他是最久的一間教會留在那裏的
[00:00:14.200 --> 00:00:17.680]  所以他和這個教會的關係很好的
[00:00:17.680 --> 00:00:20.960]  所以當保羅要離開亞細夏的時候
[00:00:20.960 --> 00:00:25.880]  他很想有些說話跟這個教會的長老說
[00:00:25.880 --> 00:00:28.600]  但是他又不是很想進入這個城市的
[00:00:28.600 --> 00:00:31.000]  因為我們知道保羅離開爾弗所的時候
[00:00:31.000 --> 00:00:32.920]  是因為爾弗所有騷亂
[00:00:32.920 --> 00:00:37.040]  所以他可能覺得進去會帶來很多的麻煩
[00:00:37.040 --> 00:00:39.400]  以及一些不必要的衝突
[00:00:39.400 --> 00:00:41.120]  但是他又不是很捨得
[00:00:41.120 --> 00:00:43.840]  所以叫了這些長老來
[00:00:43.840 --> 00:00:47.160]  這些長老就是保羅在爾弗所教會
[00:00:47.160 --> 00:00:49.320]  來帶領他們信主的
[00:00:49.320 --> 00:00:51.440]  可能他們信主都不夠三年
[00:00:51.440 --> 00:00:54.480]  他們就要做爾弗所教會的長老
[00:00:54.480 --> 00:00:59.600]  保羅亦都將繼續帶領牧羊爾弗所教會的責任
[00:00:59.600 --> 00:01:01.880]  交給這些長老
[00:01:01.880 --> 00:01:05.600]  保羅其實和這個教會這麼好的關係
[00:01:05.600 --> 00:01:08.640]  他其實可以繼續留在爾弗所
[00:01:08.640 --> 00:01:11.280]  沒有人不讓他留在爾弗所
[00:01:11.280 --> 00:01:12.840]  如果他要留在爾弗所
[00:01:12.840 --> 00:01:16.800]  或者他還會繼續經常回去爾弗所
[00:01:16.800 --> 00:01:19.840]  都是有可能的事
[00:01:19.840 --> 00:01:25.120]  但是保羅卻要選擇,選擇不會再回去
[00:01:25.120 --> 00:01:28.240]  他選擇要去耶路撒冷
[00:01:28.240 --> 00:01:33.000]  他選擇要去承擔他要有的工作
[00:01:33.000 --> 00:01:36.320]  對保羅來說,雖然爾弗所對他很重要
[00:01:36.320 --> 00:01:40.040]  雖然其他他建立的教會對他都很重要
[00:01:40.040 --> 00:01:43.680]  無論是哥倫多、是菲律賓、是帖索羅尼加
[00:01:43.680 --> 00:01:48.720]  但是保羅說最重要的就是在第24節說
[00:01:48.720 --> 00:01:51.040]  他只是要行完他的路程
[00:01:51.040 --> 00:01:54.160]  成就他從主耶穌所領受的即是
[00:01:54.160 --> 00:01:58.320]  證明神恩惠的福音
[00:01:58.320 --> 00:02:00.200]  無論他曾經做過什麼
[00:02:00.200 --> 00:02:02.120]  無論他建立了多少教會
[00:02:02.120 --> 00:02:05.280]  無論他和這些教會的關係多好
[00:02:05.280 --> 00:02:06.960]  但是對保羅來說
[00:02:06.960 --> 00:02:11.040]  更加重要的就是來完成
[00:02:11.040 --> 00:02:14.160]  耶穌基督所給他的即是
[00:02:14.160 --> 00:02:15.120]  給他的使命
[00:02:15.120 --> 00:02:19.080]  就是在大馬塞的路上要他去到君王面前
[00:02:19.080 --> 00:02:22.280]  來為耶穌基督作見證
[00:02:22.280 --> 00:02:24.520]  並且要將方傳到地極
[00:02:24.520 --> 00:02:29.440]  所以保羅仍然在心裡很想去羅馬
[00:02:29.440 --> 00:02:37.400]  很想去西班牙這些當時世界的邊境
[00:02:37.400 --> 00:02:41.120]  來證明神恩惠的福音
[00:02:41.120 --> 00:02:47.040]  這個是上帝給他的使命和目標
[00:02:47.040 --> 00:02:49.720]  所以他選擇將以弗所教會
[00:02:49.720 --> 00:02:52.160]  交給這些長老
[00:02:52.160 --> 00:02:58.160]  來領導、來管理
[00:02:58.160 --> 00:03:01.280]  教會是一個運動
[00:03:01.280 --> 00:03:06.640]  教會是一個承先啟後的福音運動
[00:03:06.640 --> 00:03:08.400]  耶穌基督離開這個世界
[00:03:08.400 --> 00:03:11.320]  將使命交給他的門徒
[00:03:11.320 --> 00:03:13.040]  在應詳節聖靈降臨
[00:03:13.040 --> 00:03:14.880]  來給他的門徒力量
[00:03:14.880 --> 00:03:17.760]  來為耶穌基督作見證
[00:03:17.760 --> 00:03:22.480]  所以教會經過了二千年的歷史
[00:03:22.480 --> 00:03:25.040]  經過了二千年的時間
[00:03:25.040 --> 00:03:26.360]  在不同的地方
[00:03:26.360 --> 00:03:30.400]  用不同的形式來為耶穌基督作見證
[00:03:30.400 --> 00:03:35.120]  來證明神恩惠的福音
[00:03:35.120 --> 00:03:40.880]  我們只不過是教會運動裏面的一部份
[00:03:40.880 --> 00:03:43.720]  教會不是一個組織
[00:03:43.720 --> 00:03:46.120]  不是一個地方
[00:03:46.120 --> 00:03:47.520]  不是一個活動
[00:03:47.520 --> 00:03:50.000]  雖然今天我們會用這些形式
[00:03:50.000 --> 00:03:54.360]  來履行耶穌給我們的使命
[00:03:54.360 --> 00:03:57.280]  但在歷史上不是只有這些形式
[00:03:57.280 --> 00:04:00.000]  在歷史上有很多不同的方式
[00:04:00.000 --> 00:04:03.400]  去證明神恩惠的福音
[00:04:03.400 --> 00:04:06.440]  我們只是在這個歷史的一小部份
[00:04:06.440 --> 00:04:09.880]  我們在這個歷史的一個很小的環節
[00:04:09.880 --> 00:04:14.560]  我們都有我們的職事去完成
[00:04:14.560 --> 00:04:17.000]  保羅不會覺得他的責任
[00:04:17.000 --> 00:04:19.440]  就是去建立以弗所的教會
[00:04:19.440 --> 00:04:22.840]  或者去建立哥林多的教會
[00:04:22.840 --> 00:04:25.200]  或者去建立菲臘比的教會
[00:04:25.200 --> 00:04:29.720]  保羅覺得他做這些事都是一個方式
[00:04:29.720 --> 00:04:38.040]  這個方式是為了去順從耶穌基督給他的使命
[00:04:38.040 --> 00:04:39.360]  所以今天我們也要問
[00:04:39.360 --> 00:04:42.840]  耶穌基督給我們甚麼使命呢?
[00:04:42.840 --> 00:04:46.080]  我們所做的事只是一個方式
[00:04:46.080 --> 00:04:47.640]  只是一個過程
[00:04:47.640 --> 00:04:50.800]  我們要建立一個教會
[00:04:50.800 --> 00:04:54.360]  我們在這個地方建立了這個教會五十年
[00:04:54.360 --> 00:04:57.040]  我們在香港傳福音
[00:04:57.040 --> 00:04:59.880]  我們來幫助香港人認識神
[00:04:59.880 --> 00:05:01.320]  這個都是一個過程
[00:05:01.320 --> 00:05:07.360]  我們最重要的就是順從耶穌給我們的吩咐
[00:05:07.360 --> 00:05:08.840]  如果耶穌要我們在香港
[00:05:08.840 --> 00:05:10.200]  要在這個地方
[00:05:10.200 --> 00:05:12.600]  我們藉著這個組織
[00:05:12.600 --> 00:05:16.480]  來將福音傳給這裡的人
[00:05:16.480 --> 00:05:18.960]  這個是我們要做的
[00:05:18.960 --> 00:05:21.640]  但是我們做這些事的時候
[00:05:21.640 --> 00:05:26.040]  我們是表達我們是順從耶穌的吩咐
[00:05:26.040 --> 00:05:28.600]  所以如果耶穌有不同的吩咐的時候
[00:05:28.600 --> 00:05:30.720]  我們就要做不同的事
[00:05:30.720 --> 00:05:33.640]  耶穌要我們離開這裡去非洲的話
[00:05:33.640 --> 00:05:35.720]  我們就是要去非洲
[00:05:35.720 --> 00:05:37.800]  不是說香港不重要
[00:05:37.800 --> 00:05:39.920]  不是說這裡沒有這樣的機會
[00:05:39.920 --> 00:05:41.000]  而是對我們來說
[00:05:41.000 --> 00:05:42.200]  無論做甚麼事
[00:05:42.200 --> 00:05:46.120]  最終我們效忠的是耶穌
[00:05:46.120 --> 00:05:49.480]  這個是我們很需要小心的
[00:05:49.480 --> 00:05:52.920]  因為當我們從耶穌領受一個職份
[00:05:52.920 --> 00:05:54.200]  一個職事的時候
[00:05:54.200 --> 00:05:57.720]  我們很容易將這件事變得大於耶穌
[00:05:57.720 --> 00:06:02.200]  我們就將這件事變成我們唯一的目標和使命
[00:06:02.200 --> 00:06:05.080]  而忘記了我們是因為順從耶穌
[00:06:05.080 --> 00:06:07.040]  我們才去做這件事
[00:06:07.040 --> 00:06:10.800]  而耶穌才是我們更加重要要效忠
[00:06:10.800 --> 00:06:12.760]  有時你關心家人
[00:06:12.760 --> 00:06:15.280]  你準備煮一餐飯給他們吃
[00:06:15.280 --> 00:06:16.960]  因為你關心他們
[00:06:16.960 --> 00:06:19.720]  你來愛他們
[00:06:19.720 --> 00:06:22.360]  但是你不會因為你要煮一餐飯
