
[00:00:00.000 --> 00:00:04.400]  在上個月我們來看一套《士堂傳》的記載
[00:00:04.400 --> 00:00:07.300]  我們會一直藉著《士堂傳》
[00:00:07.300 --> 00:00:09.300]  幫助我們在今年
[00:00:09.300 --> 00:00:11.200]  我們先求神的角度
[00:00:11.200 --> 00:00:15.000]  讓更加來推動我們去關懷
[00:00:15.000 --> 00:00:16.600]  主所關懷的
[00:00:16.600 --> 00:00:19.400]  就是祂角度的事
[00:00:19.400 --> 00:00:23.100]  上個月跟大家看見教會的元首
[00:00:23.100 --> 00:00:25.100]  就是耶穌基督
[00:00:25.100 --> 00:00:26.900]  所以在《士堂傳》開始的時候
[00:00:26.900 --> 00:00:30.500]  很清楚圖一段的記載
[00:00:30.500 --> 00:00:34.000]  從第一到十一節的一個序言
[00:00:34.000 --> 00:00:38.000]  就已經帶出耶穌基督幾個很重要的教訓
[00:00:38.000 --> 00:00:40.200]  以及祂升天
[00:00:40.200 --> 00:00:42.000]  成為一位福活主
[00:00:42.000 --> 00:00:47.000]  又應許再來的一個應許
[00:00:47.000 --> 00:00:48.200]  今天我們要看看
[00:00:48.200 --> 00:00:49.900]  除了《聖經》說
[00:00:49.900 --> 00:00:53.500]  教會就是以耶穌作元首
[00:00:53.500 --> 00:00:56.200]  祂就是防角石
[00:00:56.200 --> 00:00:58.400]  《保羅書信》也很清楚解釋
[00:00:58.400 --> 00:01:05.100]  教會建造在使徒和先知的根基上
[00:01:05.100 --> 00:01:07.300]  所以我們知道在教會開始的時候
[00:01:07.300 --> 00:01:11.500]  神來使用使徒
[00:01:11.500 --> 00:01:14.600]  建立了教會作為開始
[00:01:14.600 --> 00:01:18.400]  以致我們看見福音一直被傳揚
[00:01:18.400 --> 00:01:20.500]  從耶路撒冷
[00:01:20.500 --> 00:01:21.600]  猶太傳遞
[00:01:21.600 --> 00:01:23.000]  薩米利亞
[00:01:23.000 --> 00:01:23.900]  直到地極
[00:01:23.900 --> 00:01:25.500]  來到我們今天
[00:01:25.500 --> 00:01:28.800]  我們看到福音要繼續來擴展
[00:01:28.800 --> 00:01:30.500]  教會要繼續建立
[00:01:30.500 --> 00:01:33.900]  直到那天教會被提到天上去
[00:01:33.900 --> 00:01:39.200]  我們知道這就是我們榮耀的盼望
[00:01:39.200 --> 00:01:41.900]  所以今天我們看見在上一個主日
[00:01:41.900 --> 00:01:45.800]  我們說到福活主升天之後
[00:01:45.800 --> 00:01:49.700]  就吩咐他們接下來要做的事
[00:01:49.700 --> 00:01:50.900]  所以今天我們看見
[00:01:50.900 --> 00:01:53.700]  從上一次第十一節之後
[00:01:53.700 --> 00:01:57.400]  第十二節到整章的末了
[00:01:57.400 --> 00:01:59.100]  這段經文有十幾節
[00:01:59.100 --> 00:02:01.900]  我們一起讀完它
[00:02:01.900 --> 00:02:03.000]  了解一下
[00:02:03.000 --> 00:02:04.300]  或者溫習一下
[00:02:04.300 --> 00:02:07.800]  當中一些重要的記載
[00:02:07.800 --> 00:02:10.700]  第一章的十二節
