
[00:00:00.000 --> 00:00:03.000]  主要是在你的恩典中站立
[00:00:03.000 --> 00:00:06.000]  因為在你的恩典裡我們無需懼怕
[00:00:06.000 --> 00:00:09.000]  沒有任何的指控可以控訴我們
[00:00:09.000 --> 00:00:11.000]  叫我們和你的愛離開
[00:00:11.000 --> 00:00:14.000]  所以今天我們又帶著一個這樣的有福氣
[00:00:14.000 --> 00:00:16.000]  能夠與你親近
[00:00:16.000 --> 00:00:18.000]  在這個敬拜台前
[00:00:18.000 --> 00:00:19.000]  將榮耀歸給你
[00:00:19.000 --> 00:00:21.000]  將我們的心敞開
[00:00:21.000 --> 00:00:23.000]  讓你來到去充滿我們
[00:00:23.000 --> 00:00:25.000]  求聖靈繼續與我們同在
[00:00:25.000 --> 00:00:28.000]  將你的說話向我們開啟
[00:00:28.000 --> 00:00:30.000]  在我們心靈裡得到你的慰養
[00:00:30.000 --> 00:00:31.000]  聽我們祈禱
[00:00:31.000 --> 00:00:32.000]  奉耶穌基督的名
[00:00:32.000 --> 00:00:33.000]  Amen
[00:00:33.000 --> 00:00:34.000]  請坐
[00:00:34.000 --> 00:00:35.000]  Thank you
[00:00:35.000 --> 00:00:41.000]  撒加利亞書是一卷不是很長
[00:00:41.000 --> 00:00:42.000]  所以叫小先知
[00:00:42.000 --> 00:00:44.000]  大先知即是很大
[00:00:44.000 --> 00:00:47.000]  很多篇幅的意思
[00:00:47.000 --> 00:00:50.000]  它的記載是在以色列人
[00:00:50.000 --> 00:00:54.000]  被擄之後再回到自己的家鄉
[00:00:54.000 --> 00:00:57.000]  在那裡重新再重建耶路撒冷
[00:00:57.000 --> 00:00:59.000]  和重建聖殿
[00:00:59.000 --> 00:01:02.000]  這是他們回去的一個最主的目的
[00:01:02.000 --> 00:01:07.000]  但是重建聖殿是不容易的事
[00:01:07.000 --> 00:01:10.000]  最早期第一個聖殿建立
[00:01:10.000 --> 00:01:12.000]  是所羅門的時代建立的
[00:01:12.000 --> 00:01:14.000]  那時候什麼都有
[00:01:14.000 --> 00:01:18.000]  是以色列人最豐盛最強盛的時候
[00:01:18.000 --> 00:01:20.000]  所以按照神的吩咐
[00:01:20.000 --> 00:01:22.000]  那些金那些銀
[00:01:22.000 --> 00:01:25.000]  那些所有的東西都充足的
[00:01:25.000 --> 00:01:27.000]  但是現在戰後
[00:01:27.000 --> 00:01:30.000]  經過了這麼多的變遷
[00:01:30.000 --> 00:01:32.000]  耶路撒冷不再富庶
[00:01:32.000 --> 00:01:33.000]  是貧窮的
[00:01:33.000 --> 00:01:34.000]  某程度來說
[00:01:34.000 --> 00:01:36.000]  要一個這樣的地方
[00:01:36.000 --> 00:01:40.000]  再一次恢復聖殿那種榮美的建築
[00:01:40.000 --> 00:01:42.000]  其實是一個很難的工程
[00:01:42.000 --> 00:01:45.000]  所以以色列人看到差不多地基建了之後
[00:01:45.000 --> 00:01:46.000]  就開始停了
[00:01:46.000 --> 00:01:49.000]  那種熱情不再
[00:01:49.000 --> 00:01:52.000]  那種困難令他們很多窒息
[00:01:52.000 --> 00:01:54.000]  就是在這個背景裡面
[00:01:54.000 --> 00:01:56.000]  上帝就要差派先知
[00:01:56.000 --> 00:01:59.000]  去跟這一班很沮喪
[00:01:59.000 --> 00:02:03.000]  很迷失的一班以色列人
[00:02:03.000 --> 00:02:04.000]  去鼓勵他們
[00:02:04.000 --> 00:02:05.000]  那你也猜到
[00:02:05.000 --> 00:02:07.000]  你是上帝你也要鼓勵他們
[00:02:07.000 --> 00:02:08.000]  不用怕
[00:02:08.000 --> 00:02:09.000]  再來
[00:02:09.000 --> 00:02:10.000]  我必與你同在
[00:02:10.000 --> 00:02:11.000]  這些話大家會說的
[00:02:11.000 --> 00:02:13.000]  先知經常都是這些話
[00:02:13.000 --> 00:02:15.000]  就在這個背景裡面
[00:02:15.000 --> 00:02:16.000]  我們就看撒加利亞先知
[00:02:16.000 --> 00:02:19.000]  今天我們要看的兩個人物
[00:02:19.000 --> 00:02:21.000]  都是撒加利亞先知裡面
[00:02:21.000 --> 00:02:24.000]  其中兩個異象看到的一個人物
[00:02:24.000 --> 00:02:26.000]  內容其實很簡單的
[00:02:26.000 --> 00:02:27.000]  撒加利亞先知十幾章的內容
[00:02:27.000 --> 00:02:28.000]  其實很容易的
[00:02:28.000 --> 00:02:30.000]  就是看到有八個異象
[00:02:30.000 --> 00:02:32.000]  短短十二三章的聖經裡面
[00:02:32.000 --> 00:02:33.000]  有八個異象
[00:02:33.000 --> 00:02:34.000]  有些訊息
[00:02:34.000 --> 00:02:36.000]  然後重新再一次肯定
[00:02:36.000 --> 00:02:38.000]  說神是重新再揀選耶路撒冷
[00:02:38.000 --> 00:02:40.000]  重建聖殿
[00:02:40.000 --> 00:02:41.000]  在將來的日子裡面
[00:02:41.000 --> 00:02:43.000]  神的審判一定會來到的
[00:02:43.000 --> 00:02:44.000]  所以你們不要害怕
[00:02:44.000 --> 00:02:46.000]  神一定會帶領你度過所有的事情
[00:02:46.000 --> 00:02:48.000]  等等等等
[00:02:48.000 --> 00:02:50.000]  我預備的時候就看到一本書
[00:02:50.000 --> 00:02:53.000]  將我剛才所說的內容大綱
[00:02:53.000 --> 00:02:55.000]  是一個圖像
[00:02:55.000 --> 00:02:56.000]  一個表列出來
[00:02:56.000 --> 00:02:57.000]  我覺得非常之棒
[00:02:57.000 --> 00:02:59.000]  我今天就不會說這個表
[00:02:59.000 --> 00:03:01.000]  不過用得不要浪費
[00:03:01.000 --> 00:03:02.000]  找了一些資料
[00:03:02.000 --> 00:03:04.000]  與大家一起分享
[00:03:04.000 --> 00:03:06.000]  所以就分享給大家
[00:03:06.000 --> 00:03:08.000]  就是這個圖表裡面所說的
[00:03:08.000 --> 00:03:11.000]  你看到一二三左邊
[00:03:11.000 --> 00:03:13.000]  然後右邊六七八
[00:03:13.000 --> 00:03:17.000]  中間四五之後有八個異象的編排
[00:03:17.000 --> 00:03:18.000]  一二三那裡是
[00:03:18.000 --> 00:03:22.000]  重點是說神會再一次臨到耶路撒冷
[00:03:22.000 --> 00:03:23.000]  再回到你們中間
[00:03:23.000 --> 00:03:25.000]  然後中間那兩個四五
