
[00:00:00.000 --> 00:00:03.400]  今日,我哋思想屬靈健康
[00:00:03.400 --> 00:00:06.800]  乜嘢知道我哋屬靈嘅健康呢?
[00:00:06.800 --> 00:00:11.200]  一個人健康,你可以透過驗血
[00:00:11.200 --> 00:00:15.300]  或者好簡單,即係嚟到探下熱
[00:00:15.300 --> 00:00:16.800]  睇下你冇發燒
[00:00:16.800 --> 00:00:19.700]  每日經過學校,一間學校
[00:00:19.700 --> 00:00:22.100]  每日啲學生都係排隊
[00:00:22.100 --> 00:00:25.200]  咁就唔係用探熱針探熱,用咩呀?
[00:00:25.200 --> 00:00:29.000]  探熱槍呀,嗰啲可能風紀
[00:00:29.000 --> 00:00:32.500]  每一個入嚟嘅同學,都喺佢頭寫一寫
[00:00:32.500 --> 00:00:35.200]  全部排隊,作為呢
[00:00:35.200 --> 00:00:37.200]  睇下有冇佢發熱
[00:00:37.200 --> 00:00:40.400]  咁呢就發燒,即係發燒
[00:00:40.400 --> 00:00:43.000]  代表佢可能有問題
[00:00:43.000 --> 00:00:45.200]  或者身體有冇病
[00:00:45.200 --> 00:00:48.400]  咁呢,就可能唔畀佢返學
[00:00:48.400 --> 00:00:52.400]  最近呢,我有機會同屋企人去旅行
[00:00:52.400 --> 00:00:56.600]  即係未到,即係正係準備落機嘅時候
[00:00:56.600 --> 00:00:59.000]  突然間空中小姐宣佈
[00:00:59.000 --> 00:01:04.400]  佢話呢,我哋喺洗手間發現牆壁有血跡
[00:01:04.400 --> 00:01:09.200]  喺度驚呀,唔知係咪伊波拉啲人嘔血啦
[00:01:09.200 --> 00:01:15.200]  咁立即就,好,邊一個身體唔舒服請你行出嚟啦
[00:01:15.200 --> 00:01:17.000]  你會唔會行出嚟呀?
[00:01:17.000 --> 00:01:24.800]  等咗十五分鐘,都冇人行出嚟
[00:01:24.800 --> 00:01:26.800]  咁呢,就冇辦法啦
[00:01:26.800 --> 00:01:29.800]  唔通你個個都係走去驗去咩?
[00:01:29.800 --> 00:01:32.800]  咁呢,結果就放行我哋
[00:01:32.800 --> 00:01:36.800]  喺幾個月之前,我又係搭飛機
[00:01:36.800 --> 00:01:42.200]  當時太太喺機上臨落機好似唔係好舒服
[00:01:42.200 --> 00:01:44.400]  叫空中小姐畀杯熱水去
[00:01:44.400 --> 00:01:47.400]  空中小姐一見佢唔舒服,好緊張呀
[00:01:47.400 --> 00:01:51.800]  咁呢,就問咗佢一啲嘢
[00:01:51.800 --> 00:01:55.800]  咁跟住架機拍壞位啦
[00:01:55.800 --> 00:01:59.800]  跟住呢,佢就話暫時大家未落機呀
[00:01:59.800 --> 00:02:05.800]  因為呢,我哋要叫一個檢疫人員上機呀
[00:02:05.800 --> 00:02:13.400]  咁又係等,等一陣間個檢疫嘅人上機呀
[00:02:13.400 --> 00:02:16.400]  咁就走嚟問我太太啦
[00:02:16.400 --> 00:02:19.800]  你有咩事呀?點呀?點咩唔舒服呀?
[00:02:19.800 --> 00:02:22.800]  佢就話我唔係醫療人員㗎
[00:02:22.800 --> 00:02:24.800]  咁呀,問咗兩條問題
[00:02:24.800 --> 00:02:27.800]  咁呀,咁呀大家走啦
[00:02:27.800 --> 00:02:30.800]  連量呢個溫度計呀
[00:02:30.800 --> 00:02:33.800]  都冇同佢探下你有冇發燒呀
[00:02:33.800 --> 00:02:37.800]  即係係咪咩流感呀,伊波拉呀等等
