
[00:00:00.000 --> 00:00:03.340]  是否令你想知道說甚麼呢?
[00:00:03.340 --> 00:00:11.700]  其實不是一個很新鮮的訊息
[00:00:11.700 --> 00:00:18.360]  不過機緣巧合是一個很適合的時間
[00:00:18.360 --> 00:00:21.160]  就要去再看這件事
[00:00:21.160 --> 00:00:33.920]  主要經文是在《馬太福音》二十四章
[00:00:33.920 --> 00:00:37.200]  《馬太福音》二十四章是一個很出名的經文
[00:00:37.200 --> 00:00:40.000]  如果別人說《馬太福音》二十四章
[00:00:40.000 --> 00:00:43.160]  你就應該信了主有十年八年
[00:00:43.160 --> 00:00:47.560]  你應該馬上知道別人是想說耶穌預言
[00:00:47.560 --> 00:00:51.100]  這個世界的末了有甚麼事情發生
[00:00:51.100 --> 00:00:55.360]  這個主要就是《馬太福音》二十四章的訊息
[00:00:55.360 --> 00:00:56.360]  很長
[00:00:56.360 --> 00:01:01.360]  很長我就不打算開頭先讀完
[00:01:01.360 --> 00:01:05.400]  有些教會有些規矩
[00:01:05.400 --> 00:01:08.960]  將那些經文要之前讀一次
[00:01:08.960 --> 00:01:12.360]  有一次我去一間教會講啟示錄
[00:01:12.360 --> 00:01:13.660]  七間教會
[00:01:13.660 --> 00:01:16.260]  兩張聖經他們都說要堅持不讀
[00:01:16.260 --> 00:01:20.860]  辛苦的弟兄在那裏讀了五、六分鐘
[00:01:20.860 --> 00:01:22.860]  又不一定需要
[00:01:22.860 --> 00:01:25.860]  我們一邊看一邊講
[00:01:25.860 --> 00:01:27.460]  就像我剛才所說的
[00:01:27.460 --> 00:01:30.360]  是預言世界的末了是怎樣
[00:01:30.360 --> 00:01:34.360]  為甚麼耶穌會講這件事呢
[00:01:34.360 --> 00:01:36.860]  事緣在二十四章一開始
[00:01:36.860 --> 00:01:39.060]  你見到那個記載就說
[00:01:39.060 --> 00:01:40.960]  耶穌出了那個聖殿
[00:01:40.960 --> 00:01:42.360]  正在走路的時候
[00:01:42.360 --> 00:01:44.160]  那些門徒就來跟祂講
[00:01:44.160 --> 00:01:48.260]  就指著那個聖殿跟耶穌講
[00:01:48.260 --> 00:01:51.160]  當然那個聖殿那時候剛剛希律
[00:01:51.160 --> 00:01:54.260]  就將它重新再擴建過
[00:01:54.260 --> 00:01:55.760]  很漂亮很宏偉
[00:01:55.760 --> 00:02:00.060]  猶太人都見到覺得很威水
[00:02:00.060 --> 00:02:01.560]  這麼漂亮的聖殿
[00:02:01.560 --> 00:02:04.060]  但耶穌就跟這些門徒講
[00:02:04.060 --> 00:02:06.860]  你們不是看見這個聖殿嗎
[00:02:06.860 --> 00:02:09.060]  我實在告訴你們
[00:02:09.060 --> 00:02:14.160]  將來在這裏沒有一塊石頭留在石頭上
[00:02:14.160 --> 00:02:17.060]  不被拆毀
[00:02:17.060 --> 00:02:18.860]  耶穌好像專門講反話
[00:02:18.860 --> 00:02:20.860]  多高大多漂亮
[00:02:20.860 --> 00:02:22.860]  耶穌就說將來
[00:02:22.860 --> 00:02:24.860]  被人拆了一塊石頭
[00:02:24.860 --> 00:02:26.060]  不會貼著第二塊石頭
[00:02:26.060 --> 00:02:28.760]  拆到真的散了那塊石頭
[00:02:28.760 --> 00:02:30.360]  很悲涼
[00:02:30.360 --> 00:02:33.960]  那些門徒就會想
[00:02:33.960 --> 00:02:37.260]  即是說將來會有一個末日
[00:02:37.260 --> 00:02:39.160]  在他們跟從耶穌的時候
[00:02:39.160 --> 00:02:44.160]  都知道將來會神懲罰這個世界的時候
[00:02:44.160 --> 00:02:46.160]  會有一個末日出現
[00:02:46.160 --> 00:02:48.160]  很想問耶穌
