
[00:00:00.000 --> 00:00:02.180]  今天我們要跟大家講這個題目
[00:00:02.180 --> 00:00:05.240]  活出尊榮神的品格
[00:00:05.240 --> 00:00:12.540]  在剛剛禮拜三的教會祈禱會
[00:00:12.540 --> 00:00:14.200]  我與丁小妹分享了訊息
[00:00:14.200 --> 00:00:16.540]  亦為美國祈禱
[00:00:16.540 --> 00:00:20.020]  其中我引用了華盛頓總統
[00:00:20.020 --> 00:00:22.340]  就是我們美國的第一任總統
[00:00:22.340 --> 00:00:23.480]  開國元首
[00:00:23.480 --> 00:00:26.140]  他有一段說話
[00:00:26.140 --> 00:00:27.800]  非常有遠見
[00:00:28.420 --> 00:00:30.320]  他在立國的時候這樣說
[00:00:30.320 --> 00:00:32.180]  他說美國長遠的幸福
[00:00:32.180 --> 00:00:33.980]  繁榮
[00:00:33.980 --> 00:00:36.640]  安全和自由
[00:00:36.640 --> 00:00:39.160]  是取決於人民的品格
[00:00:39.160 --> 00:00:43.940]  一個自由的國家只有保持美德
[00:00:43.940 --> 00:00:48.360]  才能夠保持真正的自由
[00:00:48.360 --> 00:00:52.720]  所以美國立國是因為他脫離了英國的管轄
[00:00:52.720 --> 00:00:57.200]  和沒有自由的轄制
[00:00:57.200 --> 00:00:58.860]  而得到自由
[00:00:58.860 --> 00:01:02.580]  他承認所有的立國宣言
[00:01:02.580 --> 00:01:06.380]  承認所有人都是上帝所賜的
[00:01:06.380 --> 00:01:07.380]  平等的
[00:01:07.380 --> 00:01:09.800]  亦都享受神給予人的自由
[00:01:09.800 --> 00:01:11.800]  所以沒有階級、沒有奴隸
[00:01:11.800 --> 00:01:17.040]  亦都真是可以有這種人人平等
[00:01:17.040 --> 00:01:20.100]  但是自由不是我們濫用的
[00:01:20.100 --> 00:01:26.120]  自由必須要被有正確的真理和規限所約束
[00:01:26.120 --> 00:01:29.860]  在這個範圍底下我們真正享受真正的自由
[00:01:29.860 --> 00:01:33.220]  所以當美國立國開始的時候
[00:01:33.220 --> 00:01:35.460]  華盛頓總統有這個遠見
[00:01:35.460 --> 00:01:40.400]  我們開始有幸福、有榮華、有安全、有自由
[00:01:40.400 --> 00:01:43.460]  不過是取決於人民的品格
[00:01:43.460 --> 00:01:48.640]  所以當我們能夠保持一個有品格
[00:01:48.640 --> 00:01:52.440]  一個追求美德的社會
[00:01:52.440 --> 00:01:53.920]  一個國家的時候
[00:01:53.920 --> 00:01:59.860]  這才是能夠維持長遠繁榮、自由真正的原因
[00:01:59.860 --> 00:02:01.920]  所以今天作為神的兒女
[00:02:01.920 --> 00:02:06.420]  我們都要在這個世界上作炎作光
[00:02:06.420 --> 00:02:10.220]  剛好我們來到七月份
[00:02:10.220 --> 00:02:13.180]  2026年的下半年開始
[00:02:13.180 --> 00:02:18.560]  亦都是我們在上半年講完《撒姆爾記上》
[00:02:18.560 --> 00:02:22.020]  今天我們剛剛轉到《撒姆爾記下》
[00:02:22.360 --> 00:02:24.300]  《撒姆爾記下》的第一章
[00:02:24.300 --> 00:02:30.120]  就是再一次看見大衛活出一種合神心意
[00:02:30.120 --> 00:02:34.280]  而且能夠表達出一種尊榮神的品格
[00:02:34.280 --> 00:02:40.020]  而在他面對危機、面對處事待人的時候
[00:02:40.020 --> 00:02:43.800]  我們見到在他人生的原則上
[00:02:43.800 --> 00:02:47.640]  能夠見到這些尊榮神的品格
[00:02:47.640 --> 00:02:50.700]  今天我們都是透過這個來提醒我們自己
[00:02:50.700 --> 00:02:54.020]  我們都是追求在我們這些這麼完全的人
[00:02:54.020 --> 00:02:55.400]  就好像大衛一樣
[00:02:55.400 --> 00:03:00.180]  都能夠追求合神心意和尊榮神的品格
