
[00:00:00.000 --> 00:00:01.880]  讓我們一起讀兩節的聖經
[00:00:01.880 --> 00:00:05.520]  在一節書第37章第三節跟第九節
[00:00:05.520 --> 00:00:08.860]  第三節他對我說 人子啊 這些骸骨能復活嗎?
[00:00:08.860 --> 00:00:11.340]  我說 主耶華 你是知道的
[00:00:11.340 --> 00:00:15.860]  第九節 主對我說 人子啊 你要向風發預言說
[00:00:15.860 --> 00:00:19.180]  主耶華如此說 氣息啊 要從四方而來
[00:00:19.180 --> 00:00:22.940]  吹在這些被殺的人身上 使他們活了
[00:00:22.940 --> 00:00:24.880]  我們就讀到這裡
[00:00:24.880 --> 00:00:30.640]  今天是五旬節 是教會傳統當中聖靈降臨的日子
[00:00:30.640 --> 00:00:32.440]  聖靈是誰呢?
[00:00:32.440 --> 00:00:35.480]  聖靈是我們所信三位一體的真神
[00:00:35.480 --> 00:00:39.580]  聖父 聖子 聖靈 其中的一位
[00:00:39.580 --> 00:00:44.360]  祂是在三位一體真神當中 與我們關係最密切的那一位
[00:00:44.360 --> 00:00:47.740]  因為聖靈是內住在我們裡面的神
[00:00:47.740 --> 00:00:52.980]  而聖父 聖子 是藉著聖靈而住在我們的裡面
[00:00:52.980 --> 00:00:56.760]  而聖靈住在我們裡面是永遠不離開的
[00:00:56.760 --> 00:00:59.440]  所以我常說 你千萬不要害怕聖靈
[00:00:59.440 --> 00:01:03.440]  如果你害怕聖靈 聖靈永遠與你同在 你要怎麼辦呢?
[00:01:03.440 --> 00:01:07.560]  事實上 聖靈的名字就是寶慧師
[00:01:07.560 --> 00:01:12.440]  翻出來的意思就是安慰者 或者是輔導者
[00:01:12.440 --> 00:01:15.320]  換句話說 聖靈在我們一生的道路當中
[00:01:15.320 --> 00:01:18.360]  是要帶給我們安慰跟指引的
[00:01:18.360 --> 00:01:23.680]  哇!這難道不是我們在生活裡面所最需要的事情嗎?
[00:01:23.680 --> 00:01:26.680]  聖靈不但是內住在我們裡面的神
[00:01:26.680 --> 00:01:30.280]  而且聖靈也是在我們的生活 在我們的侍奉當中
[00:01:30.280 --> 00:01:33.680]  能夠帶來一個翻轉能力的神
[00:01:33.680 --> 00:01:39.160]  所以在聖經裡面常常把聖靈稱呼為是神的氣息
[00:01:39.160 --> 00:01:41.940]  當神的氣息一吹來的時候
[00:01:41.940 --> 00:01:44.600]  能夠使我們的生命得以恢復
[00:01:44.600 --> 00:01:47.840]  能夠使我們的環境得以扭轉
[00:01:47.840 --> 00:01:51.480]  在剛才我們所讀的聖經裡面 以希節書第37章
[00:01:51.480 --> 00:01:54.440]  神讓以希節看見一個異象
[00:01:54.440 --> 00:01:58.560]  在這個異象裡面 看見一個平原裡面充滿了骸骨
[00:01:58.560 --> 00:02:02.960]  而且聖經說這些骸骨極其的枯乾
[00:02:02.960 --> 00:02:05.760]  神就問以希節一個問題
[00:02:05.760 --> 00:02:10.480]  神問他說 人子啊 這些骸骨能夠復活嗎?
[00:02:10.480 --> 00:02:14.200]  以希節怎麼看 都覺得不大可能
[00:02:14.200 --> 00:02:19.280]  所以以希節就回答神說 主耶和華啊 祢是知道的
[00:02:19.280 --> 00:02:21.680]  哇 我好喜歡他的回答
[00:02:21.680 --> 00:02:23.920]  主耶和華啊 祢是知道的
[00:02:23.920 --> 00:02:27.320]  我不知道 因為我不能夠
[00:02:27.320 --> 00:02:30.520]  但是主祢知道 因為只有祢能夠
[00:02:30.520 --> 00:02:32.080]  Hallelujah
[00:02:32.080 --> 00:02:35.840]  今天我們的神祂能夠扭轉
[00:02:35.840 --> 00:02:38.960]  我們的神祂能夠來幫助
[00:02:38.960 --> 00:02:43.320]  所以神就叫以希節發出預言來
[00:02:43.320 --> 00:02:46.200]  叫風從四面吹來
[00:02:46.200 --> 00:02:49.720]  神的氣息吹入在骸骨的中間的時候
[00:02:49.720 --> 00:02:54.040]  結果這些骸骨都活了 Hallelujah
[00:02:54.040 --> 00:02:59.400]  我就想到今天當我們在居家隔離的這樣一個情況當中
[00:02:59.400 --> 00:03:04.720]  看見多少的行業失去了資源跟市場
[00:03:04.720 --> 00:03:08.720]  多少人失去了產業 失去了動力
[00:03:08.720 --> 00:03:15.360]  多少受到面對前面不可預測的將來心中徬徨
[00:03:15.360 --> 00:03:21.160]  我們多麼需要聖靈如風吹進我們的生命
[00:03:21.160 --> 00:03:24.880]  我們多麼需要神的氣息吹來
[00:03:24.880 --> 00:03:30.600]  我們何等需要聖靈在我們生命當中來做恢復的工作
[00:03:30.600 --> 00:03:33.760]  那我們要怎麼樣能夠在每天的生活當中
[00:03:33.760 --> 00:03:36.840]  來經歷聖靈的作為呢?
[00:03:36.840 --> 00:03:39.600]  今天早上從三方面跟大家來分享
[00:03:39.600 --> 00:03:43.080]  第一個我們要渴慕聖靈
[00:03:43.080 --> 00:03:45.440]  我們要渴慕聖靈
[00:03:45.440 --> 00:03:48.240]  今天如果我們想經歷聖靈
[00:03:48.240 --> 00:03:53.080]  首先最重要一件事情我們要先來渴慕聖靈
[00:03:53.080 --> 00:03:56.120]  我很喜歡詩篇四十二篇第一節
[00:03:56.120 --> 00:03:58.560]  這裡說神啊我的心竊慕你
[00:03:58.560 --> 00:04:01.840]  如露竊慕七水
[00:04:01.840 --> 00:04:03.840]  這裡講到一種渴慕
[00:04:03.840 --> 00:04:06.160]  這種渴慕不是普通的渴慕
[00:04:06.160 --> 00:04:08.480]  是一種迫切的呼求
[00:04:08.480 --> 00:04:11.640]  好像露竊慕七水一般
[00:04:11.640 --> 00:04:14.480]  你知道當露竊慕七水的時候
[00:04:14.480 --> 00:04:16.600]  無論路再遙遠
[00:04:16.600 --> 00:04:18.960]  無論環境再艱難
[00:04:18.960 --> 00:04:22.760]  他一定要衝到水源那邊去喝他的水
[00:04:22.760 --> 00:04:24.680]  因為那不是可有可無的
