
[00:00:00.000 --> 00:00:06.360]  大兄姐妹 有閘門和寬門 你選擇了哪個門呢
[00:00:06.360 --> 00:00:14.260]  我想做個調查 你覺得你自己已經選擇了閘門的請舉手
[00:00:14.260 --> 00:00:21.500]  你覺得可以的了 我又不會讓你去檢查一下 是不是
[00:00:21.500 --> 00:00:27.820]  那麼認為自己已經選擇了寬門的請舉手
[00:00:27.820 --> 00:00:35.220]  OK 那麼其他沒有舉手的呢 走了後門了
[00:00:35.220 --> 00:00:39.300]  我希望透過這段經文給我們一個審查
[00:00:39.300 --> 00:00:45.460]  究竟我們今天的生命選擇了哪一道門
[00:00:45.460 --> 00:00:49.760]  兩道門你選擇了哪一道門 是寬門還是閘門
[00:00:49.760 --> 00:00:54.700]  當我們看今天這段經文 其實是登山補品最後一個呼召
[00:00:54.700 --> 00:01:01.140]  大家都知道馬太福音的五至七章就是主耶穌很著名的登山補品
[00:01:01.140 --> 00:01:06.980]  這裏講述了跟從主的人悔改之後應該有的生命究竟是怎樣
[00:01:06.980 --> 00:01:09.420]  所以我們一看登山補品的內容
[00:01:09.420 --> 00:01:17.780]  我們會看到主耶穌會吩咐跟隨他的人要作炎作光 要愛仇敵
[00:01:17.780 --> 00:01:26.700]  跟隨他的人 他的義是要勝過民事化理錯人的義 也不可以憂慮 也要愛神愛人
[00:01:26.700 --> 00:01:28.740]  所以我們看到整個登山補品
[00:01:28.740 --> 00:01:33.300]  我們看到耶穌一步一步去描繪作為一個天國子民
[00:01:33.300 --> 00:01:37.300]  究竟你應該有的究竟是怎樣的一個樣式
[00:01:37.300 --> 00:01:43.500]  而登山補品更加不單止是叫跟隨他的人要聽從耶穌基督的教訓
[00:01:43.500 --> 00:01:50.460]  更重要的是 主耶穌要呼召要進入天國子民的一種生活方式
[00:01:50.460 --> 00:01:57.540]  信仰不只是認知 而是在說我們與神立日後 我們要活出一個生命見證
[00:01:57.540 --> 00:02:00.860]  所以弟子們 今天我們回教會
[00:02:00.860 --> 00:02:06.820]  我們不是在說我們究竟知道多少聖經 我們認識多少聖經
[00:02:06.820 --> 00:02:09.980]  聖經的教導不是停留在我們的腦袋裏面
[00:02:09.980 --> 00:02:14.220]  不只是一個理性的認知 而是在說我們究竟聽了之後
[00:02:14.220 --> 00:02:16.100]  我們讀了之後 我們查了之後
[00:02:16.100 --> 00:02:22.020]  究竟我們有多少聖經的道理我們能夠活出來
[00:02:22.020 --> 00:02:24.180]  這個才是更加重要
[00:02:24.180 --> 00:02:29.900]  這個才是天國子民生命的方式
[00:02:29.900 --> 00:02:33.060]  所以當我們去看今天這段經文
[00:02:33.060 --> 00:02:38.820]  主耶穌一開始就很清楚地吩咐跟隨他的人要進閘門
[00:02:38.820 --> 00:02:44.620]  閘門是一道很容易走的路
[00:02:44.620 --> 00:02:49.820]  門是寬闊的 路是大的 進去的人是多的
[00:02:49.820 --> 00:02:51.740]  為甚麼呢 這道門很簡單
[00:02:51.740 --> 00:02:54.300]  其實入閘門就代表著甚麼呢
[00:02:54.300 --> 00:02:59.100]  你是不去進行天父旨意的人
[00:02:59.100 --> 00:03:02.860]  所以你進入這道閘門 你不需要悔改
[00:03:02.860 --> 00:03:05.460]  你跟隨這個世界的價值觀
[00:03:05.460 --> 00:03:07.260]  而這道門是在說甚麼
[00:03:07.260 --> 00:03:12.780]  你看上去好像很自由 你很舒服 你喜歡怎樣就怎樣
[00:03:12.780 --> 00:03:16.940]  但它是怎樣呢 漸漸的離神越來越遠
[00:03:16.940 --> 00:03:18.860]  而最重要那句是甚麼
[00:03:18.860 --> 00:03:23.140]  結局是我們會引導滅亡
[00:03:23.140 --> 00:03:25.660]  接著閘門 主耶穌告訴我們
[00:03:25.660 --> 00:03:29.140]  進閘門是一條通往生命的路
[00:03:29.140 --> 00:03:31.220]  閘門是通往生命的 為甚麼呢
[00:03:31.220 --> 00:03:33.260]  我們去進行天父的旨意
[00:03:33.260 --> 00:03:36.940]  在這道門裏面有主的同行 有恩典去扶持
[00:03:36.940 --> 00:03:39.980]  是有永生的盼望 但主耶穌告訴我們
[00:03:39.980 --> 00:03:44.740]  這條路是少的 找到的人都是少的 為甚麼呢
[00:03:44.740 --> 00:03:51.580]  因為要悔改 要捨己 要背十家 要信復神
[00:03:51.580 --> 00:03:55.860]  等於說到這裏 看到寬門和閘門
[00:03:55.860 --> 00:03:59.180]  對於一般人來說 我們看到的時候
[00:03:59.180 --> 00:04:01.620]  我們很容易選擇的
[00:04:01.620 --> 00:04:10.460]  大部份的人 你會選擇容易的事做 還是選擇困難的事做
[00:04:10.460 --> 00:04:16.100]  連埃連今晚 警方都會向我們呼籲
[00:04:16.100 --> 00:04:20.100]  你要鎖好門窗 因為會很容易有盜竊
[00:04:20.100 --> 00:04:25.500]  因為那些賊都是取而不取難
[00:04:25.500 --> 00:04:28.620]  所以我們要去選擇 我們會選擇甚麼
[00:04:28.620 --> 00:04:36.380]  選擇容易的事做 還是選擇困難的事做
[00:04:36.380 --> 00:04:39.740]  選擇容易的事做的話 請舉手
[00:04:39.740 --> 00:04:42.580]  多了些人
[00:04:42.580 --> 00:04:48.140]  選擇困難的事做的話 請舉手
[00:04:48.140 --> 00:04:51.100]  沒有舉手的又是甚麼
[00:04:51.100 --> 00:04:54.620]  不走路 坐在這裏最好
[00:04:54.620 --> 00:04:57.540]  這麼難走路 都不知道走不走得好
[00:04:57.540 --> 00:05:01.340]  所以主子說了給我們聽 有寬門和閘門
