
[00:00:00.000 --> 00:00:06.440]  在這兩天我都收到一個影片
[00:00:06.440 --> 00:00:08.440]  可能很多人都收到的
[00:00:08.440 --> 00:00:09.580]  不過是用英文
[00:00:09.580 --> 00:00:11.580]  你收到的時候是一片黑色的
[00:00:11.580 --> 00:00:13.580]  所以可能你都未必會打開來看
[00:00:13.580 --> 00:00:16.160]  我打開來看 原來當中相當有意思
[00:00:16.160 --> 00:00:19.260]  都成為了今天我作講道的引擎
[00:00:19.260 --> 00:00:21.260]  裡面題目是「四支蠟燭」
[00:00:21.260 --> 00:00:24.460]  在一個房間裡面
[00:00:24.460 --> 00:00:26.460]  有四支蠟燭點燃著
[00:00:26.460 --> 00:00:28.460]  他守望著這個房間
[00:00:28.460 --> 00:00:30.460]  直到黎明的時候
[00:00:30.460 --> 00:00:32.460]  希望保持這個房間有光明
[00:00:32.460 --> 00:00:34.460]  因為黎明的時候
[00:00:34.460 --> 00:00:36.460]  太陽來到
[00:00:36.460 --> 00:00:38.460]  就能夠有一個更長的光明
[00:00:38.460 --> 00:00:40.460]  這四支蠟燭一直在點燃著
[00:00:40.460 --> 00:00:42.460]  但是慢慢慢慢
[00:00:42.460 --> 00:00:44.460]  它越燒越短
[00:00:44.460 --> 00:00:46.460]  越燒越短
[00:00:46.460 --> 00:00:48.460]  在房間裡面
[00:00:48.460 --> 00:00:50.460]  非常之寧靜
[00:00:50.460 --> 00:00:52.460]  彷彿可以聽到蠟燭
[00:00:52.460 --> 00:00:54.460]  在說話
[00:00:54.460 --> 00:00:56.460]  第一支蠟燭
[00:00:56.460 --> 00:00:58.460]  它說我叫做「和平」
[00:00:58.460 --> 00:01:00.460]  它說這個世界上
[00:01:00.460 --> 00:01:02.460]  充滿著暴力和罪惡
[00:01:02.460 --> 00:01:04.460]  我要提早
[00:01:04.460 --> 00:01:06.460]  熄滅 所以第一支蠟燭
[00:01:06.460 --> 00:01:08.460]  當它未完全燃燒盡的時候
[00:01:08.460 --> 00:01:10.460]  它已經提早
[00:01:10.460 --> 00:01:12.460]  熄滅了
[00:01:12.460 --> 00:01:14.460]  接著第二支蠟燭
[00:01:14.460 --> 00:01:16.460]  它說我叫做「信心」
[00:01:16.460 --> 00:01:18.460]  當一個世界充滿著
[00:01:18.460 --> 00:01:20.460]  歪理 荒誕的事
[00:01:20.460 --> 00:01:22.460]  極權的事的時候
[00:01:22.460 --> 00:01:24.460]  令人失掉信心
