
[00:00:00.000 --> 00:00:01.300]  各位太兄姊妹平安
[00:00:01.300 --> 00:00:05.580]  很高興有機會和大家有正道的時間
[00:00:05.580 --> 00:00:08.380]  接下來我們教會將會就耶穌基督
[00:00:08.380 --> 00:00:11.260]  在約翰福音裡面七個的「我是」
[00:00:11.260 --> 00:00:12.940]  去進行分享
[00:00:12.940 --> 00:00:14.660]  透過這七個「我是」
[00:00:14.660 --> 00:00:19.020]  讓我們更加具體去認識祂和思想主基督
[00:00:19.020 --> 00:00:21.900]  而今天我所說的第一個「我是」
[00:00:21.900 --> 00:00:23.540]  就是耶穌和我們說
[00:00:23.540 --> 00:00:25.540]  「我是生命的糧」
[00:00:25.540 --> 00:00:28.380]  「我是生命的糧」的意思很簡單
[00:00:29.060 --> 00:00:34.300]  就好像人必須要透過食物才可以生存一樣的意思
[00:00:34.300 --> 00:00:36.500]  在我們信仰的生命裡面
[00:00:36.500 --> 00:00:39.940]  耶穌基督就是我們屬靈生命的必需品
[00:00:39.940 --> 00:00:42.260]  我們不能夠沒有祂
[00:00:42.260 --> 00:00:48.180]  我想這是我們人人都能夠說得出很明白的道理
[00:00:48.180 --> 00:00:50.820]  不過很多時候在我們生命裡面
[00:00:50.820 --> 00:00:52.340]  在我們教會生活
[00:00:52.340 --> 00:00:54.140]  我們都反映不到
[00:00:54.140 --> 00:00:57.420]  耶穌基督是我們生命的必需品
[00:00:57.820 --> 00:01:02.380]  反而我們需要其他的東西好像更多過需要耶穌
[00:01:02.380 --> 00:01:05.980]  今天我和大家設立了一個的分題叫
[00:01:05.980 --> 00:01:08.060]  「基督徒都需要破」
[00:01:08.060 --> 00:01:12.100]  這個題目是源自於之前很有名的一套電影
[00:01:12.100 --> 00:01:16.060]  當中有一句很吊詭又煩人心繩的對白
[00:01:16.060 --> 00:01:17.500]  它是這樣說的
[00:01:17.500 --> 00:01:22.140]  它說「不只死人要超渡,新人也要破地獄」
[00:01:22.140 --> 00:01:26.260]  意思是那個儀式明明是給死人的
[00:01:26.700 --> 00:01:28.820]  但是新人也要去面對
[00:01:28.820 --> 00:01:29.500]  為什麼呢
[00:01:29.500 --> 00:01:32.660]  因為新人都要處理很多在人世間
[00:01:32.660 --> 00:01:33.820]  很多很艱難
[00:01:33.820 --> 00:01:35.660]  好像地獄一般的場景
[00:01:35.660 --> 00:01:37.300]  要面對很多的問題
[00:01:37.300 --> 00:01:40.940]  今天和大家去看「基督徒都需要破」
[00:01:40.940 --> 00:01:43.140]  究竟我們一起去破些什麼呢
[00:01:43.140 --> 00:01:44.780]  作為基督徒
[00:01:44.780 --> 00:01:47.620]  我們要承認耶穌是我們生命的糧
