
[00:00:00.000 --> 00:00:07.200]  今天早上我們要回到約翰福音的系列裡面
[00:00:07.200 --> 00:00:11.040]  我打算今年都是講約翰福音 除了一些節期
[00:00:11.040 --> 00:00:15.700]  我打算今年還是繼續講約翰福音 除了一些節期以外
[00:00:15.700 --> 00:00:20.320]  所以我大概還有十幾篇的約翰福音的講章
[00:00:20.320 --> 00:00:26.840]  如果完了之後 如果大家有上Ken的主要學呢
[00:00:26.840 --> 00:00:30.620]  如果大家完了之後有上Ken的主要學
[00:00:30.620 --> 00:00:33.060]  那你們應該是半個月有三個專家了
[00:00:33.060 --> 00:00:35.420]  所以大家應該有半個月有約翰福音的專家了
[00:00:35.420 --> 00:00:40.820]  競選口號對一些政治參與人來說是非常之重要
[00:00:40.820 --> 00:00:45.000]  競選口號對一些政治的參與人來說是非常之重要
[00:00:45.000 --> 00:00:48.420]  美國第一位黑人的總統奧巴馬
[00:00:48.420 --> 00:00:51.100]  第一位美國的黑人總統奧巴馬
[00:00:51.100 --> 00:00:54.000]  他當年的口號是改革Change
[00:00:54.000 --> 00:00:56.180]  當然他的口號是改革Change
[00:00:56.180 --> 00:00:59.760]  沒辦法連任的特朗普
[00:00:59.760 --> 00:01:02.380]  沒辦法連任的特朗普
[00:01:02.380 --> 00:01:05.900]  他的競選口號就是讓美國偉大起來
[00:01:05.900 --> 00:01:07.800]  就是讓美國偉大起來
[00:01:07.800 --> 00:01:12.700]  如果競選口號有高低的話
[00:01:12.700 --> 00:01:15.700]  如果競選口號有高低的話
[00:01:15.700 --> 00:01:24.040]  當年前香港一位競選特區行政長官的一位特首
[00:01:24.040 --> 00:01:29.480]  當時競選香港特區行政區首長的一些委員
[00:01:29.480 --> 00:01:32.780]  他的口號當時就引起了一些討論
[00:01:32.780 --> 00:01:35.500]  他那個時候的口號就引起了一些討論
[00:01:35.500 --> 00:01:38.540]  廣東話就說「我要做這份工」
[00:01:38.540 --> 00:01:41.140]  廣東話的意思是「我要打好這份工」
[00:01:41.140 --> 00:01:44.380]  其實英文就好一點「I will get the job done」
[00:01:44.380 --> 00:01:46.180]  其他英文的口號會比較好一點
[00:01:46.180 --> 00:01:50.460]  其實這個口號就結果當時被很多新聞界去諷刺
[00:01:50.460 --> 00:01:53.420]  然後這句話就被當時的新聞界去諷刺
