
[00:00:00.000 --> 00:00:04.160]  我們今天也和大家分享一段聖經、一段聖的說話
[00:00:04.160 --> 00:00:07.200]  在我們還沒開始之前我們也有一個祈禱
[00:00:07.200 --> 00:00:09.520]  親愛的主我們多謝祢
[00:00:09.520 --> 00:00:11.920]  因為祢是倍受眾讚的主
[00:00:11.920 --> 00:00:16.400]  求主讓我們學習向主祢唱讚美的歌
[00:00:16.400 --> 00:00:18.960]  讓祢自己得著自己的榮耀
[00:00:18.960 --> 00:00:21.040]  多謝祢聽我們祈禱
[00:00:21.040 --> 00:00:23.200]  奉耶穌名字以求
[00:00:23.200 --> 00:00:24.400]  阿們
[00:00:24.400 --> 00:00:27.440]  歡迎大家來到當中
[00:00:27.440 --> 00:00:30.400]  不知道今天大家來到當中的人裡面有多少人
[00:00:30.400 --> 00:00:34.160]  是為了參與一間聚會
[00:00:34.160 --> 00:00:37.680]  因福好聲音
[00:00:37.680 --> 00:00:41.280]  因福裡面確實有很多好的聲音
[00:00:41.280 --> 00:00:43.840]  不過我的聲音應該差一點
[00:00:43.840 --> 00:00:46.800]  所以大家待會對我也有唱的歌
[00:00:46.800 --> 00:00:48.560]  就不用太大的期望
[00:00:48.560 --> 00:00:51.040]  因為我自己也練了很久
[00:00:51.040 --> 00:00:52.080]  昨晚也練了很久
[00:00:52.080 --> 00:00:54.400]  我的女兒說我可不可以不來聽
[00:00:54.400 --> 00:00:58.240]  我也很有壓力
[00:00:58.240 --> 00:01:00.560]  不過待會給點鼓勵
[00:01:00.560 --> 00:01:03.360]  唱得不好不用打賞
[00:01:03.360 --> 00:01:06.400]  不過給兩下掌聲讓我有點安慰就可以了
[00:01:06.400 --> 00:01:08.240]  不過真的很開心
[00:01:08.240 --> 00:01:11.040]  我們藉著不同的歌
[00:01:11.040 --> 00:01:13.840]  一方面是我們自己喜歡的
[00:01:13.840 --> 00:01:17.200]  美好回憶的流行歌、粵曲等等
[00:01:17.200 --> 00:01:19.520]  也有一些不同的詩歌
[00:01:19.520 --> 00:01:22.400]  藉著詩歌讚頌實
[00:01:22.400 --> 00:01:26.240]  希望我們透過不同的詩歌
[00:01:26.240 --> 00:01:28.800]  可以像一個大師班一樣
[00:01:28.800 --> 00:01:32.640]  將一個最好的去獻給神
[00:01:32.640 --> 00:01:35.200]  而今天跟大家讀的經文
[00:01:35.200 --> 00:01:36.480]  大家剛才也讀過了
[00:01:36.480 --> 00:01:41.600]  就是來自詩篇95篇1至11節的聖經
