
[00:00:00.000 --> 00:00:03.760]  讓我們一起先低頭禱告
[00:00:30.000 --> 00:00:33.200]  讓我們能夠知道禱告是一回甚麼事
[00:00:33.200 --> 00:00:36.360]  以及我們能夠明白禱告的內涵
[00:00:36.360 --> 00:00:38.360]  以及我們的心態
[00:00:38.360 --> 00:00:39.840]  聽我們的禱告
[00:00:39.840 --> 00:00:41.600]  奉基督耶穌的名
[00:00:41.600 --> 00:00:43.600]  阿們
[00:00:43.600 --> 00:00:47.880]  讓我首先在第十七章第一節之前
[00:00:47.880 --> 00:00:49.160]  我要講
[00:00:49.160 --> 00:00:56.280]  今天我要將所講的歸納成五個點去講給大家聽
[00:00:56.280 --> 00:01:01.000]  第一個,禱告是配合神心意的禱告
[00:01:01.000 --> 00:01:05.960]  很多時候我們的禱告只是顧及我們想怎樣就怎樣
[00:01:05.960 --> 00:01:08.760]  不知道上帝究竟的心意是甚麼
[00:01:08.760 --> 00:01:14.680]  或者我們誤解了禱告只是要上帝滿足我們的需要
[00:01:14.680 --> 00:01:19.640]  但是真正的禱告的核心是配合上帝的心意
[00:01:19.640 --> 00:01:27.360]  第二,以利亞在整個和上帝的相交裏面
[00:01:27.360 --> 00:01:32.960]  他是信靠上帝的心腸
[00:01:32.960 --> 00:01:35.440]  無論怎樣也好
[00:01:35.440 --> 00:01:37.440]  甚麼事臨到以利亞
[00:01:37.440 --> 00:01:41.440]  他都知道總是有上帝的美善的安排
[00:01:41.440 --> 00:01:45.840]  因為上帝的心腸是美善的
[00:01:45.840 --> 00:01:50.840]  以利亞的禱告是高舉上帝的榮耀
[00:01:50.840 --> 00:01:54.400]  他知道他的一生是為了榮耀神
[00:01:54.400 --> 00:01:58.880]  他知道他的服侍是為了榮耀上帝
[00:01:58.880 --> 00:02:02.080]  是為了以色列人知道耶和華是神
[00:02:02.080 --> 00:02:04.880]  而我們是否明白
[00:02:04.880 --> 00:02:09.440]  我們禱告的核心目標是為了榮耀神呢?
[00:02:09.440 --> 00:02:15.440]  我們是否明白整個人生是為了榮耀神而生存呢?
[00:02:15.440 --> 00:02:21.640]  以利亞是懷著真摯的愛情
[00:02:21.640 --> 00:02:24.640]  來到上帝的面前去禱告
[00:02:24.640 --> 00:02:27.240]  禱告是人與神
[00:02:27.240 --> 00:02:32.040]  人與人愛的結連的一個表達
[00:02:32.040 --> 00:02:35.840]  禱告的鎖鏈是愛
[00:02:35.840 --> 00:02:41.440]  我們的禱告有多少是充滿了真摯的愛呢?
[00:02:41.440 --> 00:02:49.040]  最後,以利亞能夠坦然和真誠地來到上帝的面前
[00:02:49.040 --> 00:02:56.640]  把他真正的需要好好向上帝的赤露闖開的表達
[00:02:56.640 --> 00:03:00.640]  我們的禱告又如何呢?
[00:03:00.640 --> 00:03:05.040]  好,我們正式進入十七章一節
[00:03:05.040 --> 00:03:14.440]  十七章一節說到住在激烈的提斯比人以利亞
[00:03:14.440 --> 00:03:15.840]  他對亞克說
[00:03:15.840 --> 00:03:19.240]  「我始絕侍奉永生的耶和華
[00:03:19.240 --> 00:03:21.440]  以色列的神起誓
[00:03:21.440 --> 00:03:24.240]  這幾年如果我不祈禱
[00:03:24.240 --> 00:03:26.240]  天就不會降露水
[00:03:26.240 --> 00:03:28.240]  亦都不會下雨」
