
[00:00:00.000 --> 00:00:01.920]  各位影子妹,平安!
[00:00:01.920 --> 00:00:07.080]  十幾年前,有一套電影,不知道大家看過了嗎?
[00:00:07.080 --> 00:00:13.000]  這套電影叫做《功夫熊貓》
[00:00:13.000 --> 00:00:15.080]  有沒有人看過?舉手吧
[00:00:15.080 --> 00:00:18.060]  證明我們都是那個年代的,對吧?
[00:00:18.060 --> 00:00:24.200]  這套電影,當我第一次看的時候,其實對我有很多啟發
[00:00:24.200 --> 00:00:26.120]  沒看過的,我很快地說吧
[00:00:26.120 --> 00:00:29.480]  故事裡其實是講及這隻熊貓,叫阿寶
[00:00:29.480 --> 00:00:32.880]  阿寶很想去學功夫
[00:00:32.880 --> 00:00:36.880]  夢想是很想成為一個武林的高手
[00:00:36.880 --> 00:00:41.120]  當他拜師學藝,找到一個很好的師父
[00:00:41.120 --> 00:00:47.600]  他心裡很快地,很希望很快地能夠學到
[00:00:47.600 --> 00:00:51.080]  原來大家在座有沒有人學功夫呢?
[00:00:51.080 --> 00:00:52.840]  問一下,有沒有人學功夫的?
[00:00:52.840 --> 00:00:54.920]  懂得幾招的
[00:00:54.920 --> 00:01:04.520]  如果你大概知道的話,你會知道學功夫需要一段很長很長的時間
[00:01:04.520 --> 00:01:10.760]  阿寶很希望能夠學到一個秘密的武功
[00:01:10.760 --> 00:01:15.320]  很想學到一招半式去持平
[00:01:15.320 --> 00:01:22.760]  當時他的環境裡,都有很多作惡的事情,很想去抱不平
[00:01:22.760 --> 00:01:27.560]  但你也知道他的身形,就像這樣
[00:01:27.560 --> 00:01:34.560]  所以師父教他一些很普通,甚至是一些很悶的基本功
[00:01:34.560 --> 00:01:40.560]  練習平衡,練習他的站姿,耐力
[00:01:40.560 --> 00:01:45.120]  所以阿寶一開始的時候,其實很困惑,很失望
[00:01:45.120 --> 00:01:48.080]  心裡覺得自己是來學武功的
[00:01:48.080 --> 00:01:53.360]  你教來教去都是一些很枯燥的練習
[00:01:53.360 --> 00:01:57.760]  但師父知道一件事,如果沒有基本功的話
[00:01:57.760 --> 00:02:02.440]  其實再厲害的招式,他也不能夠發揮出來
[00:02:02.440 --> 00:02:05.880]  其實當我一直看這部電影的時候,我都在想
[00:02:05.880 --> 00:02:10.240]  因為當時我剛剛出道,做傳道人
[00:02:10.240 --> 00:02:15.080]  我就在想,屬靈的生命其實都是這樣
[00:02:15.080 --> 00:02:22.080]  當我們信了耶穌之後,很快我們都會跳到一個問題
[00:02:22.080 --> 00:02:24.760]  我怎樣能夠聽到神的聲音呢?
[00:02:24.760 --> 00:02:27.200]  怎樣知道神的心意呢?
[00:02:27.200 --> 00:02:32.480]  其實我們都會很容易,很想學到一些招式、技巧
[00:02:32.480 --> 00:02:36.720]  但其實我們很多時候都忽略了一件很重要的事情
[00:02:36.720 --> 00:02:41.400]  當我們說我們要去學習去辨識神的帶領的時候
[00:02:41.400 --> 00:02:47.680]  其實我們必須要先建立一些屬靈生命的基本功
