
[00:00:00.000 --> 00:00:02.220]  那麼如果你有聖經的話 請你打開到
[00:00:02.220 --> 00:00:03.660]  已服所書第4章
[00:00:03.660 --> 00:00:07.420]  已服所書第4章 20節到24節
[00:00:07.420 --> 00:00:10.020]  那麼我們一路來都是在講我們
[00:00:10.020 --> 00:00:13.300]  信了主之後 我們的生活 那個基督徒的
[00:00:13.300 --> 00:00:17.420]  生活應該是怎麼樣 那麼已服所書呢 是一個
[00:00:17.420 --> 00:00:21.120]  讓我們走這條路 已服所書第4章 從
[00:00:21.120 --> 00:00:23.060]  第17節一直到第5章
[00:00:23.060 --> 00:00:24.060]  那麼
[00:00:24.060 --> 00:00:28.580]  第23節 21節 都是在這裡告訴
[00:00:28.580 --> 00:00:31.860]  我們 信了主之後 我們應該過一種什麼樣的
[00:00:31.860 --> 00:00:35.180]  生活 那麼這種生活怎麼過
[00:00:35.180 --> 00:00:39.220]  已服所書第4章 20節到24節
[00:00:39.220 --> 00:00:40.860]  我們一起來念 好不好
[00:00:40.860 --> 00:00:45.380]  你們學了基督 卻不是這樣 如果
[00:00:45.380 --> 00:00:48.940]  你們聽過祂的道 領了祂的教 學了
[00:00:48.940 --> 00:00:52.500]  祂的真理 就要脫去你們從前行為
[00:00:52.500 --> 00:00:56.300]  上的舊人 這舊人是因私慾的迷惑
[00:00:56.340 --> 00:01:00.380]  漸漸變壞 又要將你們的心智改換
[00:01:00.380 --> 00:01:03.980]  一新 並且穿上新人 這新人
[00:01:03.980 --> 00:01:07.220]  是照著神的形象 照有真理的
[00:01:07.220 --> 00:01:09.860]  仁義和聖潔 我們一起禱告
[00:01:09.860 --> 00:01:12.060]  我們在天上的父神
[00:01:12.060 --> 00:01:13.260]  我們
[00:01:13.260 --> 00:01:17.220]  要讚美祢 因為祢是那位至高的真神
[00:01:17.220 --> 00:01:20.420]  祢是那位獨一的真神 祢是那位創造宇宙萬物
[00:01:20.420 --> 00:01:24.260]  的真神 祢也是那位公義的神 祢也是聖潔的神
[00:01:24.300 --> 00:01:28.060]  祢是慈愛的神 主我們也感謝祢 祢為我們
[00:01:28.060 --> 00:01:31.980]  所成就的事情 祢看我們在罪惡當中 祢自己
[00:01:31.980 --> 00:01:33.700]  將祢獨身愛子 捨棄
[00:01:33.700 --> 00:01:38.100]  拆遣到這個地上來 為我們的罪釘死在十字架上
[00:01:38.100 --> 00:01:41.620]  讓我們信的人可以回到祢的面前 能夠與祢
[00:01:41.620 --> 00:01:44.980]  和好 讓我們裡面能夠有新的生命 讓我們
[00:01:44.980 --> 00:01:48.340]  能夠重新過一個新的生活 讓我們知道
[00:01:48.340 --> 00:01:51.780]  舊事已過 都變成新的 只有在基督裡面
[00:01:51.820 --> 00:01:55.020]  主 這是祢自己的恩典 我們謝謝祢 我們為著
[00:01:55.020 --> 00:01:58.500]  今天 我們先上感謝 在我們當中 有的從來沒有
[00:01:58.500 --> 00:02:02.140]  聽過祢自己福音的 主 祢自己的聖靈
[00:02:02.140 --> 00:02:04.300]  接著祢的話 在人的心裡面
[00:02:04.300 --> 00:02:08.820]  動功 主 祢把這個種子放在他們裡面 主
[00:02:08.820 --> 00:02:12.020]  我們謝謝祢 我們把下面時間都仰望在祢的手中
[00:02:12.020 --> 00:02:16.180]  我們感謝禱告 順從主耶穌基督的聖名 阿們
[00:02:18.340 --> 00:02:22.220]  這段經文從與福所書 或者是我們以前講過的
[00:02:22.220 --> 00:02:24.900]  從17節開始 一直到24節
[00:02:24.900 --> 00:02:28.620]  那麼這段經文可以說是我們基督教 基督徒
[00:02:28.620 --> 00:02:31.380]  教會所教導的信仰 一個很
[00:02:31.380 --> 00:02:34.900]  關鍵性的一段經文 特別是對一個信了
[00:02:34.900 --> 00:02:38.540]  主之後的人 我們的靈命成長 或者是我們
[00:02:38.540 --> 00:02:42.500]  成熟的 靈命成熟的過程 是非常
[00:02:42.500 --> 00:02:43.780]  非常非常
[00:02:43.780 --> 00:02:47.580]  關鍵性 所以當我們瞭解他錯誤的時候
[00:02:47.700 --> 00:02:50.660]  我們後面會碰到許許多多的難處
[00:02:50.660 --> 00:02:53.940]  那麼在我們還沒有講之前 我們先複習一下
[00:02:53.940 --> 00:02:55.940]  我在4月份裡面所提到的
[00:02:55.940 --> 00:02:59.740]  那麼與福所書第4章前面的 那麼
[00:02:59.740 --> 00:03:03.180]  我們在還沒有信主之前 我們的光景是
[00:03:03.180 --> 00:03:06.300]  怎麼樣呢 在第18節 17節
[00:03:06.300 --> 00:03:09.940]  他說所以我說 且在諸禮確實的說 你們行事
[00:03:09.940 --> 00:03:13.140]  不要再像外邦人存希望的心行事
[00:03:13.140 --> 00:03:16.100]  那麼他的意思就是說 不要再像過去我們還
