
[00:00:00.000 --> 00:00:03.740]  主義節聖經在根利多前書第四章第十五節
[00:00:03.740 --> 00:00:06.340]  只有一節的聖經我們一同來念來
[00:00:06.340 --> 00:00:09.240]  你們學基督的師父雖有一萬
[00:00:09.240 --> 00:00:11.040]  為父的卻是不多
[00:00:11.040 --> 00:00:14.780]  因為我在基督耶穌裡用福音生了你們
[00:00:14.780 --> 00:00:16.400]  我們就讀到這裡
[00:00:16.400 --> 00:00:17.540]  今天是父親節
[00:00:17.540 --> 00:00:20.480]  首先讓我在這裡恭賀每一位父親
[00:00:20.480 --> 00:00:22.680]  父親節非常非常快樂
[00:00:22.680 --> 00:00:23.480]  Amen
[00:00:23.480 --> 00:00:27.100]  有時候在過節的時候
[00:00:27.100 --> 00:00:29.600]  我們都比較注重在母親節
[00:00:29.600 --> 00:00:33.600]  因為母親在我們一生當中是最能夠安慰我們
[00:00:33.600 --> 00:00:36.100]  而且觸動我們生命的
[00:00:36.100 --> 00:00:41.040]  但事實上父親在兒女身上的影響力也是很重要的
[00:00:41.040 --> 00:00:41.880]  Amen
[00:00:41.880 --> 00:00:43.100]  所以每年在父親節
[00:00:43.100 --> 00:00:48.640]  我們總是會為父親們安排一個全家大小一起照相的機會
[00:00:48.640 --> 00:00:53.600]  就是希望能夠尊榮在我們中間每一位偉大的父親
[00:00:53.600 --> 00:00:59.740]  我常發現這個世代真的是一個需要父親的世代
[00:00:59.740 --> 00:01:01.340]  多少的社會問題
[00:01:01.340 --> 00:01:02.940]  多少的家庭問題
[00:01:02.940 --> 00:01:05.280]  甚至生活上的問題
[00:01:05.280 --> 00:01:11.980]  都是因為缺乏一個正確的父親形象所帶來的結果
[00:01:11.980 --> 00:01:16.100]  這位保留在哥倫多前書第四章十五節這裡說
[00:01:16.100 --> 00:01:19.980]  你們學基督的師父雖有一萬
[00:01:19.980 --> 00:01:22.780]  為父的卻是不多
[00:01:22.780 --> 00:01:23.900]  的確
[00:01:23.900 --> 00:01:26.040]  今天我們並不缺乏知識
[00:01:26.040 --> 00:01:28.900]  事實上我們有太多的知識
[00:01:28.900 --> 00:01:32.040]  有太多所謂的對與錯
[00:01:32.040 --> 00:01:36.740]  也有太多人急於把他們的想法加諸在我們身上
[00:01:36.740 --> 00:01:40.940]  而且強迫別人要去照著他所說的去做
[00:01:40.940 --> 00:01:44.700]  反而搞得我們不知何去何從
[00:01:44.700 --> 00:01:48.440]  今天太多人想做師父
[00:01:48.440 --> 00:01:51.640]  但今天我們真正需要的
[00:01:51.640 --> 00:01:54.700]  卻是一個為父的心
[00:01:54.700 --> 00:01:56.380]  今天作為一位父親
[00:01:56.380 --> 00:01:59.600]  我們不見得需要能夠做每一件事情
[00:01:59.600 --> 00:02:03.480]  但我們真的需要學習一個為父的心腸
[00:02:03.480 --> 00:02:09.500]  好讓我們的兒女能夠在正確的屬靈的影響力裡面成長
[00:02:09.500 --> 00:02:13.100]  能夠走上一條和神心意的道路
[00:02:13.100 --> 00:02:15.380]  你們也許你說
[00:02:15.380 --> 00:02:18.680]  我們這麼不完全我們能做什麼呢
[00:02:18.680 --> 00:02:19.980]  感謝主
[00:02:19.980 --> 00:02:22.500]  今天我們人雖然不完全
[00:02:22.500 --> 00:02:25.000]  但我們卻為完全的神
[00:02:25.000 --> 00:02:26.140]  你們
[00:02:26.140 --> 00:02:28.940]  他是我們慈愛的天父
[00:02:28.940 --> 00:02:33.640]  他也是我們應當效法的父親形象
[00:02:33.640 --> 00:02:36.000]  所以今天早上我們要從三方面來思想
[00:02:36.000 --> 00:02:38.940]  怎麼樣效法父神的榜樣
[00:02:38.940 --> 00:02:43.980]  能夠學習做一個和神心意的好父親
[00:02:43.980 --> 00:02:45.240]  首先第一個
[00:02:45.240 --> 00:02:48.700]  我們要效法神的信實
[00:02:48.700 --> 00:02:52.840]  跟你們說效法神的信實
[00:02:52.840 --> 00:02:53.880]  什麼是信實
[00:02:53.880 --> 00:02:55.900]  我們常常講神是信實
[00:02:55.900 --> 00:02:58.140]  什麼是信實
[00:02:58.140 --> 00:02:58.940]  簡單的說
[00:02:58.940 --> 00:03:04.300]  信實就是神絕對不至於說謊
[00:03:04.300 --> 00:03:08.040]  神所說的必定成就
[00:03:08.040 --> 00:03:09.180]  Amen
[00:03:09.180 --> 00:03:12.700]  哥倫頓後書第一章第二十節非常重要的經文
[00:03:12.700 --> 00:03:13.780]  一同來念來
[00:03:13.780 --> 00:03:16.040]  神的應許不論有多少
