
[00:00:00.000 --> 00:00:02.240]  各位聽眾節目好,我是黃牧師
[00:00:02.240 --> 00:00:05.880]  今天是復活節的主日
[00:00:05.880 --> 00:00:09.360]  我們會再一次透過神的說話
[00:00:09.360 --> 00:00:14.560]  一起思想耶穌基督為我們所建造的拯救
[00:00:14.560 --> 00:00:16.160]  成就這個救恩之後
[00:00:16.160 --> 00:00:18.480]  我們應該怎樣去回應
[00:00:18.480 --> 00:00:22.160]  今天我們會看的經文是詩篇第20篇
[00:00:22.160 --> 00:00:25.840]  今天講到的題目叫做「德勝君王」
[00:00:25.840 --> 00:00:29.040]  讓我們先聽到神的道義,我們先同心圖告
[00:00:30.560 --> 00:00:34.600]  賜給天父,多謝祢讓我們能夠在復活節的主日裡
[00:00:34.600 --> 00:00:37.480]  我們能夠繼續去仰望祢
[00:00:37.480 --> 00:00:39.000]  讓我們有生命有氣息
[00:00:39.000 --> 00:00:42.840]  能夠將主祢的道理更仔細地去明白
[00:00:42.840 --> 00:00:45.880]  並且讓我們的生命能夠更加貼近祢
[00:00:45.880 --> 00:00:47.640]  父神,我求祢的幫助
[00:00:47.640 --> 00:00:50.400]  讓我們今年所過的這個復活節
[00:00:50.400 --> 00:00:51.720]  不是一個徒然
[00:00:51.720 --> 00:00:55.720]  而是真是著實地將這個復活的盼望
[00:00:55.720 --> 00:00:57.720]  藉著祢的愛子耶穌的成就
[00:00:57.720 --> 00:00:59.920]  落實在我們的生命當中
[00:00:59.920 --> 00:01:02.240]  也從而讓我們看見祢的拯救
[00:01:02.240 --> 00:01:05.200]  不單只是人,而是整個的創造
[00:01:05.200 --> 00:01:06.440]  求祢與我們同在
[00:01:06.440 --> 00:01:10.600]  讓聖靈與我們一起去聆聽主的說話
[00:01:10.600 --> 00:01:13.560]  去更加明白上帝祢的心思意念
[00:01:13.560 --> 00:01:14.240]  多謝祢
[00:01:14.240 --> 00:01:15.520]  我們現在同心圖告
[00:01:15.520 --> 00:01:18.800]  感恩奉靠主耶穌基督德勝的名字以求
[00:01:18.800 --> 00:01:20.400]  阿門
[00:01:20.400 --> 00:01:23.600]  好,今天我會和大家一起看的經文是
[00:01:23.600 --> 00:01:25.440]  詩篇第20篇
[00:01:25.440 --> 00:01:27.640]  如果大家是有聖經的話
[00:01:27.640 --> 00:01:31.520]  也可以打開詩篇和我一起去看
[00:01:31.520 --> 00:01:34.680]  我會先為大家讀一下這段經文
[00:01:34.680 --> 00:01:39.880]  讓大家能夠更加明白這段經文裡面所講的內容是甚麼
[00:01:39.880 --> 00:01:41.800]  我會先讀出和合本
[00:01:41.800 --> 00:01:44.080]  然後我會讀出NET的版本
[00:01:44.080 --> 00:01:47.000]  New English Translation
[00:01:47.000 --> 00:01:48.240]  好
[00:01:48.240 --> 00:01:50.720]  清立心神的說話
[00:01:50.720 --> 00:01:53.040]  大衛的師教與靈長
[00:01:53.040 --> 00:01:56.600]  願耶和華在祢遭難的日子應允祢
[00:01:56.600 --> 00:02:01.960]  願名為雅各臣的高舉祢
[00:02:01.960 --> 00:02:04.560]  願祂從聖所救助祢
[00:02:04.560 --> 00:02:06.400]  從錫安堅固祢
[00:02:06.400 --> 00:02:09.480]  紀念祢的一切貢獻
[00:02:09.480 --> 00:02:11.520]  閲納祢的繁祭
[00:02:11.520 --> 00:02:12.960]  細拉
[00:02:12.960 --> 00:02:15.640]  將祢心所願的賜給祢
[00:02:15.640 --> 00:02:18.440]  成就祢的一切謀算
[00:02:18.440 --> 00:02:21.280]  我們要因祢的救恩誇聖
[00:02:21.280 --> 00:02:24.000]  要奉我們的神的名
[00:02:24.000 --> 00:02:25.840]  樹立旌旗
[00:02:25.840 --> 00:02:29.000]  願耶和華成就祢一切所求的
[00:02:29.000 --> 00:02:32.920]  現在我知道耶和華救護祂的受高者
[00:02:32.920 --> 00:02:36.200]  必從祂的聖天上應允祂
[00:02:36.200 --> 00:02:38.920]  用右手的能力救護祂
[00:02:38.920 --> 00:02:40.280]  有人靠車
[00:02:40.280 --> 00:02:41.600]  有人靠馬
[00:02:41.600 --> 00:02:43.920]  但我們要看到耶和華
[00:02:43.920 --> 00:02:46.080]  我們神的名
[00:02:46.080 --> 00:02:48.600]  他們都屈身撲倒
[00:02:48.600 --> 00:02:52.080]  我們卻起來立得正直
[00:02:52.080 --> 00:02:54.400]  求耶和華施行拯救
[00:02:54.400 --> 00:02:56.120]  我們呼求的時候
[00:02:56.120 --> 00:02:58.120]  願王應允我們
[00:03:24.400 --> 00:03:26.640]  領受祢的燃燒犧牲
[00:03:26.640 --> 00:03:28.360]  細拉
[00:03:28.360 --> 00:03:31.280]  願祢允許祢的心所願
[00:03:31.280 --> 00:03:34.960]  願祢帶領一切祢的計劃
[00:03:34.960 --> 00:03:37.080]  然後祢會大喊歡喜
[00:03:37.080 --> 00:03:39.120]  獲得祢的勝利
[00:03:39.120 --> 00:03:41.680]  我們會在神的名下祈禱
[00:03:41.680 --> 00:03:44.920]  願神允許一切祢的要求
[00:03:44.920 --> 00:03:46.560]  現在我肯定
[00:03:46.560 --> 00:03:49.720]  神將會領受祂的選擇之王
[00:03:49.720 --> 00:03:51.960]  祂將為祂應允
[00:03:51.960 --> 00:03:54.720]  離開祂的聖靈天堂
[00:03:54.720 --> 00:03:57.640]  並展示祂的偉大的能力
[00:03:57.640 --> 00:03:59.040]  以傳遞
[00:03:59.040 --> 00:04:01.480]  有些信仰於鴿子
[00:04:01.480 --> 00:04:03.560]  有些信仰於馬
[00:04:03.560 --> 00:04:08.000]  但我們依靠主耶和華
[00:04:08.000 --> 00:04:09.840]  祂們會屈身撲倒
[00:04:09.840 --> 00:04:12.160]  但我們卻起來立得正直
[00:04:12.160 --> 00:04:14.320]  主耶和華將會傳遞聖體
[00:04:14.320 --> 00:04:15.640]  祂將回答我們
[00:04:15.640 --> 00:04:18.560]  當我們呼求祂的幫助
[00:04:20.840 --> 00:04:24.160]  從小到大我們都經常聽見一句這樣的說話
[00:04:24.160 --> 00:04:27.600]  或者可能因為我在香港英聯邦裏
[00:04:27.600 --> 00:04:29.080]  經常都會聽一句說話
[00:04:29.080 --> 00:04:31.400]  就叫「God save the Queen」
[00:04:31.400 --> 00:04:34.480]  or「God save the King」
[00:04:34.480 --> 00:04:39.080]  原來這句說話在英國的國歌裏
[00:04:39.080 --> 00:04:42.280]  原來是源自於今天我們所看的這首詩
[00:04:42.280 --> 00:04:43.880]  詩篇是二十篇
[00:04:43.880 --> 00:04:47.200]  特別是第九節最後的一節
[00:04:47.200 --> 00:04:48.240]  最後的一節說
[00:04:48.240 --> 00:04:50.920]  「求耶華施行拯救我們
[00:04:50.920 --> 00:04:54.520]  呼求的時候願王應運我們」
[00:04:54.520 --> 00:04:56.360]  原來英國人這句說話
[00:04:56.360 --> 00:04:58.200]  或者甚至這首國歌
[00:04:58.200 --> 00:05:02.160]  可以說得原來是源自於聖經的基礎
[00:05:02.160 --> 00:05:05.560]  上帝拯救祂的君王
[00:05:05.560 --> 00:05:07.840]  或者祂的皇后
[00:05:07.840 --> 00:05:09.640]  在上個星期的時候
[00:05:09.640 --> 00:05:11.000]  我們已經看過
[00:05:11.000 --> 00:05:13.920]  我們所看到的這位君王
[00:05:13.920 --> 00:05:16.640]  寫詩篇的第二十四篇的時候
[00:05:16.640 --> 00:05:19.240]  他好像是帶著那份心志
[00:05:19.240 --> 00:05:20.440]  去到上帝的面前
[00:05:20.440 --> 00:05:22.920]  祈求與上帝同埋一夥
[00:05:22.920 --> 00:05:25.640]  能夠在這個戰地裏面
[00:05:25.640 --> 00:05:27.880]  與上帝一起同攻
[00:05:27.880 --> 00:05:29.680]  然後他在勝利裏面
[00:05:29.680 --> 00:05:31.440]  仍然去給他看見
[00:05:31.440 --> 00:05:34.320]  原來他的勝利是源於上帝
[00:05:34.320 --> 00:05:36.520]  在上個星期我們看見這位
[00:05:36.520 --> 00:05:39.960]  說要去血戰沙場的君王
[00:05:39.960 --> 00:05:42.200]  他其實心是很忐忑的
[00:05:42.200 --> 00:05:45.080]  因為他知道這場戰爭不是容易打
[00:05:45.080 --> 00:05:47.240]  在人世間裏面我們處於一個
[00:05:47.240 --> 00:05:49.560]  很混亂、很複雜的環境
[00:05:49.560 --> 00:05:53.800]  很多的我們估不到的一些事情
[00:05:53.800 --> 00:05:57.280]  可能隨時成為我們的一些威脅
[00:05:57.280 --> 00:06:00.400]  但是當如果我們心是安託在
[00:06:00.400 --> 00:06:03.840]  萬鈞之耶華的主權裏面的時候
[00:06:03.840 --> 00:06:07.560]  那種成就或者那種穩妥
[00:06:07.560 --> 00:06:09.680]  就源自於上帝
[00:06:09.680 --> 00:06:12.080]  上一堂我們曾經說過
[00:06:12.080 --> 00:06:15.080]  縱使眾群眾歡呼喝彩
[00:06:15.080 --> 00:06:19.440]  狹道歡迎這位君王進入到耶路撒冷城
[00:06:19.440 --> 00:06:23.440]  但是這位君王卻是心知明白到
[00:06:23.440 --> 00:06:25.760]  如果沒有了萬鈞之耶華同在
[00:06:25.760 --> 00:06:31.320]  其實這場戰爭他贏得都不是一份光彩的事
[00:06:31.320 --> 00:06:34.200]  而現在因為他與上帝
[00:06:34.200 --> 00:06:36.040]  與這位君王同在
[00:06:36.040 --> 00:06:38.240]  去戰勝這場戰爭的話
[00:06:38.240 --> 00:06:41.040]  這個勝利雖然縱使是和他一方
[00:06:41.040 --> 00:06:44.560]  但是這個勝利是屬於耶和華的
[00:06:44.560 --> 00:06:46.520]  君王在臨戰之前
[00:06:46.520 --> 00:06:50.360]  其實知道每一場戰爭都不是容易打
[00:06:50.360 --> 00:06:52.440]  群眾未必去明白
[00:06:52.440 --> 00:06:54.120]  所以在這件事上
[00:06:54.120 --> 00:06:58.440]  他知道這場戰爭是必須要有上帝的參與
[00:06:58.440 --> 00:07:00.200]  而上個星期我們都看到
[00:07:00.200 --> 00:07:01.320]  其實我們的主耶穌
