
[00:00:00.000 --> 00:00:01.400]  大英之會平安
[00:00:01.400 --> 00:00:02.660]  平安
[00:00:02.660 --> 00:00:03.960]  感恩
[00:00:03.960 --> 00:00:05.420]  我們很久都沒見
[00:00:05.420 --> 00:00:07.800]  但我也見到很多老朋友
[00:00:07.800 --> 00:00:10.640]  我們一起在這裡敬拜
[00:00:10.640 --> 00:00:13.160]  上帝與我們同在
[00:00:13.160 --> 00:00:14.960]  也是讓我們的生命
[00:00:14.960 --> 00:00:18.240]  每一天是靠著祂得著平靜安穩
[00:00:18.240 --> 00:00:19.200]  信息之先
[00:00:19.200 --> 00:00:21.440]  我們再一次我們同心我們禱告
[00:00:21.440 --> 00:00:22.480]  我們祈禱
[00:00:22.480 --> 00:00:23.940]  愛我們的天父
[00:00:23.940 --> 00:00:25.520]  我們感謝讚美祢
[00:00:25.520 --> 00:00:27.520]  祢在萬當中揀選我們
[00:00:27.520 --> 00:00:31.500]  又讓我們在這個世界為主來作見證
[00:00:31.500 --> 00:00:33.000]  打爛美好過獎
[00:00:33.000 --> 00:00:36.360]  雖然我們面對現在這個世代
[00:00:36.360 --> 00:00:39.880]  很多不同種種大大小小的挑戰
[00:00:39.880 --> 00:00:43.400]  也在加拿大我們也面對很多經濟問題
[00:00:43.400 --> 00:00:44.520]  生活的問題
[00:00:44.520 --> 00:00:45.840]  治安的問題
[00:00:45.840 --> 00:00:47.840]  但我們深信我們的主
[00:00:47.840 --> 00:00:49.360]  在我們的生命裡面
[00:00:49.360 --> 00:00:50.840]  已經為我們預備一切
[00:00:50.840 --> 00:00:53.720]  也是讓我們今天聚集在一起
[00:00:53.720 --> 00:00:56.920]  不是我們自己可以做得到
[00:00:56.920 --> 00:00:59.120]  那是因為神祢的揀選
[00:00:59.120 --> 00:01:00.480]  祢的安排
[00:01:00.480 --> 00:01:04.640]  又讓我們能夠一起在這裡安靜的坐下來
[00:01:04.640 --> 00:01:07.320]  去思想神祢在我們當中
[00:01:07.320 --> 00:01:09.400]  我們的生命在祢的手裡面
[00:01:09.400 --> 00:01:10.840]  我們一無懼怕
[00:01:10.840 --> 00:01:12.840]  因為有主與我們同在
[00:01:12.840 --> 00:01:15.360]  我們可以繼續的勇往直前
[00:01:15.360 --> 00:01:17.000]  靠著聖靈的大能
[00:01:17.000 --> 00:01:21.360]  每一天我們繼續為主來作見證
[00:01:21.360 --> 00:01:23.600]  求主引領我們以下的時間
[00:01:23.600 --> 00:01:25.680]  我們同心的祈禱仰望
[00:01:25.680 --> 00:01:30.160]  奉靠主耶穌基督得聖的名求
[00:01:30.160 --> 00:01:32.360]  阿們
[00:01:32.360 --> 00:01:34.880]  今天跟大家分享的題目
[00:01:34.880 --> 00:01:37.120]  就是「及早醒悟」
[00:01:37.120 --> 00:01:42.400]  透過剛才西班牙書一章14到2到3節
