
[00:00:00.000 --> 00:00:02.560]  羅馬書的第十六講
[00:00:02.560 --> 00:00:06.680]  羅馬書七章一至六節
[00:00:06.680 --> 00:00:09.040]  今天我們只講六節經文
[00:00:09.040 --> 00:00:11.560]  因為羅馬書實在是很深
[00:00:11.560 --> 00:00:14.240]  如果我們貪多來讀的話
[00:00:14.240 --> 00:00:16.720]  可能我們是不能消化
[00:00:16.720 --> 00:00:19.780]  所以我們只看六節的經文
[00:00:19.780 --> 00:00:22.820]  但是因為今天是講律法
[00:00:22.820 --> 00:00:25.260]  我們也有時間可以看看
[00:00:25.260 --> 00:00:29.720]  究竟整部聖經對於神律法是怎樣看
[00:00:29.720 --> 00:00:32.760]  觀點是怎樣
[00:00:32.760 --> 00:00:35.080]  上一次我已經跟大家講了
[00:00:35.080 --> 00:00:37.380]  我們不在律法之下
[00:00:37.380 --> 00:00:40.160]  今天又要講的主題就是
[00:00:40.160 --> 00:00:44.460]  信徒是怎樣向律法死了
[00:00:44.460 --> 00:00:46.040]  剛才我們讀經文
[00:00:46.040 --> 00:00:48.400]  我們也讀到有很多經文
[00:00:48.400 --> 00:00:52.400]  保羅說我們是在律法上死了
[00:00:52.400 --> 00:00:55.520]  我們是脫離了律法
[00:00:55.520 --> 00:00:57.440]  就有很多人誤解了
[00:00:57.440 --> 00:00:59.000]  他們曲解聖經
[00:00:59.000 --> 00:01:01.880]  他們說既然保羅這樣說
[00:01:01.880 --> 00:01:04.740]  我們不需要再理會律法
[00:01:04.740 --> 00:01:07.840]  我們可以將律法扔到窗外
[00:01:07.840 --> 00:01:10.120]  我們可以廢除律法
[00:01:10.120 --> 00:01:12.480]  我上一次也跟大家講過
[00:01:12.480 --> 00:01:15.320]  彼得也有警告我們
[00:01:15.320 --> 00:01:19.380]  有很多人是因為強解保羅的教導
[00:01:19.380 --> 00:01:20.960]  以致沉淪
[00:01:20.960 --> 00:01:23.200]  當我們說不再需要守律法
[00:01:23.200 --> 00:01:25.120]  將律法扔到窗外
[00:01:25.120 --> 00:01:28.840]  我們就是強解保羅的教導
[00:01:28.840 --> 00:01:31.420]  先看一些背景
[00:01:31.420 --> 00:01:34.480]  毫無疑問羅馬書第七章
[00:01:34.480 --> 00:01:39.480]  有講神的律法是主題
[00:01:39.480 --> 00:01:44.420]  羅馬書七章講到一個信徒和律法的關係
[00:01:44.420 --> 00:01:46.040]  保羅的確講
[00:01:46.040 --> 00:01:49.080]  我們不再在律法之下
[00:01:49.080 --> 00:01:51.880]  我們是向律法死了
[00:01:51.880 --> 00:01:56.320]  但是我們也需要從整部聖經來看
[00:01:56.320 --> 00:02:00.000]  究竟律法的地位是怎樣
[00:02:00.000 --> 00:02:03.680]  究竟聖經對律法的觀點是怎樣
[00:02:03.680 --> 00:02:06.600]  整部聖經都告訴我們
[00:02:06.600 --> 00:02:11.680]  神的律法 神的話語是榮耀的 是聖潔的
[00:02:11.680 --> 00:02:14.080]  雖然我們不在律法之下
[00:02:14.080 --> 00:02:16.200]  但是我們要清楚知道
[00:02:16.200 --> 00:02:20.920]  神告訴我們祂的話語是榮耀 是聖潔
[00:02:20.920 --> 00:02:24.760]  我們不妨用一些時間來看看
[00:02:24.760 --> 00:02:28.920]  整部聖經對律法的觀點
[00:02:28.920 --> 00:02:32.480]  一開始在第一部書 聖經裡面
[00:02:32.480 --> 00:02:34.880]  創世紀的第一章
[00:02:34.880 --> 00:02:36.560]  已經告訴我們
[00:02:36.560 --> 00:02:39.760]  神是用什麼來創造宇宙
[00:02:39.760 --> 00:02:43.640]  是用祂的話語來創造宇宙
[00:02:43.640 --> 00:02:44.960]  第二章
[00:02:44.960 --> 00:02:50.040]  祂把祂的話語 把祂的律法給亞當夏娃
[00:02:50.040 --> 00:02:52.360]  只有一條律法
[00:02:52.360 --> 00:02:56.600]  就是祂們不可以吃分別善惡事上的果子
[00:02:56.600 --> 00:02:58.960]  但是這是神的話語
[00:02:58.960 --> 00:03:03.080]  到了摩西五經最後的一部書
[00:03:03.080 --> 00:03:05.480]  六章一節生命記
[00:03:05.480 --> 00:03:10.480]  或是耶和華你們神所吩咐教訓你們的誡命
[00:03:10.480 --> 00:03:12.080]  律例 典章
[00:03:12.080 --> 00:03:16.080]  使你們在所有過去得為孽的地上
[00:03:16.080 --> 00:03:19.680]  遵行好叫你和你的子子孫孫
[00:03:19.680 --> 00:03:22.480]  一身敬畏耶和華你的神
[00:03:22.480 --> 00:03:25.480]  謹守祂一切的律例 誡命
[00:03:25.480 --> 00:03:29.880]  就是我吩咐你的
