
[00:00:00.000 --> 00:00:01.160]  各位弟子姊妹
[00:00:01.160 --> 00:00:05.520]  很感恩能夠再次和大家去宣講神的話語
[00:00:05.520 --> 00:00:09.440]  和一起去聆聽聖靈給我們的教導
[00:00:09.440 --> 00:00:15.920]  有很多日子不能夠和大家在崇拜裡面相聚
[00:00:15.920 --> 00:00:20.600]  今天上帝讓我能夠再次在網上崇拜裡面
[00:00:20.600 --> 00:00:22.560]  去宣講神的道
[00:00:22.560 --> 00:00:26.120]  求主親自帶領幫助我們
[00:00:26.120 --> 00:00:31.840]  我記得有兩個月時間我去了英國
[00:00:31.840 --> 00:00:33.520]  現在已經回到香港了
[00:00:33.520 --> 00:00:35.240]  在2月26日
[00:00:35.240 --> 00:00:38.600]  也在東涌一間酒店隔離14天
[00:00:38.600 --> 00:00:42.840]  3月12日很希望星期六可以回到家裡
[00:00:42.840 --> 00:00:46.320]  這個真的要有主的帶領和許可才可以
[00:00:46.320 --> 00:00:48.400]  另外在這兩個月的安息假期裡面
[00:00:48.400 --> 00:00:50.880]  其實真的充滿著很多的意外
[00:00:50.880 --> 00:00:52.720]  但也是充滿著很多恩典的
[00:00:52.720 --> 00:00:58.120]  很邀請大家看今期崇拜周刊的主播「心聲」
[00:00:58.120 --> 00:00:59.760]  意外的安息假期
[00:00:59.760 --> 00:01:03.400]  在這裡就不再分享了
[00:01:03.400 --> 00:01:05.400]  其實在英國和泰國期間
[00:01:05.400 --> 00:01:08.480]  也都會經常留意著香港的新聞
[00:01:08.480 --> 00:01:12.760]  也都知道現在我們香港市民和教會弟子姊妹
[00:01:12.760 --> 00:01:15.440]  都陷在第五波的疫情困難裡面
[00:01:15.440 --> 00:01:16.840]  教會又要關閉
[00:01:16.840 --> 00:01:18.760]  也有很多弟子姊妹確診
[00:01:18.760 --> 00:01:20.240]  相對來說很難過
[00:01:20.240 --> 00:01:25.080]  除了每天和師母一起為大家祈禱
[00:01:25.080 --> 00:01:28.240]  也有個別在網上透過電話聯絡
[00:01:28.240 --> 00:01:30.800]  去關心我們的弟兄姊妹
[00:01:30.800 --> 00:01:33.520]  和我們的同工、執事、理事
[00:01:33.520 --> 00:01:36.480]  去交流教會的情況
[00:01:36.480 --> 00:01:38.400]  在3月1日就復職了
[00:01:38.400 --> 00:01:42.680]  也都想讓我能夠為了教會
[00:01:42.680 --> 00:01:44.760]  迎接接下來的裕福期
[00:01:44.760 --> 00:01:48.680]  我們有一個方向都想和大家分享的
[00:01:48.680 --> 00:01:51.040]  在逆下的土浸三個方向
[00:01:51.040 --> 00:01:52.400]  在這個聖灰日
[00:01:52.400 --> 00:01:55.360]  就是由剛剛過去的星期三開始
[00:01:55.360 --> 00:01:57.760]  到4月17日復活節主日
[00:01:57.760 --> 00:02:00.120]  這個是一個裕福期的時間
[00:02:00.120 --> 00:02:02.280]  我們都知道現在教會關閉
[00:02:02.280 --> 00:02:06.440]  不能夠回來教會在實體的崇拜
[00:02:06.440 --> 00:02:09.760]  我們只能夠透過網上去聚集
[00:02:09.760 --> 00:02:11.120]  但我們都很感恩
[00:02:11.120 --> 00:02:14.920]  敬拜部很想做好這個網上崇拜的質素
[00:02:14.920 --> 00:02:16.800]  和加強一些互動性
[00:02:16.800 --> 00:02:18.800]  稍後大家就會看到
[00:02:18.800 --> 00:02:20.560]  在這段時間裏面
[00:02:20.560 --> 00:02:25.440]  我們崇拜都會有聯繫一個
[00:02:25.440 --> 00:02:29.880]  約翰福音七個「我是基督」的一個訊息
[00:02:29.880 --> 00:02:32.360]  稍後我都會再詳細交代
[00:02:32.360 --> 00:02:36.080]  另外我們都很需要去關顧我們的弟兄姊妹
[00:02:36.080 --> 00:02:37.480]  我們很感恩關顧部
[00:02:37.480 --> 00:02:40.640]  亦都有很多創意和貼地的方式
[00:02:40.640 --> 00:02:43.400]  去關心弟兄姊妹的身體
[00:02:43.400 --> 00:02:47.600]  譬如一些疫情的資訊或者一些物質上的需要
[00:02:47.600 --> 00:02:49.400]  基督關顧部都在安排
[00:02:49.400 --> 00:02:52.160]  怎樣去幫助一些上不了網
[00:02:52.160 --> 00:02:54.880]  或者參與不了網上崇拜的長者
[00:02:54.880 --> 00:02:57.400]  給他們有電話
[00:02:57.400 --> 00:03:00.160]  甚至可以用到那個安心出行
[00:03:00.160 --> 00:03:01.920]  業務通行證等等
[00:03:01.920 --> 00:03:05.680]  我們都在發動一些錄音、一些鼓勵
[00:03:05.680 --> 00:03:08.480]  讓弟兄姊妹能夠彼此互相的關心
[00:03:08.480 --> 00:03:10.240]  彼此互相的守望
[00:03:10.240 --> 00:03:13.000]  同工都在個別聯絡弟兄姊妹
[00:03:13.000 --> 00:03:16.000]  在電話裏為他們祈禱
[00:03:16.000 --> 00:03:18.240]  而另外我們在靈裏面的需要
[00:03:18.240 --> 00:03:19.920]  是靈命進修運動
[00:03:19.920 --> 00:03:21.920]  應該在早一兩個星期
