
[00:00:00.000 --> 00:00:02.600]  弟兄姊妹們,新年快樂!
[00:00:02.600 --> 00:00:05.080]  新年快樂!
[00:00:05.080 --> 00:00:07.980]  大家知道今天是正月初幾嗎?
[00:00:07.980 --> 00:00:10.380]  大家知道今天正月初幾嗎?
[00:00:10.380 --> 00:00:11.580]  初六了,對
[00:00:11.580 --> 00:00:13.520]  初六了,是的
[00:00:13.520 --> 00:00:17.180]  通常我們春節應該是我們最大的節日了
[00:00:17.180 --> 00:00:19.160]  然後我們有一個習慣就覺得
[00:00:19.160 --> 00:00:23.120]  過了春節才算一年真的開始,對不對?
[00:00:23.120 --> 00:00:25.400]  通常春節都是我們一年的開始
[00:00:25.400 --> 00:00:31.040]  過了春節才算一年的開始
[00:00:31.040 --> 00:00:34.200]  我們是很看重一些節日的禮節
[00:00:34.200 --> 00:00:36.400]  比如說我們過年要吃什麼
[00:00:36.400 --> 00:00:38.380]  等一下大家會嘗到不同地方
[00:00:38.380 --> 00:00:41.580]  弟兄姊妹他們帶來過年的傳統食物
[00:00:41.580 --> 00:00:44.340]  我們都很注重傳統
[00:00:44.340 --> 00:00:47.680]  今天弟兄姊妹帶來很多傳統的食物
[00:00:47.680 --> 00:00:51.860]  猶太人和我們華人有一點很相似的地方
[00:00:51.860 --> 00:00:54.620]  猶太人和我們華人有一些很相似的地方
[00:00:54.620 --> 00:00:57.600]  他們也是很看重一些節日的禮儀
[00:00:57.600 --> 00:01:00.260]  他們都很看重節日的禮儀
[00:01:00.260 --> 00:01:02.940]  猶太人他們成年的男子
[00:01:02.940 --> 00:01:06.440]  他一年要有三次帶著家人
[00:01:06.440 --> 00:01:09.580]  他們要從自己的家去到聖殿
[00:01:09.580 --> 00:01:15.520]  猶太人的男子有一年要三次帶著一家人一起去聖殿
[00:01:15.520 --> 00:01:17.520]  大家可以看到
[00:01:17.520 --> 00:01:20.060]  三次節日就是一次在愉悅節
[00:01:20.060 --> 00:01:21.820]  一次在祝蓬節
[00:01:21.820 --> 00:01:23.120]  一次在無殉節
[00:01:23.120 --> 00:01:24.900]  三次節日就是一次在愉悅節
[00:01:24.900 --> 00:01:26.500]  一次在無殉節
[00:01:26.500 --> 00:01:28.420]  一次在祝彭節
