
[00:00:00.000 --> 00:00:04.960]  讓我們在聽到之前再一次的禱告
[00:00:04.960 --> 00:00:07.160]  三十七年來
[00:00:07.160 --> 00:00:10.800]  以十字架的愛和恩典
[00:00:10.800 --> 00:00:13.880]  帶領了教會的事
[00:00:13.880 --> 00:00:16.040]  我們為一切藉你手
[00:00:16.040 --> 00:00:19.480]  拖大知恩而成就的
[00:00:19.480 --> 00:00:21.640]  我們感謝你
[00:00:21.640 --> 00:00:24.440]  然而我們仍需求主
[00:00:24.440 --> 00:00:29.160]  幫助在我們面對幻變的制裁當中
[00:00:29.160 --> 00:00:31.560]  定睛仰望你
[00:00:31.560 --> 00:00:35.760]  使我們藉著你的話得以堅定前行
[00:00:35.760 --> 00:00:41.600]  不要辜負神你對我們教會有恩兆的指望
[00:00:41.600 --> 00:00:46.240]  如今求神開啟我們心中的眼睛
[00:00:46.240 --> 00:00:48.120]  好聽你命
[00:00:48.120 --> 00:00:49.600]  行你道
[00:00:49.600 --> 00:00:51.360]  遵你份
[00:00:51.360 --> 00:00:53.320]  我們這樣的祈禱
[00:00:53.320 --> 00:00:57.320]  是奉群揚大牧者耶穌基督的名求
[00:00:57.320 --> 00:00:59.120]  阿們
[00:00:59.120 --> 00:01:02.120]  教會請再出發
[00:01:02.120 --> 00:01:07.880]  神學院第三年級的時候
[00:01:07.880 --> 00:01:10.560]  有機會和幾位同學一起
[00:01:10.560 --> 00:01:13.840]  踏上沙勞越短孫之旅
[00:01:13.840 --> 00:01:16.920]  由馬來西亞的古晉
[00:01:16.920 --> 00:01:21.880]  飛到婆羅洲的沙勞越這個地方
[00:01:21.880 --> 00:01:24.800]  進入到通過瓦拉瓦拉
[00:01:24.800 --> 00:01:27.720]  即是乘坐了兩個小時的獨木舟
[00:01:27.720 --> 00:01:29.560]  在當地的傳道人
[00:01:29.560 --> 00:01:33.480]  帶領我們去探望土族的教會
[00:01:33.480 --> 00:01:37.360]  是這班獵頭土族
[00:01:37.360 --> 00:01:41.360]  第三張照片就是其中一個族人
[00:01:41.360 --> 00:01:45.520]  他們在未開發之前或者未信主之前
[00:01:45.520 --> 00:01:48.560]  他們都一串串的頭骨
[00:01:48.560 --> 00:01:51.080]  放在他們的家中
[00:01:51.080 --> 00:01:53.640]  炫耀他們的善績
[00:01:53.640 --> 00:01:58.400]  所以我有機會探望長老的時候
[00:01:58.400 --> 00:02:01.360]  他還不是很明白
[00:02:01.360 --> 00:02:05.960]  他將他的頭骨一串串的給我看
[00:02:05.960 --> 00:02:08.200]  我就心裡寒一寒
[00:02:08.200 --> 00:02:10.960]  我說如果當日還未開發
[00:02:10.960 --> 00:02:11.920]  我來到這個地方
[00:02:11.920 --> 00:02:15.080]  我應該就是其中一個骷髏骨
[00:02:15.080 --> 00:02:17.080]  又記得一些的情景
[00:02:17.080 --> 00:02:19.600]  當同一位男同學
[00:02:19.600 --> 00:02:23.160]  穿著泳褲下去河裏面洗澡
[00:02:23.160 --> 00:02:26.560]  因為那裏沒有廁所沒有浴室
[00:02:26.560 --> 00:02:27.800]  沖到差不多的時候
[00:02:27.800 --> 00:02:30.840]  突然間看到那些土人不停的進入我們
[00:02:30.840 --> 00:02:32.880]  還說了一堆土話
[00:02:32.880 --> 00:02:36.000]  後來那個傳道人
[00:02:36.000 --> 00:02:40.360]  華人的傳道人就跑到河邊大叫我們
[00:02:40.360 --> 00:02:42.560]  你洗完澡就回來
[00:02:42.560 --> 00:02:46.520]  因為河裏面有些鱷魚
[00:02:46.520 --> 00:02:50.640]  我們兩個寒到馬上飽
[00:02:50.640 --> 00:02:52.720]  兩三個星期在那裏的生活
[00:02:52.720 --> 00:02:54.720]  真是很不容易
[00:02:54.720 --> 00:02:57.920]  但是當回到新加坡
[00:02:57.920 --> 00:02:59.800]  見到我們一位的恩師
[00:02:59.800 --> 00:03:02.440]  他現在在新加坡服侍
[00:03:02.440 --> 00:03:04.280]  胡文獻牧師
[00:03:04.280 --> 00:03:07.880]  他就是寫那個無名的傳道者的
[00:03:07.880 --> 00:03:09.880]  樂曲的作者
[00:03:09.880 --> 00:03:13.000]  他和我們坐下來檢視我們這兩個多星期
[00:03:13.000 --> 00:03:15.120]  所謂的短訊
[00:03:15.120 --> 00:03:16.720]  他就和我們說
[00:03:16.720 --> 00:03:18.720]  他說錦亨
[00:03:18.720 --> 00:03:21.400]  你們這一班同學將要畢業了
[00:03:21.400 --> 00:03:23.400]  沒錯 福音是神的大能
[00:03:23.400 --> 00:03:25.400]  所以你看到這班族人
[00:03:25.400 --> 00:03:27.640]  他們能夠信耶穌
[00:03:27.640 --> 00:03:29.200]  今天改變
[00:03:29.200 --> 00:03:32.280]  但是你知不知道在你們未來之前
[00:03:32.280 --> 00:03:35.240]  已經有很多的傳道或者宣教士
[00:03:35.240 --> 00:03:37.240]  拋頭顱灑熱血
[00:03:37.240 --> 00:03:39.960]  在那裏護上生命
[00:03:39.960 --> 00:03:43.880]  福音是神的大能
[00:03:43.880 --> 00:03:45.880]  但是要人得福音
[00:03:45.880 --> 00:03:47.600]  是一定不簡單
[00:03:47.600 --> 00:03:50.960]  一定很大艱難
[00:03:50.960 --> 00:03:52.960]  我們受他這番說話的感動
[00:03:52.960 --> 00:03:54.680]  回到機場的時候
[00:03:54.680 --> 00:03:58.320]  不禁祈禱當中有隊員流淚
[00:03:58.320 --> 00:04:01.040]  我們深究到自己的慚愧
[00:04:01.040 --> 00:04:04.720]  因為我們居然認為自己讀了三年的課
[00:04:04.720 --> 00:04:07.840]  就可以大派融洽
[00:04:07.840 --> 00:04:09.520]  不過我們終於知道
[00:04:09.520 --> 00:04:11.800]  我們要再重新出發
[00:04:11.800 --> 00:04:15.640]  為神跑更遠的路
[00:04:15.640 --> 00:04:17.720]  三十七年對於
[00:04:17.720 --> 00:04:22.160]  第一次浸信會一定是不簡單
[00:04:22.160 --> 00:04:24.160]  因為這三十七年裏面
[00:04:24.160 --> 00:04:27.960]  我仍然看到一些面孔告訴我
[00:04:27.960 --> 00:04:29.840]  他是三十七年左右
[00:04:29.840 --> 00:04:31.480]  或者三十年
[00:04:31.480 --> 00:04:33.240]  或者二十年前
[00:04:33.240 --> 00:04:34.760]  或者十幾年前
[00:04:34.760 --> 00:04:37.600]  他已經在這間教會聚集
[00:04:37.600 --> 00:04:41.000]  又看到我們今天在疫情之後
[00:04:41.000 --> 00:04:45.040]  仍然有很多弟兄姊妹慢慢地回到神家
[00:04:45.040 --> 00:04:50.560]  一起參與示奉、建立、感恩
[00:04:50.560 --> 00:04:54.120]  但我們很相信當我們再出發的時候
[00:04:54.120 --> 00:04:57.000]  我們需要神的話教訓我們
[00:04:57.000 --> 00:04:59.240]  更新我們
[00:04:59.240 --> 00:05:03.120]  以色列人在秘魯到歸回的過程當中
[00:05:03.120 --> 00:05:05.800]  他們是經歷過巴比倫一次
[00:05:05.800 --> 00:05:08.360]  兩次、三次秘魯
[00:05:08.360 --> 00:05:10.240]  所以他們亡國
[00:05:10.240 --> 00:05:13.560]  整個猶大國亡了
[00:05:13.560 --> 00:05:19.760]  但是神就藉著耶利米蘇的預言說
[00:05:19.760 --> 00:05:21.920]  神要激動古列的心
[00:05:21.920 --> 00:05:26.480]  使以色列人在波斯第一位的國王古列之下
[00:05:26.480 --> 00:05:29.440]  他們可以踏上回歸
[00:05:29.440 --> 00:05:32.960]  三次的回歸總有它的目的
[00:05:32.960 --> 00:05:36.440]  每一次回耶路撒冷都要做些事
[00:05:36.440 --> 00:05:40.880]  總體來說就是重建耶路撒冷
[00:05:40.880 --> 00:05:46.440]  所以今天我們看到在重建的過程當中
[00:05:46.440 --> 00:05:51.680]  他們有一次、兩次、三次
[00:05:51.680 --> 00:05:54.400]  每一次都有不同的目的
[00:05:54.400 --> 00:05:58.760]  所以我們今天看到第八章的時候
[00:05:58.760 --> 00:06:01.760]  就是屬於第七章至第十章
[00:06:01.760 --> 00:06:03.280]  第二次回歸裡面
[00:06:03.280 --> 00:06:09.600]  說到以色列帶領以色列人回到耶路撒冷
[00:06:09.600 --> 00:06:11.760]  但是做的只是一件事
[00:06:11.760 --> 00:06:16.120]  重整聖文的生活或者生命
[00:06:16.120 --> 00:06:18.800]  這張圖是告訴我們
[00:06:18.800 --> 00:06:22.600]  以色列分開兩個部分
[00:06:22.600 --> 00:06:25.520]  第一個部分就是重建聖殿
[00:06:25.520 --> 00:06:30.360]  所以是所羅巴伯一位王族的人帶領下
[00:06:30.360 --> 00:06:34.760]  然後以色列就在第七至第十章上場
[00:06:34.760 --> 00:06:35.840]  帶領我們看到
[00:06:35.840 --> 00:06:38.880]  他怎樣帶領以色列人回到耶路撒冷
[00:06:38.880 --> 00:06:45.400]  重建白聖包括祭司和子民的生命
