
[00:00:00.000 --> 00:00:01.640]  下體禱告
[00:00:01.640 --> 00:00:07.520]  阿爸父多謝你在我們新的一年
[00:00:07.520 --> 00:00:10.440]  能夠一同去聆聽你的話語
[00:00:10.440 --> 00:00:13.120]  給你帶來我們思想互聯的聖經
[00:00:13.120 --> 00:00:15.000]  讓孩子能夠清晰的傳講
[00:00:15.000 --> 00:00:17.440]  讓我們有能聽的耳
[00:00:17.440 --> 00:00:20.280]  主有你的羊會聽你的聲音
[00:00:20.280 --> 00:00:24.480]  求你今日賜我們一個靈敏的聽覺
[00:00:24.480 --> 00:00:27.640]  以致我們聽見你的聲音
[00:00:27.640 --> 00:00:29.960]  並且跟從你的腳蹤
[00:00:29.960 --> 00:00:32.120]  進入你的羊圈裏面
[00:00:32.120 --> 00:00:36.160]  我們禱告交給奉主耶穌的靈智其家
[00:00:36.160 --> 00:00:38.000]  今日我們的講題是
[00:00:38.000 --> 00:00:40.320]  《終極好木人》上
[00:00:40.320 --> 00:00:45.120]  我們的經文在第十章一至二十一節
[00:00:45.120 --> 00:00:47.600]  首先進入這段經文之前
[00:00:47.600 --> 00:00:50.640]  我想帶大家看一個大一點的圖畫
[00:00:50.640 --> 00:00:53.080]  我們一直在看《約翰福音》
[00:00:53.080 --> 00:00:55.080]  今日我們有兩篇
[00:00:55.080 --> 00:00:57.080]  這兩個星期會有兩篇的講章
[00:00:57.080 --> 00:00:59.680]  關於一至二十一節
[00:00:59.680 --> 00:01:04.960]  如果你聽完Edmond去讀那段經文的話
[00:01:04.960 --> 00:01:08.800]  你很快就會發現幾個Spotlight的要點
[00:01:08.800 --> 00:01:11.480]  羊 牧羊人
[00:01:11.480 --> 00:01:14.520]  然後羊圈 羊木
[00:01:14.520 --> 00:01:16.120]  你想不想到為甚麼
[00:01:16.120 --> 00:01:21.480]  耶穌會用這些字眼來做他的比喻呢
[00:01:21.480 --> 00:01:23.360]  當然你可以很快地想到
[00:01:23.360 --> 00:01:26.400]  沒錯 當時有一些牧羊
[00:01:26.400 --> 00:01:29.240]  然後耶穌其實借用了當時的文化背景
[00:01:29.240 --> 00:01:34.160]  但是其實耶穌去講這個比喻的背後
[00:01:34.160 --> 00:01:36.160]  有一個更大的圖畫
[00:01:36.160 --> 00:01:38.840]  我想帶大家思想更大的圖畫
[00:01:38.840 --> 00:01:41.200]  然後再進入今天的經文
[00:01:41.200 --> 00:01:46.120]  原來在《以西傑書》都有一個關於牧羊人的比喻
[00:01:46.120 --> 00:01:49.400]  在《以西傑書》在當時舊約一個
[00:01:49.400 --> 00:01:51.080]  以色列國屬靈的情況
[00:01:51.080 --> 00:01:53.320]  非常敗壞的情況下
[00:01:53.320 --> 00:01:55.600]  上帝曉遇以西傑先知
[00:01:55.600 --> 00:02:00.400]  他發出了一個關於牧羊人和羊的比喻
[00:02:00.400 --> 00:02:04.200]  在他的預言或者比喻裏面是這樣講的
[00:02:04.200 --> 00:02:06.720]  當時主耶穌說周作
[00:02:06.720 --> 00:02:08.440]  當時以色列的牧羊
[00:02:08.440 --> 00:02:09.440]  這些牧羊是甚麼人
[00:02:09.440 --> 00:02:10.680]  就是當時的宗教領袖
[00:02:10.680 --> 00:02:14.840]  當時的教會或者國家的領袖
[00:02:14.840 --> 00:02:16.920]  這些牧羊人應該要牧羊群羊
[00:02:16.920 --> 00:02:22.920]  不過當時的宗教領袖沒有做到他們應該做的責任
[00:02:22.920 --> 00:02:25.320]  以致到發生甚麼事呢
[00:02:25.320 --> 00:02:28.360]  在那個比喻裏面是這樣說
[00:02:28.360 --> 00:02:29.800]  我的羊
[00:02:29.800 --> 00:02:31.160]  即是上帝的子民
[00:02:31.160 --> 00:02:34.200]  上帝的子民流落在全地
[00:02:34.200 --> 00:02:35.760]  沒有人去尋 沒人去找
