
[00:00:00.000 --> 00:00:03.800]  有一位居住在澳洲的女士
[00:00:03.800 --> 00:00:06.840]  她由一九八九年開始
[00:00:06.840 --> 00:00:08.600]  在那十年間
[00:00:08.600 --> 00:00:12.120]  先後生了四個子女
[00:00:12.120 --> 00:00:15.280]  但是每一個子女
[00:00:15.280 --> 00:00:17.280]  都是突然死亡的
[00:00:17.280 --> 00:00:20.960]  最短命的那個
[00:00:20.960 --> 00:00:23.280]  只有十九天大
[00:00:23.280 --> 00:00:25.800]  最長的那個
[00:00:25.800 --> 00:00:28.960]  不過只有十八個月大
[00:00:29.200 --> 00:00:33.160]  他們全部都是不夠兩歲就死了
[00:00:33.160 --> 00:00:37.760]  這件事就引起執法部門的關注
[00:00:37.760 --> 00:00:39.440]  就展開調查
[00:00:39.440 --> 00:00:40.920]  調查就發現
[00:00:40.920 --> 00:00:43.240]  每一次這些小孩子死的時候
[00:00:43.240 --> 00:00:44.560]  都是這個媽媽
[00:00:44.560 --> 00:00:46.640]  是第一個發現的
[00:00:46.640 --> 00:00:51.160]  而且在這個媽媽的日記簿裡面
[00:00:51.160 --> 00:00:55.400]  就有很多負面的技術
[00:00:56.080 --> 00:01:00.040]  充斥著她的內疚和自責
[00:01:00.040 --> 00:01:06.280]  雖然是找不到任何確實的行兇的證據
[00:01:06.280 --> 00:01:09.240]  也不知道這些小孩子的死因
[00:01:09.240 --> 00:01:12.400]  但是檢察官就認為
[00:01:12.400 --> 00:01:17.320]  四個小孩子都是這樣突然無緣無故的死亡
[00:01:17.320 --> 00:01:19.120]  其實是不可能發生的事
[00:01:19.120 --> 00:01:22.720]  不可能是沒有原因無緣無故的
[00:01:24.480 --> 00:01:29.520]  最終這位女士就被控三項謀殺罪
[00:01:29.520 --> 00:01:32.080]  以及一項過失殺人罪
[00:01:32.080 --> 00:01:33.640]  罪名成立
[00:01:33.640 --> 00:01:36.520]  她被判囚25年
[00:01:36.520 --> 00:01:38.720]  照這樣看
[00:01:38.720 --> 00:01:41.800]  這個女人真是罪大惡極
[00:01:41.800 --> 00:01:45.080]  她曾經被視為
[00:01:45.080 --> 00:01:49.600]  澳洲最冷血的連環女殺手
[00:01:49.600 --> 00:01:53.400]  在她坐了20年牢之後
[00:01:53.480 --> 00:01:56.240]  最近竟然被翻案
[00:01:56.240 --> 00:01:59.560]  最新的調查就發現
[00:01:59.560 --> 00:02:02.200]  這四個小孩子的死
[00:02:02.200 --> 00:02:06.400]  其實是跟他們身體裡面的基因突變
[00:02:06.400 --> 00:02:10.120]  或者是先天的缺陷是有關的
[00:02:10.120 --> 00:02:13.400]  於是法庭就在這個月初
[00:02:13.400 --> 00:02:16.960]  宣佈這位女士無罪
[00:02:16.960 --> 00:02:18.920]  並且當庭釋放
[00:02:18.920 --> 00:02:23.360]  這個女士今年55歲
[00:02:23.680 --> 00:02:25.160]  我們可以想像
