
[00:00:00.000 --> 00:00:01.680]  各位弟兄姊妹,早晨
[00:00:01.680 --> 00:00:03.680]  各位弟兄姐妹,早
[00:00:03.680 --> 00:00:06.960]  在開始之前,有一點點感受
[00:00:06.960 --> 00:00:09.160]  在開始之前,有一點點感受
[00:00:09.160 --> 00:00:11.480]  今天有三件事值得感恩
[00:00:11.480 --> 00:00:13.760]  今天有三件事值得感恩
[00:00:13.760 --> 00:00:15.080]  今天你覺不覺得
[00:00:15.080 --> 00:00:17.840]  在台上的侍奉都是年輕人
[00:00:17.840 --> 00:00:21.640]  今天有發覺在台上侍奉的都是年輕人嗎
[00:00:21.640 --> 00:00:24.400]  有感到已經少了一陣"阿叔味"
[00:00:24.400 --> 00:00:28.160]  然後感到少了一種
[00:00:30.160 --> 00:00:32.720]  "阿叔"
[00:00:32.720 --> 00:00:34.720]  "老人味"
[00:00:34.720 --> 00:00:41.360]  所以我都感謝神可以興起弟兄姊妹
[00:00:41.360 --> 00:00:43.200]  年輕的弟兄姊妹可以來侍奉
[00:00:43.200 --> 00:00:48.640]  第二件事
[00:00:48.640 --> 00:00:51.440]  我隔壁的拍檔子欣
[00:00:51.440 --> 00:00:58.960]  可能將來變成了御用的翻譯
[00:01:01.000 --> 00:01:05.000]  因為上次也是我們兩個拍檔
[00:01:05.000 --> 00:01:11.320]  我們進入今天的講題
[00:01:11.320 --> 00:01:13.920]  我們現在進入今天的講題
[00:01:13.920 --> 00:01:15.720]  我今天的講題"吞拿於一"
[00:01:15.720 --> 00:01:18.280]  今天講的是"吞拿於一"
[00:01:18.280 --> 00:01:19.880]  "呼召於逃避"
[00:01:19.880 --> 00:01:21.160]  "呼召於逃避"
[00:01:21.160 --> 00:01:22.600]  "有一自然有二"
[00:01:22.600 --> 00:01:24.400]  "有一自然有二"
[00:01:24.400 --> 00:01:26.600]  "聖經都是神所默示"
[00:01:26.600 --> 00:01:28.600]  "聖經都是神所默示"
[00:01:28.600 --> 00:01:30.120]  "於教訓督責"
[00:01:30.120 --> 00:01:31.920]  "於教訓督責"
[00:01:31.920 --> 00:01:32.920]  "使人歸正"
[00:01:32.920 --> 00:01:34.000]  "使人歸正"
[00:01:34.000 --> 00:01:35.200]  "教導人學義"
[00:01:35.200 --> 00:01:36.440]  "教導人學義"
[00:01:36.440 --> 00:01:37.320]  "都是有益的"
[00:01:37.320 --> 00:01:38.440]  "都是有益的"
[00:01:38.440 --> 00:01:40.400]  "教屬神的人得以完全"
[00:01:40.400 --> 00:01:42.600]  "教屬神的人得以完全"
[00:01:42.600 --> 00:01:44.400]  "預備行各樣的善事"
[00:01:44.400 --> 00:01:46.480]  "預備行各樣的善事"
[00:01:46.480 --> 00:01:51.280]  今天我分享從《先知書》《若拿》故事
[00:01:51.280 --> 00:01:53.600]  有不同的訊息向大家分享
[00:01:53.600 --> 00:01:55.000]  今天跟大家分享
[00:01:55.000 --> 00:01:58.520]  這是從《先知》《若拿》的故事中的不同訊息
[00:01:58.520 --> 00:02:00.680]  在開始前我們同心禱告
[00:02:00.680 --> 00:02:02.760]  在開始前我們同心禱告
[00:02:02.760 --> 00:02:04.400]  親愛的上帝
[00:02:04.400 --> 00:02:05.720]  親愛的上帝
[00:02:05.720 --> 00:02:07.480]  在主日的早上
[00:02:07.480 --> 00:02:09.240]  在主日的早上
[00:02:09.240 --> 00:02:11.040]  我們可以聚集在這裡
[00:02:11.040 --> 00:02:12.640]  我們可以聚集在這裡
[00:02:12.640 --> 00:02:14.400]  敬拜
[00:02:14.400 --> 00:02:17.320]  這是祢給我們的恩典
[00:02:17.320 --> 00:02:19.040]  這是祢給我們的恩典
[00:02:19.040 --> 00:02:20.760]  求聖靈看望祢的心眼
[00:02:20.760 --> 00:02:22.480]  求聖靈看望祢的心眼
[00:02:22.480 --> 00:02:24.120]  使我們專心聆聽祢的話語
[00:02:24.120 --> 00:02:26.120]  使我們專心聆聽祢的話語
[00:02:26.120 --> 00:02:27.320]  明白祢的真理
[00:02:27.320 --> 00:02:28.680]  明白祢的真理
[00:02:28.680 --> 00:02:30.040]  並賜我們的力量
[00:02:30.040 --> 00:02:31.240]  並賜我們的力量
[00:02:31.240 --> 00:02:32.920]  遵照祢的心意而行
[00:02:32.920 --> 00:02:34.480]  遵照祢的心意而行
[00:02:34.480 --> 00:02:36.200]  奉主耶穌基督的名祈禱
[00:02:36.200 --> 00:02:38.120]  奉主耶穌基督的名祈禱
[00:02:38.120 --> 00:02:38.640]  阿們
[00:02:38.640 --> 00:02:39.400]  阿們
[00:02:39.400 --> 00:02:41.080]  大家能看到前面的螢幕嗎
[00:02:41.080 --> 00:02:42.480]  大家能看到前面的螢幕嗎
[00:02:42.480 --> 00:02:44.480]  我很喜歡這個畫面
[00:02:44.480 --> 00:02:45.840]  很喜歡這個畫面
[00:02:45.840 --> 00:02:48.480]  我覺得這次非常貼題
[00:02:48.480 --> 00:02:50.000]  覺得非常貼題
