
[00:00:00.000 --> 00:00:04.480]  感恩節當然是數算主因的日子
[00:00:04.480 --> 00:00:07.680]  但最重要的是要懂得感恩
[00:00:07.680 --> 00:00:11.880]  只是數算不夠 要感恩
[00:00:11.880 --> 00:00:17.600]  感恩不是只用口說來感恩
[00:00:17.600 --> 00:00:22.280]  是要用奉獻來表達
[00:00:22.280 --> 00:00:29.080]  在聖經詩篇116篇第十二節是這麼說的
[00:00:29.080 --> 00:00:35.720]  「我拿甚麼報答耶和華 向我所賜的一切厚恩」
[00:00:35.720 --> 00:00:37.200]  第十三節
[00:00:37.200 --> 00:00:44.000]  「我要以感謝為祭獻給你 又要求告耶和華的名」
[00:00:44.000 --> 00:00:47.440]  我們留意這一節的聖經
[00:00:47.440 --> 00:00:53.120]  是在感謝這個字
[00:00:53.120 --> 00:00:57.920]  感謝這個字是指感恩祭或感恩的禮物
[00:00:57.920 --> 00:01:01.400]  不是只用口說「多謝」
[00:01:01.400 --> 00:01:05.080]  「多謝」在舊約聖經裡
[00:01:05.080 --> 00:01:06.960]  不是說「感恩」
[00:01:06.960 --> 00:01:14.240]  而是指感恩祭是禮物
[00:01:14.240 --> 00:01:15.720]  從聖經的教導
[00:01:15.720 --> 00:01:21.320]  十一奉獻是建基於感恩和敬畏神這一方面
[00:01:21.320 --> 00:01:29.920]  這是一個人對神的恩典很自然的反應
[00:01:29.920 --> 00:01:33.400]  十一奉獻這個題目不容易說
[00:01:33.400 --> 00:01:37.160]  很多牧師或講員都會這樣說
[00:01:37.160 --> 00:01:41.320]  因為十一奉獻是說甚麼?
[00:01:41.320 --> 00:01:42.840]  是說錢
[00:01:42.840 --> 00:01:49.840]  說到錢的時候就有很多問題出現
[00:01:49.840 --> 00:01:52.480]  說到錢的時候會有很多爭論
[00:01:52.480 --> 00:01:54.040]  有很多原則的問題
[00:01:54.040 --> 00:01:55.960]  有一位學者說
[00:01:55.960 --> 00:01:57.120]  其實不是原則的問題
[00:01:57.120 --> 00:01:58.560]  是錢的問題
[00:01:58.560 --> 00:02:04.240]  真的是錢的問題
[00:02:04.240 --> 00:02:07.520]  說到錢的爭論的時候
[00:02:07.520 --> 00:02:16.280]  就會導致會友和會友之間的關係疏遠
