
[00:00:00.000 --> 00:00:05.000]  今天我們會講《出埃及記》的第五、第六章
[00:00:05.000 --> 00:00:09.000]  我想問問大家在你們過去的人生裏
[00:00:09.000 --> 00:00:12.000]  你們有沒有試過從很高峰
[00:00:12.000 --> 00:00:14.000]  突然跌到谷底
[00:00:14.000 --> 00:00:17.000]  你經歷一個很艱難、困苦的時候
[00:00:17.000 --> 00:00:20.000]  又或者在你現在這個光景也好
[00:00:20.000 --> 00:00:23.000]  你也在經歷一些很大的困難
[00:00:23.000 --> 00:00:28.000]  我相信我們可能每一個人都會經歷過
[00:00:29.000 --> 00:00:31.000]  可能你想起那些事情
[00:00:31.000 --> 00:00:33.000]  你會有一種心有餘悸
[00:00:33.000 --> 00:00:36.000]  又或者不堪回首的感覺
[00:00:36.000 --> 00:00:38.000]  當時你會不會覺得
[00:00:38.000 --> 00:00:40.000]  上帝你去了哪裏?
[00:00:40.000 --> 00:00:42.000]  為何你好像在我人生這個光景裏
[00:00:42.000 --> 00:00:44.000]  你好像缺席了
[00:00:44.000 --> 00:00:45.000]  你去了哪裏?
[00:00:45.000 --> 00:00:47.000]  甚至你是否存在?
[00:00:47.000 --> 00:00:50.000]  可能我們也曾經這樣問過
[00:00:50.000 --> 00:00:55.000]  上一次牧師講到《出埃及記》的第三、第四章
[00:00:55.000 --> 00:00:58.000]  今天我就會講第五、第六章
[00:00:58.000 --> 00:01:01.000]  三、四、兩章其實是講到
[00:01:01.000 --> 00:01:03.000]  神去呼召摩西
[00:01:03.000 --> 00:01:06.000]  叫他將以色列人帶出埃及這個地方
[00:01:06.000 --> 00:01:08.000]  去到應去之地
[00:01:08.000 --> 00:01:10.000]  就是流乃與物之地
[00:01:10.000 --> 00:01:14.000]  但摩西他用了很多藉口來推搪上帝
[00:01:14.000 --> 00:01:16.000]  大家記不記得他用了甚麼藉口?
[00:01:16.000 --> 00:01:25.000]  他用了五個理由來推搪上帝
[00:01:25.000 --> 00:01:27.000]  一是覺得自己不夠身份
[00:01:27.000 --> 00:01:29.000]  二是我認識神也不深
[00:01:29.000 --> 00:01:33.000]  三是那些人也不知信不信我是神你差我來的
[00:01:33.000 --> 00:01:36.000]  四是覺得自己笨口笨舌
[00:01:36.000 --> 00:01:38.000]  沒有恩賜沒有才能
[00:01:38.000 --> 00:01:40.000]  五是發爛渣
[00:01:40.000 --> 00:01:42.000]  沒有理由了也要推搪
[00:01:42.000 --> 00:01:46.000]  但神就一一回應他的藉口
[00:01:46.000 --> 00:01:48.000]  解決了他的擔憂
[00:01:48.000 --> 00:01:51.000]  以致摩西沒有辦法再去推搪
[00:01:51.000 --> 00:01:53.000]  去到四章十八到三十一節
[00:01:53.000 --> 00:01:56.000]  就講到摩西聽話了
[00:01:56.000 --> 00:02:00.000]  他帶著太太和兒子
[00:02:00.000 --> 00:02:03.000]  站在牢上回到埃及這個地方
[00:02:03.000 --> 00:02:06.000]  他手裡還拿著神給他的匠
[00:02:06.000 --> 00:02:09.000]  神也差遣了他的哥哥阿倫
[00:02:09.000 --> 00:02:11.000]  出去迎接他
[00:02:11.000 --> 00:02:14.000]  經文就講到
[00:02:14.000 --> 00:02:18.000]  摩西將耶和華派他所講的一切說話
[00:02:18.000 --> 00:02:22.000]  和吩咐他所做的一切神蹟都告訴阿倫
[00:02:22.000 --> 00:02:25.000]  摩西和阿倫就去召集那些以色列的長老
[00:02:25.000 --> 00:02:28.000]  阿倫就像上帝所說
[00:02:28.000 --> 00:02:30.000]  他成為摩西的口
[00:02:30.000 --> 00:02:32.000]  阿倫就將耶和華對摩西所說的話
[00:02:32.000 --> 00:02:34.000]  通通告訴他們
[00:02:34.000 --> 00:02:37.000]  那些人就相信了
[00:02:37.000 --> 00:02:39.000]  他們聽到耶和華眷顧以色列人
[00:02:39.000 --> 00:02:41.000]  又監察他們的痛苦
[00:02:41.000 --> 00:02:44.000]  他們就俯伏敬拜
[00:02:44.000 --> 00:02:46.000]  從這段經文來看
[00:02:46.000 --> 00:02:53.000]  似乎摩西的侍奉有一個好的開始
