
[00:00:00.000 --> 00:00:02.940]  各位弟兄姊妹 晚安
[00:00:02.940 --> 00:00:08.140]  再一次在禮堂裡分享神的說話
[00:00:08.140 --> 00:00:10.140]  我心裡也很開心
[00:00:10.140 --> 00:00:15.080]  戴著口罩就有點不舒服
[00:00:15.080 --> 00:00:20.720]  我很想將大家的注意力拉回聖經裡
[00:00:20.720 --> 00:00:24.120]  剛才姊妹和我們讀的這段聖經
[00:00:24.120 --> 00:00:27.720]  提到一個日子就是耶穌基督的日子
[00:00:27.720 --> 00:00:30.900]  這個日子在舊約的聖經裡
[00:00:30.900 --> 00:00:34.280]  用耶和華的日子來表達
[00:00:34.280 --> 00:00:38.800]  而這個日子對每一個敬拜上帝的人來說
[00:00:38.800 --> 00:00:40.500]  都是非常重要的
[00:00:40.500 --> 00:00:42.200]  原因就是
[00:00:42.200 --> 00:00:47.020]  這個日子就是上帝使得萬猶歸日
[00:00:47.020 --> 00:00:51.060]  使得所有的罪惡都會消除
[00:00:51.060 --> 00:00:56.480]  這個日子是人類美好的日子
[00:00:56.480 --> 00:00:58.780]  是每一個信靠耶穌
[00:00:58.780 --> 00:01:02.360]  仰望祂的慈愛和公義的人
[00:01:02.360 --> 00:01:04.120]  一個很大的盼望
[00:01:04.120 --> 00:01:06.660]  也是對每一個不認識祂
[00:01:06.660 --> 00:01:08.800]  或者拒絕祂的人
[00:01:08.800 --> 00:01:17.220]  一個無法形容的慘劇
[00:01:17.220 --> 00:01:22.080]  因為這是公義的上帝
[00:01:22.080 --> 00:01:26.460]  為我們每一個人預備的
[00:01:26.460 --> 00:01:31.700]  菲律賓書是保羅寫給菲律賓教會的一封信
[00:01:31.700 --> 00:01:35.780]  開始的時候他就提到這個日子
[00:01:35.780 --> 00:01:43.560]  「啊!如深信在你們中間開始了美好工作的
[00:01:43.560 --> 00:01:49.300]  到了基督耶穌的日子必成全者工作」
[00:01:49.300 --> 00:01:52.840]  你說在這個環境裡提到
[00:01:52.840 --> 00:01:57.640]  這個耶穌基督的日子有什麼意思呢?
[00:01:57.640 --> 00:02:01.720]  我自己個人很深體會到
[00:02:01.720 --> 00:02:07.440]  每一個人在地上的日子是越來越短小
[00:02:07.440 --> 00:02:14.340]  我自己越來越接近去見上帝的日子
[00:02:14.340 --> 00:02:21.480]  而這個疫情想將世界都進入一個很大的壓力
[00:02:21.480 --> 00:02:28.400]  原來去見上帝不是很遙遠的事
[00:02:28.400 --> 00:02:33.840]  你可以在街上某一個環境裡
[00:02:33.840 --> 00:02:37.940]  有一些病毒進入你的身體裡
[00:02:37.940 --> 00:02:42.880]  然後很快 兩個星期、三個星期
[00:02:42.880 --> 00:02:46.800]  然後你就去見上帝
[00:02:46.800 --> 00:02:50.400]  這個耶穌基督的日子
[00:02:50.400 --> 00:02:52.920]  和我們去見上帝的日子
[00:02:52.920 --> 00:02:58.360]  在聖經裡面是兩回事
[00:02:58.360 --> 00:03:06.680]  我們始終會去見到耶穌基督的日子
[00:03:06.680 --> 00:03:15.460]  不是一個不會發生的事
[00:03:15.460 --> 00:03:20.240]  但是很多時候我們不理會
[00:03:20.240 --> 00:03:22.620]  不會的
[00:03:22.620 --> 00:03:29.060]  或者幾十年後
[00:03:29.060 --> 00:03:32.640]  太多事我們要照顧了
[00:03:32.640 --> 00:03:37.720]  我們無暇去理會那個日子
[00:03:37.720 --> 00:03:40.080]  有人要預備結婚
[00:03:40.080 --> 00:03:42.520]  有人要預備做一些生意
[00:03:42.520 --> 00:03:45.240]  有很多事要預備
[00:03:45.240 --> 00:03:51.380]  我們怎會去預備那個日子呢?
[00:03:51.380 --> 00:03:53.340]  當我們的視野
[00:03:53.340 --> 00:03:58.980]  被一路好像逼近的事情去吸引我們
[00:03:58.980 --> 00:04:02.900]  我們真是要將這個日子放下
[00:04:02.900 --> 00:04:05.200]  我知道的
[00:04:05.200 --> 00:04:11.760]  不過讓我先處理目前的事
