
[00:00:00.000 --> 00:00:03.000]  感謝上帝,祂有說不出的恩典
[00:00:03.000 --> 00:00:06.000]  今天很高興能夠和大家一起敬拜上帝
[00:00:06.000 --> 00:00:07.000]  大家高不高興呢?
[00:00:07.000 --> 00:00:10.000]  少少吧!
[00:00:10.000 --> 00:00:11.000]  少少吧!
[00:00:11.000 --> 00:00:14.000]  難少少的,不過我知道明白
[00:00:14.000 --> 00:00:16.000]  我們培養一下感情好嗎?
[00:00:16.000 --> 00:00:18.000]  那些情緒我們要回頭再說
[00:00:18.000 --> 00:00:20.000]  我們先向上帝祈禱
[00:00:20.000 --> 00:00:22.000]  主要是在祢面前的時候
[00:00:22.000 --> 00:00:24.000]  我們其實是需要滿心快樂
[00:00:24.000 --> 00:00:28.000]  因為祢是越立我們每一個神
[00:00:28.000 --> 00:00:30.000]  祢在我們最患難的時刻
[00:00:30.000 --> 00:00:31.000]  祢幫助我們
[00:00:31.000 --> 00:00:34.000]  在我們心裡作難的時候
[00:00:34.000 --> 00:00:37.000]  祢叫我們不要失望
[00:00:37.000 --> 00:00:39.000]  多謝祢一直過去的拯救
[00:00:39.000 --> 00:00:41.000]  我們看到有很多宣教師
[00:00:41.000 --> 00:00:44.000]  其實每一天都在為祢增戰的時候
[00:00:44.000 --> 00:00:45.000]  我們特別紀念他們
[00:00:45.000 --> 00:00:47.000]  我們將到我們下個月
[00:00:47.000 --> 00:00:50.000]  下個星期的宣教月開始的時候
[00:00:50.000 --> 00:00:51.000]  我們交給祢
[00:00:51.000 --> 00:00:53.000]  願主祢都給我們有這一份的心
[00:00:53.000 --> 00:00:56.000]  一個普世全福音的心智
[00:00:56.000 --> 00:00:58.000]  我們這樣祈禱教託鳳准明球
[00:00:58.000 --> 00:01:04.000]  今天我們有一個題目
[00:01:04.000 --> 00:01:06.000]  名字比較難讀
[00:01:06.000 --> 00:01:08.000]  前面那三個字都可以是嗎?
[00:01:08.000 --> 00:01:11.000]  日中必
[00:01:11.000 --> 00:01:12.000]  有沒有人認識後面那一字?
[00:01:12.000 --> 00:01:13.000]  (庚)
[00:01:13.000 --> 00:01:16.000]  這樣都錯啊!
[00:01:16.000 --> 00:01:18.000]  你真是這麼大聲!
[00:01:18.000 --> 00:01:20.000]  錯這麼大聲!
[00:01:20.000 --> 00:01:22.000]  大家很少聽到錯這麼大聲吧!
[00:01:22.000 --> 00:01:24.000]  不過不要緊!
[00:01:24.000 --> 00:01:26.000]  (庚)
[00:01:26.000 --> 00:01:28.000]  不要緊!我都查過的!
[00:01:28.000 --> 00:01:31.000]  我都不覺得是對的!
[00:01:31.000 --> 00:01:32.000]  不過都算了!
[00:01:32.000 --> 00:01:34.000]  叫「則」!
[00:01:34.000 --> 00:01:35.000]  日中必則!
[00:01:35.000 --> 00:01:36.000]  「則」是什麼意思呢?
[00:01:36.000 --> 00:01:39.000]  它意思是太陽去到中間
[00:01:39.000 --> 00:01:42.000]  就必定向哪個方向落?
[00:01:42.000 --> 00:01:43.000]  西方!
[00:01:43.000 --> 00:01:44.000]  大家這個就對了!
[00:01:44.000 --> 00:01:45.000]  大聲一點!
[00:01:45.000 --> 00:01:47.000]  下次西方又問你!
[00:01:47.000 --> 00:01:48.000]  這些簡單的問!
[00:01:48.000 --> 00:01:50.000]  這些好答吧!
[00:01:50.000 --> 00:01:52.000]  它說的其實是中年危機
[00:01:52.000 --> 00:01:54.000]  它說太陽在中間
