
[00:00:00.000 --> 00:00:08.000]  我們今天一同來看這個詩篇120篇
[00:00:08.000 --> 00:00:11.000]  詩篇120篇
[00:00:11.000 --> 00:00:14.000]  一共有七節聖經
[00:00:14.000 --> 00:00:18.000]  我們把這七節聖經一塊讀一下
[00:00:18.000 --> 00:00:21.000]  詩篇120篇
[00:00:21.000 --> 00:00:25.000]  第一節到第七節
[00:00:25.000 --> 00:00:29.000]  翻到以後請我們一起來讀
[00:00:31.000 --> 00:00:34.000]  我在濟難中求告耶和華
[00:00:34.000 --> 00:00:36.000]  他就應允我
[00:00:36.000 --> 00:00:38.000]  耶和華,求你允允我
[00:00:38.000 --> 00:00:43.000]  我的玻璃琴、破風的指尖和鬼炸的舌頭
[00:00:43.000 --> 00:00:45.000]  鬼炸的舌頭啊
[00:00:45.000 --> 00:00:47.000]  要給你什麼呢?
[00:00:47.000 --> 00:00:49.000]  要拿什麼嫁給你呢?
[00:00:49.000 --> 00:00:54.000]  就是一種神秘的利劍和鑼頭藤木的不堪貨
[00:00:54.000 --> 00:00:56.000]  我繼續在彌沙
[00:00:56.000 --> 00:01:00.000]  住在彌沙帳篷之中有貨了
[00:01:00.000 --> 00:01:04.000]  我與那恨古和睦的人許久同住
[00:01:04.000 --> 00:01:06.000]  我願和睦
[00:01:06.000 --> 00:01:10.000]  當我發言他們就要征戰
[00:01:10.000 --> 00:01:14.000]  我們聖經就先讀這些
[00:01:14.000 --> 00:01:20.000]  現在我們要開始來讀這個上行之詩
[00:01:20.000 --> 00:01:23.000]  這個120首開始呢
[00:01:23.000 --> 00:01:25.000]  到134首
[00:01:25.000 --> 00:01:28.000]  一共有15篇
[00:01:28.000 --> 00:01:30.000]  120首一開始呢
[00:01:30.000 --> 00:01:35.000]  就是由上行或做登接之詩
[00:01:35.000 --> 00:01:37.000]  上行之詩
[00:01:37.000 --> 00:01:39.000]  或者叫作登接
[00:01:39.000 --> 00:01:42.000]  登個階梯的詩
[00:01:42.000 --> 00:01:44.000]  這個台階呢
[00:01:44.000 --> 00:01:46.000]  可能是指聖殿
[00:01:46.000 --> 00:01:48.000]  這個台階
[00:01:48.000 --> 00:01:52.000]  登這個台階
[00:01:52.000 --> 00:01:55.000]  那麼120首呢
[00:01:55.000 --> 00:01:57.000]  到134首
[00:01:57.000 --> 00:01:59.000]  這15首
[00:01:59.000 --> 00:02:01.000]  在這個題目上呢
[00:02:01.000 --> 00:02:04.000]  就說上行之詩
[00:02:04.000 --> 00:02:07.000]  那麼這個也有人呢
[00:02:07.000 --> 00:02:10.000]  就稱為這個朝聖之詩
[00:02:10.000 --> 00:02:12.000]  就說這以色列人
[00:02:12.000 --> 00:02:14.000]  他們一年有三次
[00:02:14.000 --> 00:02:18.000]  要到耶路撒冷去過節
[00:02:18.000 --> 00:02:20.000]  所以他們在從各地
[00:02:20.000 --> 00:02:22.000]  到耶路撒冷的路途中間呢
[00:02:22.000 --> 00:02:26.000]  他們就會唱這些詩歌
[00:02:26.000 --> 00:02:27.000]  就這樣的
[00:02:27.000 --> 00:02:29.000]  大家一同走路
[00:02:29.000 --> 00:02:31.000]  走到耶路撒冷來過節
[00:02:31.000 --> 00:02:34.000]  來敬拜神
[00:02:34.000 --> 00:02:36.000]  因為這個耶路撒冷是在
[00:02:36.000 --> 00:02:39.000]  以色列地方是在高的地方
[00:02:39.000 --> 00:02:41.000]  所以其他地方是比較低
[00:02:41.000 --> 00:02:45.000]  所以從其他地方來到以色列的話
[00:02:45.000 --> 00:02:46.000]  這個耶路撒冷呢
[00:02:46.000 --> 00:02:48.000]  好像是越走越高
[00:02:48.000 --> 00:02:50.000]  所以就是上行
[00:02:50.000 --> 00:02:52.000]  上行之詩
[00:02:52.000 --> 00:02:54.000]  那麼
[00:02:54.000 --> 00:02:55.000]  所以這個上行之詩
[00:02:55.000 --> 00:02:58.000]  如果是在路上他們一塊唱
[00:02:58.000 --> 00:03:00.000]  在過節的時候唱呢
[00:03:00.000 --> 00:03:03.000]  那就是
[00:03:03.000 --> 00:03:08.000]  不是說詩句很華麗
[00:03:08.000 --> 00:03:11.000]  或者是很對稱
[00:03:11.000 --> 00:03:14.000]  它就是一些短的
[00:03:14.000 --> 00:03:16.000]  但是又是很溫柔
[00:03:16.000 --> 00:03:18.000]  很甘甜的感覺
[00:03:18.000 --> 00:03:21.000]  就是他要到耶路撒冷來敬拜神
[00:03:21.000 --> 00:03:25.000]  心裡頭充滿了歡喜快樂
[00:03:25.000 --> 00:03:27.000]  這樣的話呢
[00:03:27.000 --> 00:03:31.000]  形成整個是一組
[00:03:31.000 --> 00:03:35.000]  詩五首詩這樣的一個風格
[00:03:35.000 --> 00:03:37.000]  這個詩五首詩的中心的內容呢
[00:03:37.000 --> 00:03:40.000]  就講到神的城
[00:03:40.000 --> 00:03:41.000]  耶路撒冷
[00:03:41.000 --> 00:03:43.000]  也是講到神的殿
[00:03:43.000 --> 00:03:44.000]  聖殿
[00:03:44.000 --> 00:03:47.000]  在以色列人心中的話
[00:03:47.000 --> 00:03:50.000]  他們最重要的就是耶路撒冷
[00:03:50.000 --> 00:03:53.000]  他們是以耶路撒冷作為中心
[00:03:53.000 --> 00:03:55.000]  因為耶路撒冷中間
[00:03:55.000 --> 00:03:58.000]  耶路撒冷是神的同在的地方
[00:03:58.000 --> 00:03:59.000]  有聖殿
[00:03:59.000 --> 00:04:01.000]  所以這個他們中心呢
[00:04:01.000 --> 00:04:04.000]  雖然是住在不同的地方
[00:04:04.000 --> 00:04:05.000]  但他們心裡頭呢
[00:04:05.000 --> 00:04:08.000]  總是想到耶路撒冷
[00:04:08.000 --> 00:04:09.000]  神的城
[00:04:09.000 --> 00:04:10.000]  想到聖殿
[00:04:10.000 --> 00:04:11.000]  是神的殿
[00:04:11.000 --> 00:04:13.000]  是神居住的所在
[00:04:13.000 --> 00:04:17.000]  是他們的生活思想
[00:04:17.000 --> 00:04:20.000]  一些中心
[00:04:20.000 --> 00:04:23.000]  所以他們詩人呢
[00:04:23.000 --> 00:04:25.000]  藉著這個詩五首詩歌呢
[00:04:25.000 --> 00:04:29.000]  來表達他們對神的城
[00:04:29.000 --> 00:04:30.000]  耶路撒冷
[00:04:30.000 --> 00:04:31.000]  對神的殿
[00:04:31.000 --> 00:04:33.000]  他們的心裡頭
[00:04:33.000 --> 00:04:35.000]  這渴慕想念
[00:04:35.000 --> 00:04:40.000]  這個是表達他們內心的心情
[00:04:40.000 --> 00:04:43.000]  那麼也有些這個
[00:04:43.000 --> 00:04:44.000]  福祉祖的人呢
[00:04:44.000 --> 00:04:46.000]  聖經的學者呢
[00:04:46.000 --> 00:04:48.000]  也有把這個詩篇呢
[00:04:48.000 --> 00:04:49.000]  詩五首呢
[00:04:49.000 --> 00:04:51.000]  他分成三個主
[00:04:51.000 --> 00:04:52.000]  三個主
[00:04:52.000 --> 00:04:53.000]  每一主呢
[00:04:53.000 --> 00:04:55.000]  他說是五首
[00:04:55.000 --> 00:04:57.000]  那麼就說這個
[00:04:57.000 --> 00:04:58.000]  上行之師呢
[00:04:58.000 --> 00:05:00.000]  是指到他們的生命
[00:05:00.000 --> 00:05:02.000]  這個成長的過程
[00:05:02.000 --> 00:05:04.000]  有初級的
[00:05:04.000 --> 00:05:05.000]  有中級的
[00:05:05.000 --> 00:05:07.000]  有高級的
[00:05:07.000 --> 00:05:09.000]  有一段一段
[00:05:09.000 --> 00:05:12.000]  這個不同的進展
[00:05:12.000 --> 00:05:14.000]  那麼這個初級呢
[00:05:14.000 --> 00:05:16.000]  就經過性的主以後呢
[00:05:16.000 --> 00:05:17.000]  經過生命
[00:05:17.000 --> 00:05:19.000]  經過神的煉金
[00:05:19.000 --> 00:05:21.000]  然後有神的光照
[00:05:21.000 --> 00:05:23.000]  然後最後呢
[00:05:23.000 --> 00:05:25.000]  他能夠跟神合一
[00:05:25.000 --> 00:05:27.000]  講到是生命
[00:05:27.000 --> 00:05:28.000]  講到這個生命
[00:05:28.000 --> 00:05:30.000]  這三個階段
[00:05:30.000 --> 00:05:33.000]  這個也是很好的
[00:05:33.000 --> 00:05:35.000]  那麼這個詩五首呢
[00:05:35.000 --> 00:05:37.000]  我們翻了一下以後呢
[00:05:37.000 --> 00:05:40.000]  就覺得這個詩五首呢
[00:05:40.000 --> 00:05:42.000]  一般的標題呢
[00:05:42.000 --> 00:05:44.000]  就上行之師
[00:05:44.000 --> 00:05:46.000]  那麼有詩五首裡頭呢
[00:05:46.000 --> 00:05:49.000]  有四首是大衛上行之師
[00:05:49.000 --> 00:05:51.000]  特別著名
[00:05:51.000 --> 00:05:53.000]  這個是大衛寫的
[00:05:53.000 --> 00:05:54.000]  有四首
[00:05:54.000 --> 00:05:57.000]  還有一首呢
[00:05:57.000 --> 00:06:00.000]  就是有這個要
[00:06:00.000 --> 00:06:02.000]  以127的話是
[00:06:02.000 --> 00:06:04.000]  所羅門上行之師
[00:06:04.000 --> 00:06:06.000]  就所羅門寫的
[00:06:06.000 --> 00:06:08.000]  那其他的十首呢
[00:06:08.000 --> 00:06:10.000]  沒有寫是誰做的
