
[00:00:00.000 --> 00:00:05.520]  今天思考要和大家分享什麼經文的時候
[00:00:05.520 --> 00:00:07.880]  我就想起這部電影
[00:00:07.880 --> 00:00:12.720]  我想看大家有多少人認得這個片段
[00:00:12.720 --> 00:00:18.240]  如果舉手的就應該有差不多一年多了
[00:00:18.240 --> 00:00:23.640]  因為這部電影是2000年的電影
[00:00:23.640 --> 00:00:28.920]  當時…總共是25年前
[00:00:28.920 --> 00:00:32.640]  所以要小心聽到這些問題
[00:00:32.640 --> 00:00:35.160]  要想清楚才能回答
[00:00:35.160 --> 00:00:37.920]  這部電影叫《Cast Away》
[00:00:37.920 --> 00:00:40.600]  中文譯做《劫後重生》
[00:00:40.600 --> 00:00:44.560]  是當時其中一部最賣座的電影
[00:00:44.560 --> 00:00:46.640]  電影描述誰呢?也是
[00:00:46.640 --> 00:00:48.680]  暴露年齡系列
[00:00:48.680 --> 00:00:53.400]  主角是誰呢?是湯姆·漢斯
[00:00:53.400 --> 00:00:59.680]  他當時是飾演一個FedEx聯邦快遞員工
[00:00:59.680 --> 00:01:02.760]  他做這些聯邦快遞員工
[00:01:02.760 --> 00:01:05.280]  他的時間觀念是非常重的
[00:01:05.280 --> 00:01:08.320]  而且他擁有一個快樂的人生
[00:01:08.320 --> 00:01:11.160]  他本來打算和女友求婚之後
[00:01:11.160 --> 00:01:14.200]  就可以快快樂樂地生活下去
[00:01:14.200 --> 00:01:16.600]  誰知就在聖誕晚餐
[00:01:16.600 --> 00:01:18.280]  一個聖誕晚餐的時候
[00:01:18.280 --> 00:01:20.480]  突然收到公司急電話
[00:01:20.480 --> 00:01:24.320]  要出一個很緊急的商務旅行
[00:01:24.320 --> 00:01:25.400]  要出門
[00:01:25.400 --> 00:01:28.120]  誰知就在這個商務旅行中
[00:01:28.120 --> 00:01:32.920]  飛機在南太平洋失事墮海
[00:01:32.920 --> 00:01:36.080]  整個飛機只有他一個生還
[00:01:36.080 --> 00:01:39.400]  然後漂流到一個無人的荒島
[00:01:39.400 --> 00:01:41.680]  所以這部電影是典型的什麼呢?
[00:01:41.680 --> 00:01:43.960]  《魯賓遜求生記》
[00:01:43.960 --> 00:01:46.440]  那些是荒島災難片
[00:01:46.440 --> 00:01:49.680]  講述人怎樣在絕地求生
[00:01:49.680 --> 00:01:51.680]  不要失去希望等等
[00:01:51.680 --> 00:01:53.120]  但我今天不是想講
[00:01:53.120 --> 00:01:54.680]  你怎樣去荒島求生
[00:01:54.680 --> 00:01:56.360]  怎樣鑽木取火
[00:01:56.360 --> 00:01:57.840]  但是我在想
[00:01:57.840 --> 00:02:00.360]  怎樣一個城市的人
[00:02:00.360 --> 00:02:02.480]  怎樣在野地生存呢?
[00:02:02.480 --> 00:02:04.640]  如果你是湯姆漢斯
[00:02:04.640 --> 00:02:06.840]  你會怎樣生存呢?
[00:02:06.840 --> 00:02:09.920]  影片很聰明的設計是什麼呢?
[00:02:09.920 --> 00:02:12.440]  我說他是什麼員工
[00:02:12.440 --> 00:02:15.880]  是一個聯邦快遞員工
[00:02:15.880 --> 00:02:20.000]  他坐的那架飛機全部都是什麼呢?
[00:02:20.000 --> 00:02:21.760]  是包裹
[00:02:21.760 --> 00:02:25.080]  所以當飛機墜毀的時候
[00:02:25.080 --> 00:02:28.400]  那些包裹就逐漸漂流上岸
