
[00:00:00.000 --> 00:00:04.220]  從人曲看神曲
[00:00:04.220 --> 00:00:06.220]  荷西亞書有十四章
[00:00:06.220 --> 00:00:07.700]  荷西亞書有四章
[00:00:07.700 --> 00:00:09.700]  一到三章是他的家庭故事
[00:00:09.700 --> 00:00:11.700]  一至三章是他家庭故事
[00:00:11.700 --> 00:00:13.200]  四到十四章是他的信息
[00:00:13.200 --> 00:00:14.940]  四到十四章是他的信息
[00:00:14.940 --> 00:00:16.080]  他非常會講道
[00:00:16.080 --> 00:00:17.400]  他非常會講道
[00:00:17.400 --> 00:00:19.400]  四到十四章的信息非常豐富
[00:00:19.400 --> 00:00:21.400]  四到十四章的信息很豐富
[00:00:21.400 --> 00:00:23.900]  可是前面是他的醜聞
[00:00:23.900 --> 00:00:25.900]  可惜前面是他的醜聞
[00:00:25.900 --> 00:00:27.300]  雖然他會講道
[00:00:27.300 --> 00:00:28.400]  雖然他很會講道
[00:00:28.400 --> 00:00:29.900]  你可以想像一個現場
[00:00:29.900 --> 00:00:31.500]  你可以想像一個現場
[00:00:31.500 --> 00:00:32.400]  他正在講道
[00:00:32.400 --> 00:00:33.900]  正在講道的時候
[00:00:33.900 --> 00:00:36.400]  後面有一個以色列的男人舉起手
[00:00:36.400 --> 00:00:38.400]  後面有一個以色列的男人舉手
[00:00:38.400 --> 00:00:40.900]  說先知啊你好會講道啊
[00:00:40.900 --> 00:00:42.400]  先知你好會講道啊
[00:00:42.400 --> 00:00:45.400]  你記不記得你昨天晚上太太在哪裡過夜
[00:00:45.400 --> 00:00:48.400]  你知不知道你太太昨天晚上在哪裡過夜呢
[00:00:48.400 --> 00:00:50.400]  我不記得啊
[00:00:50.400 --> 00:00:51.400]  我不知道啊
[00:00:51.400 --> 00:00:52.400]  她昨天沒有回家啊
[00:00:52.400 --> 00:00:53.900]  她昨天晚上沒有回家啊
[00:00:53.900 --> 00:00:55.400]  那當然你不知道啊
[00:00:55.400 --> 00:00:56.400]  我告訴你啊
[00:00:56.400 --> 00:00:58.400]  你昨天晚上太太在我床上
[00:00:58.400 --> 00:00:59.900]  跟我同房
[00:00:59.900 --> 00:01:00.900]  那你當然不知道啊
[00:01:00.900 --> 00:01:02.400]  因為你老婆昨天晚上就在我旁邊
[00:01:02.400 --> 00:01:03.400]  跟我一起同房
[00:01:03.400 --> 00:01:04.400]  你好會講道啊
[00:01:04.400 --> 00:01:05.900]  你好會講道
[00:01:05.900 --> 00:01:07.900]  公開打臉
[00:01:07.900 --> 00:01:09.900]  公開一巴掌打下去
[00:01:09.900 --> 00:01:10.900]  她被羞辱
[00:01:10.900 --> 00:01:11.900]  她被羞辱
[00:01:11.900 --> 00:01:14.900]  她會對著那個以色列男子說
[00:01:14.900 --> 00:01:16.900]  她會對著那個以色列男子說
[00:01:16.900 --> 00:01:19.400]  請你回去告訴我的太太哥妹
[00:01:19.400 --> 00:01:21.900]  請你回去告訴我老婆哥妹
[00:01:21.900 --> 00:01:23.900]  她仍然是我的妻子
[00:01:23.900 --> 00:01:24.900]  她仍然是我老婆
[00:01:24.900 --> 00:01:26.900]  我仍然是她的丈夫
[00:01:26.900 --> 00:01:27.900]  我仍然是她的老公
[00:01:27.900 --> 00:01:28.900]  我再等她回來
[00:01:28.900 --> 00:01:30.900]  我等她回來
[00:01:30.900 --> 00:01:32.400]  何日君再回
[00:01:32.400 --> 00:01:33.900]  何日君再回
[00:01:33.900 --> 00:01:36.900]  接著何西亞告訴所有以色列人
[00:01:36.900 --> 00:01:39.900]  咦 直到何西亞要告訴所有以色列人
[00:01:39.900 --> 00:01:41.900]  你們就跟我的太太完全一樣
[00:01:41.900 --> 00:01:43.400]  你跟我太太完全一樣
[00:01:43.400 --> 00:01:45.900]  上帝透過摩西把我們救出埃及
[00:01:45.900 --> 00:01:48.400]  上帝直到摩西亞把我們領出埃及
