
[00:00:00.000 --> 00:00:04.380]  主持人:好,弟兄姊妹,早晨,我們開始之前做一個低頭禱告
[00:00:04.380 --> 00:00:09.300]  主持人:天父啊,願祢帶領我們,我們將今天我們去讀祢的聖經的時候
[00:00:09.300 --> 00:00:13.780]  主持人:思想祢的話語的時候,祢的話語去教導我們
[00:00:13.780 --> 00:00:18.260]  主持人:我們去思想到祢的同在,聖靈的同在
[00:00:18.260 --> 00:00:20.260]  主持人:聖靈給人智慧的時候
[00:00:20.260 --> 00:00:22.700]  主持人:求祢都幫助我們去做一個智慧的人
[00:00:22.700 --> 00:00:24.700]  主持人:奉耶穌基督的名祈求,阿們
[00:00:26.820 --> 00:00:30.820]  主持人:好,弟兄姊妹,我們繼續今天來到思想哥倫多前書的時候
[00:00:30.820 --> 00:00:34.820]  主持人:我們會講到第二章第六節到第三章第三節
[00:00:34.820 --> 00:00:36.820]  主持人:在這一段的聖經當中
[00:00:36.820 --> 00:00:39.820]  主持人:你記得上一次保羅來到講到
[00:00:39.820 --> 00:00:44.520]  主持人:神用十字架的道理來拯救那些相信的人
[00:00:44.520 --> 00:00:47.620]  主持人:而十字架的道理在世人的眼光當中
[00:00:47.620 --> 00:00:50.820]  主持人:其實是很多人以為是愚拙的道理
[00:00:50.820 --> 00:00:54.220]  主持人:是看不起眼的道理
[00:00:54.220 --> 00:01:00.920]  主持人:也是十字架好像看不出有什麼神的大能在其中
[00:01:00.920 --> 00:01:03.620]  主持人:但是聖經講到
[00:01:03.620 --> 00:01:08.220]  主持人:神就用這些人所認為愚拙的道理來拯救那些相信的人
[00:01:08.220 --> 00:01:12.620]  主持人:保羅在今天繼續思想那段經文的時候就說
[00:01:12.620 --> 00:01:14.820]  主持人:其實這個十字架的道理
[00:01:14.820 --> 00:01:17.620]  主持人:雖然在世人稱為愚拙的道理
[00:01:17.620 --> 00:01:20.420]  主持人:但是在信的人當中
[00:01:20.420 --> 00:01:22.120]  主持人:我們看到神的智慧
[00:01:22.120 --> 00:01:25.320]  主持人:而我們信的人也不是不講智慧的
[00:01:25.320 --> 00:01:29.720]  主持人:只不過我們所講的智慧是跟我們熟悉的智慧不同
[00:01:29.720 --> 00:01:32.320]  主持人:在第二章第六至第八節裏
[00:01:32.320 --> 00:01:33.920]  主持人:保羅這樣說
[00:01:33.920 --> 00:01:36.020]  主持人:然而在完全的人中
[00:01:36.020 --> 00:01:37.520]  主持人:我們也講智慧
[00:01:37.520 --> 00:01:40.220]  主持人:但不是這世上的智慧
[00:01:40.220 --> 00:01:42.720]  主持人:也不是這世上有權有位
[00:01:42.720 --> 00:01:44.820]  主持人:將要敗亡之人的智慧
[00:01:44.820 --> 00:01:47.520]  主持人:這智慧世上有權有位的人
[00:01:47.520 --> 00:01:49.320]  主持人:沒有一個知道的
[00:01:49.320 --> 00:01:54.320]  主持人:他們若知道,就不把榮耀的主釘在十字架上了
[00:01:54.320 --> 00:01:56.320]  主持人:保羅這裡很清楚地講到
[00:01:56.320 --> 00:02:00.120]  主持人:其實這裡有一種智慧
[00:02:00.120 --> 00:02:02.120]  主持人:稱為屬神的智慧
[00:02:02.120 --> 00:02:05.120]  主持人:而這一種屬靈的智慧
[00:02:05.120 --> 00:02:08.520]  主持人:是有一個條件
[00:02:08.520 --> 00:02:11.520]  主持人:才會認識得到的
[00:02:11.520 --> 00:02:12.920]  主持人:這個條件就是說
[00:02:12.920 --> 00:02:14.320]  主持人:是屬神的人
[00:02:14.320 --> 00:02:16.120]  主持人:反過來保羅所說的
[00:02:16.120 --> 00:02:18.720]  主持人:那些只知道今生的人
[00:02:18.720 --> 00:02:23.120]  主持人:保羅在這裡也稱那些將要敗亡的人
[00:02:23.120 --> 00:02:27.320]  主持人:其實他們是不會明白這一種智慧的
[00:02:27.320 --> 00:02:29.120]  主持人:所以屬神的事
[00:02:29.120 --> 00:02:32.320]  主持人:對於我們接下來所思想的那些屬靈的智慧
[00:02:32.320 --> 00:02:37.920]  主持人:基本上不是每個人都會明白的
[00:02:37.920 --> 00:02:40.120]  主持人:只有那些屬神的人才會明白
[00:02:40.120 --> 00:02:41.920]  主持人:如果那些不屬神的人
[00:02:41.920 --> 00:02:45.320]  主持人:其實他們是不會看到這一種
[00:02:45.320 --> 00:02:48.920]  主持人:從神那裡來彰顯的智慧
[00:02:48.920 --> 00:02:50.520]  主持人:這個智慧你就會問
[00:02:50.520 --> 00:02:53.320]  主持人:有什麼內容呢?
[00:02:53.320 --> 00:02:54.520]  主持人:保羅在這裡就說
[00:02:54.520 --> 00:02:56.120]  主持人:第二章第七節這樣說
[00:02:56.120 --> 00:02:59.120]  主持人:「我們所說的乃是從前所隱藏
