
[00:00:00.000 --> 00:00:02.000]  我今天的主題是說
[00:00:02.000 --> 00:00:07.200]  耶和華是一個看得見我們的神
[00:00:07.200 --> 00:00:09.200]  看着我們的神
[00:00:09.200 --> 00:00:10.600]  或者你可以逐一說
[00:00:10.600 --> 00:00:12.600]  神是照着我們的神
[00:00:12.600 --> 00:00:13.900]  看得見我們的神
[00:00:13.900 --> 00:00:19.000]  這個耶和華是一個看見我們的神
[00:00:19.000 --> 00:00:22.800]  看到我們的神和看顧我們的神
[00:00:22.800 --> 00:00:24.400]  在哪裏走出來呢
[00:00:24.400 --> 00:00:27.800]  原來是在《創世紀》16章
[00:00:27.800 --> 00:00:34.800]  下甲逃離他的主母撒萊的苦袋的時候
[00:00:34.800 --> 00:00:37.800]  當他在曠野遇到神的時候
[00:00:37.800 --> 00:00:39.200]  他說出來的
[00:00:39.200 --> 00:00:42.000]  他爲神稱呼神
[00:00:42.000 --> 00:00:45.000]  是一個看得見的神
[00:00:45.000 --> 00:00:48.200]  Eloi看得見的神
[00:00:48.200 --> 00:00:51.200]  其實我不知道
[00:00:51.200 --> 00:00:52.800]  大部分聖經裏面
[00:00:52.800 --> 00:00:56.600]  神的名字是"我是自有永有"
[00:00:56.600 --> 00:00:58.800]  當摩西問你是誰
[00:00:58.800 --> 00:01:00.800]  "我是自有永有"
[00:01:00.800 --> 00:01:03.400]  所有的名字都是神自己畫的
[00:01:03.400 --> 00:01:04.800]  他叫什麼名字
[00:01:04.800 --> 00:01:07.200]  是唯獨這個
[00:01:07.200 --> 00:01:10.800]  是下甲一個很卑微的外邦女子
[00:01:10.800 --> 00:01:12.400]  一個婢女
[00:01:12.400 --> 00:01:15.200]  她和神一起的
[00:01:15.200 --> 00:01:19.800]  她說你就是那位看見人的神
[00:01:19.800 --> 00:01:23.200]  The God who sees me
[00:01:23.200 --> 00:01:25.400]  你說是不是很值得看一下
[00:01:25.400 --> 00:01:27.800]  爲什麼一個這麼卑微的人
[00:01:27.800 --> 00:01:32.400]  竟然和神起了這樣的名呢
[00:01:32.400 --> 00:01:36.000]  不如我們一起去讀一讀故事
[00:01:36.000 --> 00:01:38.000]  幸好16章只有16字
[00:01:38.000 --> 00:01:38.600]  不是太多
[00:01:38.600 --> 00:01:39.400]  而且很快
[00:01:39.400 --> 00:01:42.600]  我深信你們回教會一定很熟悉故事
[00:01:42.600 --> 00:01:44.200]  我們試試讀一讀
[00:01:44.200 --> 00:01:46.600]  一會兒我解完故事之後
[00:01:46.600 --> 00:01:49.200]  我將我在這個故事裏的領袖
[00:01:49.200 --> 00:01:50.600]  告訴給大家聽
[00:01:50.600 --> 00:01:52.600]  好讓我們今天知道
[00:01:52.600 --> 00:01:55.000]  神有什麼話跟我們說
[00:01:55.000 --> 00:01:56.600]  好我們一起去讀一讀
[00:01:56.600 --> 00:01:58.000]  123
[00:01:58.000 --> 00:02:02.200]  阿伯蘭撒萊不給他生兒女
[00:02:02.200 --> 00:02:05.200]  撒萊有一個侍女名叫下甲
[00:02:05.200 --> 00:02:06.800]  是埃及人
[00:02:06.800 --> 00:02:08.800]  撒萊對阿伯蘭說
[00:02:08.800 --> 00:02:11.200]  耶和華使我不能生育
[00:02:11.200 --> 00:02:13.800]  求你和我的侍女同房
[00:02:13.800 --> 00:02:16.800]  或者我可以因她得孩子
[00:02:16.800 --> 00:02:19.400]  阿伯蘭聽從了撒萊的話
[00:02:19.400 --> 00:02:21.800]  於是阿伯蘭的妻子撒萊
[00:02:21.800 --> 00:02:27.200]  將侍女埃及人下甲,給了丈夫爲妾
[00:02:27.200 --> 00:02:30.600]  阿伯蘭在迦南已經住了十年
[00:02:30.600 --> 00:02:32.800]  阿伯蘭與下甲同房
[00:02:32.800 --> 00:02:34.800]  下甲就懷了孕
[00:02:34.800 --> 00:02:36.800]  她見自己受孕
[00:02:36.800 --> 00:02:39.200]  就小看她主母
[00:02:39.200 --> 00:02:41.200]  撒萊對阿伯蘭說
[00:02:41.200 --> 00:02:43.000]  我因你受屈
[00:02:43.000 --> 00:02:46.200]  我將我的侍女放在你懷中
[00:02:46.200 --> 00:02:49.800]  她見自己有了孕就小看我
[00:02:49.800 --> 00:02:53.200]  願耶和華在你我中間判斷
[00:02:53.200 --> 00:02:55.400]  阿伯蘭對撒萊說
[00:02:55.400 --> 00:02:57.400]  侍女在你手下
[00:02:57.400 --> 00:02:59.600]  你可以隨意待她
[00:02:59.600 --> 00:03:01.200]  撒萊虎待她
[00:03:01.200 --> 00:03:04.800]  她就在撒萊面前逃走
[00:03:04.800 --> 00:03:08.400]  這就是這十六章的上半段
[00:03:08.400 --> 00:03:11.600]  上半段發生在哪裏
[00:03:11.600 --> 00:03:13.400]  發生在哪裏
[00:03:13.400 --> 00:03:14.400]  她的家
[00:03:14.400 --> 00:03:16.200]  阿伯蘭的家
[00:03:16.200 --> 00:03:18.600]  簡單說就是
[00:03:18.600 --> 00:03:22.000]  撒萊生不了孩子
[00:03:22.000 --> 00:03:26.200]  於是就找侍女幫阿伯蘭生孩子
